decision_at,cik10,company_name,sector,score,available_features,intended_weight
2024-07-01 00:00:00+00:00,0001658566,PERMIAN RESOURCES CORP,energy,0.8008954008954009,3,0.2
2024-07-01 00:00:00+00:00,0000004447,HESS CORP,energy,0.7993166179212691,3,0.2
2024-07-01 00:00:00+00:00,0000797721,VIASAT INC,technology,0.7684787885003247,3,0.2
2024-10-01 00:00:00+00:00,0001507605,"MARATHON DIGITAL HOLDINGS, INC.",technology,0.9226930311594138,3,0.2
2024-10-01 00:00:00+00:00,0001045810,NVIDIA CORP,technology,0.9052672535784296,3,0.2
2024-10-01 00:00:00+00:00,0001562088,"DUOLINGO, INC.",technology,0.8887948978274022,3,0.2
2024-10-01 00:00:00+00:00,0001162194,STANDARD BIOTOOLS INC.,technology,0.8639972011958527,2,0.2
2024-10-01 00:00:00+00:00,0001039399,FORMFACTOR INC,technology,0.856494098527048,3,0.2
2025-01-01 00:00:00+00:00,0000889900,PATTERSON UTI ENERGY INC,energy,0.9058423142370958,3,0.2
2025-01-01 00:00:00+00:00,0001045810,NVIDIA CORP,technology,0.9042362243415477,3,0.2
2025-01-01 00:00:00+00:00,0001562088,"DUOLINGO, INC.",technology,0.8888638575754809,3,0.2
2025-01-01 00:00:00+00:00,0001658566,PERMIAN RESOURCES CORP,energy,0.859708829646436,3,0.2
2025-01-01 00:00:00+00:00,0001451505,TRANSOCEAN LTD.,energy,0.8589525430138023,3,0.2
2025-04-01 00:00:00+00:00,0001045810,NVIDIA CORP,technology,0.8924841563633293,3,0.2
2025-04-01 00:00:00+00:00,0001562088,"DUOLINGO, INC.",technology,0.8888880753354022,3,0.2
2025-04-01 00:00:00+00:00,0000889900,PATTERSON UTI ENERGY INC,energy,0.8887613582018172,3,0.2
2025-04-01 00:00:00+00:00,0001104485,"NORTHERN OIL & GAS, INC.",energy,0.8509670459221693,3,0.2
2025-04-01 00:00:00+00:00,0001658566,PERMIAN RESOURCES CORP,energy,0.8504843571007529,3,0.2
2025-07-01 00:00:00+00:00,0001640428,"EVERQUOTE, INC.",technology,0.8608274919620534,3,0.2
2025-07-01 00:00:00+00:00,0000723125,MICRON TECHNOLOGY INC,technology,0.8538670123234882,3,0.2
2025-07-01 00:00:00+00:00,0001511737,UBIQUITI INC.,technology,0.8496331836156985,3,0.2
2025-07-01 00:00:00+00:00,0000927003,ADVANCED ENERGY INDUSTRIES INC,technology,0.8288177120612312,3,0.2
2025-07-01 00:00:00+00:00,0001751008,APPLOVIN CORP,technology,0.8176597640457551,3,0.2
2025-10-01 00:00:00+00:00,0000723125,MICRON TECHNOLOGY INC,technology,0.8651375702047798,3,0.2
2025-10-01 00:00:00+00:00,0001511737,UBIQUITI INC.,technology,0.8614441004900772,3,0.2
2025-10-01 00:00:00+00:00,0000033213,EQT CORP,energy,0.8502057613168725,3,0.2
2025-10-01 00:00:00+00:00,0001321655,PALANTIR TECHNOLOGIES INC.,technology,0.8439647550652474,3,0.2
2025-10-01 00:00:00+00:00,0001609253,CALIFORNIA RESOURCES CORP,energy,0.8408133623819899,3,0.2
2026-01-01 00:00:00+00:00,0001992243,"FREYR BATTERY, INC. /DE/",technology,0.8751058186127885,2,0.2
2026-01-01 00:00:00+00:00,0001321655,PALANTIR TECHNOLOGIES INC.,technology,0.8601310851861109,3,0.2
2026-01-01 00:00:00+00:00,0000723125,MICRON TECHNOLOGY INC,technology,0.8531046546453736,3,0.2
2026-01-01 00:00:00+00:00,0000912093,VIAVI SOLUTIONS INC.,technology,0.8160954128794676,3,0.2
2026-01-01 00:00:00+00:00,0000751978,VICOR CORP,technology,0.7651792787522794,3,0.2
2026-04-01 00:00:00+00:00,0000723125,MICRON TECHNOLOGY INC,technology,0.9237940938213418,3,0.2
2026-04-01 00:00:00+00:00,0001713445,"REDDIT, INC.",technology,0.8895451309620247,3,0.2
2026-04-01 00:00:00+00:00,0000751978,VICOR CORP,technology,0.8782016348773842,2,0.2
2026-04-01 00:00:00+00:00,0001321655,PALANTIR TECHNOLOGIES INC.,technology,0.8480005891450033,3,0.2
2026-04-01 00:00:00+00:00,0001838406,BKV CORP,energy,0.8479111250195587,2,0.2
2026-07-01 00:00:00+00:00,0000723125,MICRON TECHNOLOGY INC,technology,0.9310504231277837,3,0.2
2026-07-01 00:00:00+00:00,0000106040,WESTERN DIGITAL CORP,technology,0.9185562798908373,3,0.2
2026-07-01 00:00:00+00:00,0001713445,"REDDIT, INC.",technology,0.8875719221175921,3,0.2
2026-07-01 00:00:00+00:00,0001321655,PALANTIR TECHNOLOGIES INC.,technology,0.878744512786688,3,0.2
2026-07-01 00:00:00+00:00,0001736297,"ASTERA LABS, INC.",technology,0.8718415103884835,3,0.2
