decision_at,effective_date,holding_end,cik10,company_name,intended_weight,price_available,holding_return,equal_weight_return_contribution
2023-10-01 00:00:00+00:00,2023-10-06,2024-01-05,0000807863,MITEK SYSTEMS INC,0.2,True,0.10516599387466607,0.021033198774933218
2023-10-01 00:00:00+00:00,2023-10-06,2024-01-05,0001045810,NVIDIA CORP,0.2,True,0.07297123066951383,0.014594246133902767
2023-10-01 00:00:00+00:00,2023-10-06,2024-01-05,0001006655,EVOLUTION PETROLEUM CORP,0.2,True,-0.06579168449009698,-0.013158336898019396
2023-10-01 00:00:00+00:00,2023-10-06,2024-01-05,0000889900,PATTERSON UTI ENERGY INC,0.2,True,-0.1231236595558165,-0.0246247319111633
2024-01-01 00:00:00+00:00,2024-01-05,2024-04-05,0001045810,NVIDIA CORP,0.2,True,0.792617434149615,0.158523486829923
2024-01-01 00:00:00+00:00,2024-01-05,2024-04-05,0000936395,CIENA CORP,0.2,True,0.02498384320025071,0.004996768640050143
2024-01-01 00:00:00+00:00,2024-01-05,2024-04-05,0000909494,TUCOWS INC /PA/,0.2,True,-0.24611502874601154,-0.04922300574920231
2024-01-01 00:00:00+00:00,2024-01-05,2024-04-05,0000797721,VIASAT INC,0.2,True,-0.3526906944351422,-0.07053813888702845
2024-01-01 00:00:00+00:00,2024-01-05,2024-04-05,0000788965,HALLADOR ENERGY CO,0.2,True,-0.45258619936623823,-0.09051723987324765
2024-04-01 00:00:00+00:00,2024-04-05,2024-07-05,0000788965,HALLADOR ENERGY CO,0.2,True,0.4547244050142243,0.09094488100284487
2024-04-01 00:00:00+00:00,2024-04-05,2024-07-05,0001045810,NVIDIA CORP,0.2,True,0.42987365331018523,0.08597473066203705
2024-04-01 00:00:00+00:00,2024-04-05,2024-07-05,0000909494,TUCOWS INC /PA/,0.2,True,0.044568200727448826,0.008913640145489765
2024-04-01 00:00:00+00:00,2024-04-05,2024-07-05,0001680247,PROPETRO HOLDING CORP.,0.2,True,-0.037209376081893564,-0.007441875216378713
2024-04-01 00:00:00+00:00,2024-04-05,2024-07-05,0001451505,TRANSOCEAN LTD.,0.2,True,-0.21898931994333748,-0.0437978639886675
2024-07-01 00:00:00+00:00,2024-07-05,2024-10-04,0001162194,STANDARD BIOTOOLS INC.,0.2,True,-0.005376338917391199,-0.00107526778347824
2024-07-01 00:00:00+00:00,2024-07-05,2024-10-04,0001045810,NVIDIA CORP,0.2,True,-0.007146999966597178,-0.0014293999933194359
2024-07-01 00:00:00+00:00,2024-07-05,2024-10-04,0000004447,HESS CORP,0.2,True,-0.04082045865213568,-0.008164091730427137
2024-07-01 00:00:00+00:00,2024-07-05,2024-10-04,0000045012,HALLIBURTON CO,0.2,True,-0.0553450122363357,-0.011069002447267141
2024-07-01 00:00:00+00:00,2024-07-05,2024-10-04,0001658566,PERMIAN RESOURCES CORP,0.2,True,-0.07099232767161723,-0.014198465534323447
2024-10-01 00:00:00+00:00,2024-10-04,2025-01-03,0001507605,"MARATHON DIGITAL HOLDINGS, INC.",0.2,True,0.2041692233442174,0.04083384466884348
2024-10-01 00:00:00+00:00,2024-10-04,2025-01-03,0001562088,"DUOLINGO, INC.",0.2,True,0.1995485176652958,0.039909703533059164
2024-10-01 00:00:00+00:00,2024-10-04,2025-01-03,0001045810,NVIDIA CORP,0.2,True,0.1565798077681817,0.03131596155363634
2024-10-01 00:00:00+00:00,2024-10-04,2025-01-03,0001162194,STANDARD BIOTOOLS INC.,0.2,True,-0.016216200542241044,-0.003243240108448209
2024-10-01 00:00:00+00:00,2024-10-04,2025-01-03,0001039399,FORMFACTOR INC,0.2,True,-0.040569725117064914,-0.008113945023412983
2025-01-01 00:00:00+00:00,2025-01-03,2025-04-04,0001562088,"DUOLINGO, INC.",0.2,True,-0.13874020177175317,-0.027748040354350634
2025-01-01 00:00:00+00:00,2025-01-03,2025-04-04,0001658566,PERMIAN RESOURCES CORP,0.2,True,-0.2820593149540518,-0.05641186299081036
2025-01-01 00:00:00+00:00,2025-01-03,2025-04-04,0000889900,PATTERSON UTI ENERGY INC,0.2,True,-0.33313673571679214,-0.06662734714335843
2025-01-01 00:00:00+00:00,2025-01-03,2025-04-04,0001045810,NVIDIA CORP,0.2,True,-0.34713999542620966,-0.06942799908524193
2025-01-01 00:00:00+00:00,2025-01-03,2025-04-04,0001451505,TRANSOCEAN LTD.,0.2,True,-0.4520201880327842,-0.09040403760655685
2025-04-01 00:00:00+00:00,2025-04-04,2025-07-04,0001045810,NVIDIA CORP,0.2,True,0.6896514626985419,0.1379302925397084
2025-04-01 00:00:00+00:00,2025-04-04,2025-07-04,0001562088,"DUOLINGO, INC.",0.2,True,0.33795403857751904,0.06759080771550381
2025-04-01 00:00:00+00:00,2025-04-04,2025-07-04,0001658566,PERMIAN RESOURCES CORP,0.2,True,0.3211808747306506,0.06423617494613013
2025-04-01 00:00:00+00:00,2025-04-04,2025-07-04,0001104485,"NORTHERN OIL & GAS, INC.",0.2,True,0.2932995471415851,0.05865990942831703
2025-04-01 00:00:00+00:00,2025-04-04,2025-07-04,0000889900,PATTERSON UTI ENERGY INC,0.2,True,0.13123568726265078,0.026247137452530156
2025-07-01 00:00:00+00:00,2025-07-04,2025-10-03,0001751008,APPLOVIN CORP,0.2,True,0.9984778728809471,0.19969557457618944
2025-07-01 00:00:00+00:00,2025-07-04,2025-10-03,0001511737,UBIQUITI INC.,0.2,True,0.5646739015592621,0.11293478031185243
2025-07-01 00:00:00+00:00,2025-07-04,2025-10-03,0000723125,MICRON TECHNOLOGY INC,0.2,True,0.5383477420024694,0.10766954840049388
2025-07-01 00:00:00+00:00,2025-07-04,2025-10-03,0000927003,ADVANCED ENERGY INDUSTRIES INC,0.2,True,0.25939328633176895,0.051878657266353795
2025-07-01 00:00:00+00:00,2025-07-04,2025-10-03,0001640428,"EVERQUOTE, INC.",0.2,True,-0.09213208991519573,-0.018426417983039147
2025-10-01 00:00:00+00:00,2025-10-03,2026-01-02,0000723125,MICRON TECHNOLOGY INC,0.2,True,0.6799630301787389,0.13599260603574778
2025-10-01 00:00:00+00:00,2025-10-03,2026-01-02,0001321655,PALANTIR TECHNOLOGIES INC.,0.2,True,-0.030103463878100367,-0.006020692775620074
2025-10-01 00:00:00+00:00,2025-10-03,2026-01-02,0000033213,EQT CORP,0.2,True,-0.04304109128167499,-0.008608218256335
2025-10-01 00:00:00+00:00,2025-10-03,2026-01-02,0001609253,CALIFORNIA RESOURCES CORP,0.2,True,-0.11456128124353981,-0.022912256248707963
2025-10-01 00:00:00+00:00,2025-10-03,2026-01-02,0001511737,UBIQUITI INC.,0.2,True,-0.14384367028798628,-0.028768734057597257
2026-01-01 00:00:00+00:00,2026-01-02,2026-04-03,0000912093,VIAVI SOLUTIONS INC.,0.2,True,1.0325068961426052,0.20650137922852105
2026-01-01 00:00:00+00:00,2026-01-02,2026-04-03,0000751978,VICOR CORP,0.2,True,0.3318500648361429,0.06637001296722858
2026-01-01 00:00:00+00:00,2026-01-02,2026-04-03,0000723125,MICRON TECHNOLOGY INC,0.2,True,0.16160605938863015,0.03232121187772603
2026-01-01 00:00:00+00:00,2026-01-02,2026-04-03,0001321655,PALANTIR TECHNOLOGIES INC.,0.2,True,-0.1155724641126209,-0.02311449282252418
2026-01-01 00:00:00+00:00,2026-01-02,2026-04-03,0001992243,"FREYR BATTERY, INC. /DE/",0.2,True,-0.4655612275929115,-0.09311224551858231
2026-04-01 00:00:00+00:00,2026-04-03,2026-08-14,0000723125,MICRON TECHNOLOGY INC,0.2,True,1.5938624094161682,0.31877248188323365
2026-04-01 00:00:00+00:00,2026-04-03,2026-08-14,0000751978,VICOR CORP,0.2,True,0.4561809321410353,0.09123618642820706
2026-04-01 00:00:00+00:00,2026-04-03,2026-08-14,0001321655,PALANTIR TECHNOLOGIES INC.,0.2,True,0.20577924297045835,0.041155848594091674
2026-04-01 00:00:00+00:00,2026-04-03,2026-08-14,0001713445,"REDDIT, INC.",0.2,True,0.16264702292049638,0.032529404584099274
2026-04-01 00:00:00+00:00,2026-04-03,2026-08-14,0001838406,BKV CORP,0.2,True,-0.06188921955889093,-0.012377843911778187
