strategy,cost_bps,window,weeks,start,end,total_return,cagr,arithmetic_ann_return,ann_vol,sharpe_zero_rf,sortino_zero_target,max_drawdown,calmar,positive_week_share,var_5_weekly,cvar_5_weekly,best_week,worst_week,annualized_one_way_turnover
v1_frontier_legacy_unqualified,50,trailing_5y,261,2021-04-16,2026-04-10,0.5154444279819215,0.08634972361673632,0.08559974544599339,0.07382533506901949,1.1594901041216537,1.8782197413793706,-0.0741142246451767,1.1650897520703658,0.5900383141762452,-0.014317114580960022,-0.019463438648006502,0.035219957675519345,-0.03260951131948264,3.679365560683016
v1_frontier_legacy_unqualified,50,trailing_10y,522,2016-04-15,2026-04-10,0.9259095301190796,0.06746718271261676,0.06850714273097973,0.0797310838060654,0.8592275366231529,1.2700171349825595,-0.11716695271612199,0.5758209217583704,0.5900383141762452,-0.015575384886327365,-0.025050951339684366,0.07011555719852462,-0.0683877925825895,3.5750612741155408
v1_frontier_legacy_unqualified,50,post_2024,119,2024-01-05,2026-04-10,0.38282150924605496,0.1521559008020481,0.14498922045494234,0.0798362665235305,1.8160821737851307,2.9491699002827603,-0.07411422464517659,2.0529918720798563,0.6470588235294118,-0.016030297897163624,-0.02341570188031088,0.026505097426313802,-0.03260951131948264,4.122365501598849
v1_frontier_legacy_unqualified,50,full,1110,2005-01-07,2026-04-10,2.2295264006559874,0.056456329005044825,0.05778625390651333,0.0752751814484257,0.7676667501107947,1.1131125214425217,-0.1171669527161221,0.4818451593755282,0.5423423423423424,-0.01563725441768167,-0.025317362056577784,0.07011555719852462,-0.0683877925825895,3.504165738139426
ggg_plus_residual_raw_10_rejected,50,trailing_1y,53,2025-04-11,2026-04-10,0.23006454749158523,0.22526816200680555,0.20790274480317228,0.09403833588335798,2.2108296882353162,3.5742542160014015,-0.07998248079631631,2.816468803718083,0.7169811320754716,-0.016671815467170073,-0.027575085034933222,0.028529323977832026,-0.035027938182677326,4.89762786912488
ggg_plus_residual_raw_10_rejected,50,trailing_2y,105,2024-04-12,2026-04-10,0.3424771607962114,0.15702934132025548,0.1499438477845026,0.08851248601571264,1.6940417621744883,2.692422740137106,-0.07998248079631631,1.9632967089398863,0.6476190476190476,-0.018926368833244032,-0.02536224772492557,0.028529323977832026,-0.035027938182677326,4.397976358118664
ggg_plus_residual_raw_10_rejected,50,trailing_3y,157,2023-04-14,2026-04-10,0.44687285022444434,0.13015021672015714,0.12605630912471788,0.08465917382801263,1.4889858171874513,2.365356771760016,-0.07998248079631631,1.6272340570630484,0.6178343949044586,-0.017280839835719958,-0.023747477811422866,0.028529323977832026,-0.035027938182677326,4.298213817449961
ggg_plus_residual_raw_10_rejected,50,trailing_5y,261,2021-04-16,2026-04-10,0.553437310187719,0.09172224879156587,0.09102450505096006,0.08013347213997919,1.1359111569751543,1.816961189972082,-0.08015686905943031,1.1442843248226262,0.5862068965517241,-0.01642892755056524,-0.021262833415902783,0.040426621653708944,-0.035027938182677326,3.9164051311447357
ggg_plus_residual_raw_10_rejected,50,trailing_10y,522,2016-04-15,2026-04-10,1.0066465511882052,0.07184305693805637,0.07304656712638008,0.08511911883656965,0.858168741932478,1.2689956278036012,-0.12412588331726182,0.5787919088110559,0.5996168582375478,-0.017789834555414517,-0.026745843163128374,0.07217199266225065,-0.07017637891975581,3.726621225458889
ggg_plus_residual_raw_10_rejected,50,post_2024,119,2024-01-05,2026-04-10,0.4056800232783153,0.1604399199960349,0.15260538331433632,0.08509562184758913,1.7933400097558583,2.8713806968606677,-0.07998248079631631,2.0059382804668413,0.6470588235294118,-0.017272425028473162,-0.02536224772492557,0.028529323977832026,-0.035027938182677326,4.439415363338229
ggg_plus_residual_raw_10_rejected,50,full,1110,2005-01-07,2026-04-10,2.2596265862592495,0.05691556990742086,0.058660730414060835,0.08088008902868674,0.7252802403970514,1.0435472288422578,-0.1259608202696576,0.4518513755751646,0.5630630630630631,-0.017024456081072212,-0.027178173820975007,0.07217199266225065,-0.07017637891975581,3.6352335721314484
legacy_ggg_lookahead_warning,50,trailing_1y,53,2025-04-11,2026-04-10,0.21001957423699325,0.20567505385291684,0.19108255372090122,0.0868704800620967,2.199625852007629,3.605422856178565,-0.07354015343261922,2.7967721612297907,0.6981132075471698,-0.016208521333786374,-0.025406811738999776,0.027570838189609224,-0.03274869021387396,3.9246611514331566
legacy_ggg_lookahead_warning,50,trailing_2y,105,2024-04-12,2026-04-10,0.33455621241270306,0.1536434201418364,0.1465981760104861,0.08376411092120416,1.7501311050551132,2.821172954776024,-0.073540153432619,2.089245303011393,0.6476190476190476,-0.01689516524838297,-0.023752023278568676,0.027570838189609224,-0.03274869021387396,3.7237152425746425
legacy_ggg_lookahead_warning,50,trailing_3y,157,2023-04-14,2026-04-10,0.4410298303675202,0.1286365360700168,0.12438197354392583,0.08064411197395165,1.5423565403522785,2.4822732889320633,-0.073540153432619,1.7492013555272188,0.6242038216560509,-0.01581822439694327,-0.02232625518102471,0.027570838189609224,-0.03274869021387396,3.5626549901799627
legacy_ggg_lookahead_warning,50,trailing_5y,261,2021-04-16,2026-04-10,0.5219473139035953,0.08727688160021696,0.0865090500404336,0.07456659529919578,1.160158241010189,1.8763948504574226,-0.0735401534326191,1.1867922152240828,0.5900383141762452,-0.014495702078314498,-0.019654053236688892,0.03532953462607406,-0.03274869021387396,3.3319011068792697
legacy_ggg_lookahead_warning,50,trailing_10y,522,2016-04-15,2026-04-10,0.9435265896237324,0.06843591348784406,0.06949588345338246,0.08072771420153782,0.8608677223274904,1.2691010668074245,-0.119991053658141,0.5703417996713366,0.5938697318007663,-0.015516574950375481,-0.02555749767773347,0.0701155571985248,-0.06831100473868179,3.22338413323212
legacy_ggg_lookahead_warning,50,post_2024,119,2024-01-05,2026-04-10,0.3868753057225065,0.15363060676381313,0.14636633253597495,0.08101986617036369,1.8065486831119253,2.9301546089942923,-0.073540153432619,2.089071066523907,0.6470588235294118,-0.015693538397838925,-0.023752023278568676,0.027570838189609224,-0.03274869021387396,3.695045986153809
legacy_ggg_lookahead_warning,50,full,1110,2005-01-07,2026-04-10,2.3122987165588267,0.0577095530765428,0.05905370195922296,0.07632910453227167,0.773672144080444,1.1199407796547738,-0.11999105365814111,0.4809487984075831,0.545045045045045,-0.016178491450727018,-0.02571227383507003,0.0701155571985248,-0.06831100473868179,3.2156184750171803
spy_buy_hold,50,trailing_1y,53,2025-04-11,2026-04-10,0.28712793786511015,0.28101254475453374,0.2568708782737687,0.13331369447221908,1.9268153905021168,3.8680654977444027,-0.08392272379650201,3.3484678766616325,0.5471698113207547,-0.02305191859344948,-0.02457640293505592,0.05291130253665899,-0.025395645273430634,0.0
spy_buy_hold,50,trailing_2y,105,2024-04-12,2026-04-10,0.3624273964065947,0.16551293186116722,0.1650769736731323,0.15329538828196332,1.0768554457065502,1.6624667595717688,-0.16877152861288947,0.9806922602496747,0.5523809523809524,-0.024182381934562503,-0.040511938981111495,0.05672095751551498,-0.09066696975241961,0.0
spy_buy_hold,50,trailing_3y,157,2023-04-14,2026-04-10,0.7118626852841765,0.19488824148012762,0.18839039957145265,0.1419604847182448,1.3270622451406766,2.1122775423442093,-0.16877152861288947,1.1547459638594728,0.5732484076433121,-0.02415118159717462,-0.037154103028374075,0.058464063433988356,-0.09066696975241961,0.0
spy_buy_hold,50,trailing_5y,261,2021-04-16,2026-04-10,0.7434850160988806,0.11711696967826368,0.12369747070654102,0.1604739303612135,0.7708259555188078,1.1725593642346959,-0.23927185593503852,0.48947240042330986,0.5440613026819924,-0.030731732175387938,-0.045576894291152525,0.06620030338598482,-0.09066696975241961,0.0
spy_buy_hold,50,trailing_10y,522,2016-04-15,2026-04-10,2.8490285650765705,0.14369662875483913,0.14896122937159326,0.16986559604586712,0.876935841271653,1.2785252339616322,-0.3182898878407254,0.451464637251517,0.5804597701149425,-0.03218917867662904,-0.054713221817977144,0.1209154610712686,-0.1454576272510435,0.0
spy_buy_hold,50,post_2024,119,2024-01-05,2026-04-10,0.4920466895154716,0.1910734215210994,0.18584393937430702,0.1465411338915945,1.2682032303079298,1.977192042344137,-0.16877152861288935,1.132142507041954,0.5630252100840336,-0.024145981540943308,-0.040511938981111495,0.05672095751551498,-0.09066696975241961,0.0
spy_buy_hold,50,full,1110,2005-01-07,2026-04-10,7.479956671927145,0.1053309083209204,0.11583555728299263,0.17565837902043552,0.6594365604928912,0.9388721189224535,-0.5461301944883752,0.19286776190720664,0.5693693693693693,-0.036644000503834186,-0.058004268096330844,0.13292258352845132,-0.19793350420686306,0.0
