Date,target_multiplier
2024-06-07 00:00:00+00:00,1.25
2024-06-14 00:00:00+00:00,1.25
2024-06-21 00:00:00+00:00,1.25
2024-06-28 00:00:00+00:00,1.25
2024-07-05 00:00:00+00:00,1.25
2024-07-12 00:00:00+00:00,1.25
2024-07-19 00:00:00+00:00,1.25
2024-07-26 00:00:00+00:00,1.25
2024-08-02 00:00:00+00:00,1.0
2024-08-09 00:00:00+00:00,1.0
2024-08-16 00:00:00+00:00,1.0
2024-08-23 00:00:00+00:00,1.0
2024-08-30 00:00:00+00:00,1.0
2024-09-06 00:00:00+00:00,1.0
2024-09-13 00:00:00+00:00,1.0
2024-09-20 00:00:00+00:00,1.0
2024-09-27 00:00:00+00:00,1.0
2024-10-04 00:00:00+00:00,1.0
2024-10-11 00:00:00+00:00,1.0
2024-10-18 00:00:00+00:00,1.25
2024-10-25 00:00:00+00:00,1.25
2024-11-01 00:00:00+00:00,1.25
2024-11-08 00:00:00+00:00,1.25
2024-11-15 00:00:00+00:00,1.25
2024-11-22 00:00:00+00:00,1.25
2024-11-29 00:00:00+00:00,1.25
2024-12-06 00:00:00+00:00,1.25
2024-12-13 00:00:00+00:00,1.25
2024-12-20 00:00:00+00:00,1.25
2024-12-27 00:00:00+00:00,1.25
2025-01-03 00:00:00+00:00,1.0
2025-01-10 00:00:00+00:00,1.0
2025-01-17 00:00:00+00:00,1.0
2025-01-24 00:00:00+00:00,1.25
2025-01-31 00:00:00+00:00,1.25
2025-02-07 00:00:00+00:00,1.0
2025-02-14 00:00:00+00:00,1.25
2025-02-21 00:00:00+00:00,1.0
2025-02-28 00:00:00+00:00,1.0
2025-03-07 00:00:00+00:00,1.0
2025-03-14 00:00:00+00:00,1.0
2025-03-21 00:00:00+00:00,1.0
2025-03-28 00:00:00+00:00,1.0
2025-04-04 00:00:00+00:00,1.0
2025-04-11 00:00:00+00:00,1.0
2025-04-18 00:00:00+00:00,1.0
2025-04-25 00:00:00+00:00,1.0
2025-05-02 00:00:00+00:00,1.0
2025-05-09 00:00:00+00:00,1.0
2025-05-16 00:00:00+00:00,1.0
2025-05-23 00:00:00+00:00,1.25
2025-05-30 00:00:00+00:00,1.25
2025-06-06 00:00:00+00:00,1.25
2025-06-13 00:00:00+00:00,1.25
2025-06-20 00:00:00+00:00,1.25
2025-06-27 00:00:00+00:00,1.25
2025-07-04 00:00:00+00:00,1.25
2025-07-11 00:00:00+00:00,1.25
2025-07-18 00:00:00+00:00,1.25
2025-07-25 00:00:00+00:00,1.25
2025-08-01 00:00:00+00:00,1.25
2025-08-08 00:00:00+00:00,1.25
2025-08-15 00:00:00+00:00,1.25
2025-08-22 00:00:00+00:00,1.25
2025-08-29 00:00:00+00:00,1.25
2025-09-05 00:00:00+00:00,1.25
2025-09-12 00:00:00+00:00,1.25
2025-09-19 00:00:00+00:00,1.25
2025-09-26 00:00:00+00:00,1.25
2025-10-03 00:00:00+00:00,1.25
2025-10-10 00:00:00+00:00,1.25
2025-10-17 00:00:00+00:00,1.25
2025-10-24 00:00:00+00:00,1.25
2025-10-31 00:00:00+00:00,1.25
2025-11-07 00:00:00+00:00,1.25
2025-11-14 00:00:00+00:00,1.25
2025-11-21 00:00:00+00:00,1.25
2025-11-28 00:00:00+00:00,1.25
2025-12-05 00:00:00+00:00,1.25
2025-12-12 00:00:00+00:00,1.25
2025-12-19 00:00:00+00:00,1.25
2025-12-26 00:00:00+00:00,1.25
2026-01-02 00:00:00+00:00,1.25
2026-01-09 00:00:00+00:00,1.25
2026-01-16 00:00:00+00:00,1.25
2026-01-23 00:00:00+00:00,1.25
2026-01-30 00:00:00+00:00,1.25
2026-02-06 00:00:00+00:00,1.25
2026-02-13 00:00:00+00:00,1.25
2026-02-20 00:00:00+00:00,1.25
2026-02-27 00:00:00+00:00,1.25
2026-03-06 00:00:00+00:00,1.25
2026-03-13 00:00:00+00:00,1.25
2026-03-20 00:00:00+00:00,1.25
2026-03-27 00:00:00+00:00,1.25
2026-04-03 00:00:00+00:00,1.25
2026-04-10 00:00:00+00:00,1.25
2026-04-17 00:00:00+00:00,1.25
2026-04-24 00:00:00+00:00,1.25
2026-05-01 00:00:00+00:00,1.25
2026-05-08 00:00:00+00:00,1.25
2026-05-15 00:00:00+00:00,1.25
2026-05-22 00:00:00+00:00,1.25
2026-05-29 00:00:00+00:00,1.25
2026-06-05 00:00:00+00:00,1.25
2026-06-12 00:00:00+00:00,1.25
2026-06-19 00:00:00+00:00,1.25
2026-06-26 00:00:00+00:00,1.25
2026-07-03 00:00:00+00:00,1.25
2026-07-10 00:00:00+00:00,1.25
2026-07-17 00:00:00+00:00,1.25
2026-07-24 00:00:00+00:00,1.125
2026-07-31 00:00:00+00:00,1.125
2026-08-07 00:00:00+00:00,1.25
