decision_date,realization_date,cost_bps,gross_return,turnover,cost,net_return
2012-11-16,2012-11-23,10.0,0.039912331761576186,0.0,0.0,0.039912331761576186
2012-11-23,2012-11-30,10.0,0.008269592431550713,0.0,0.0,0.008269592431550713
2012-11-30,2012-12-07,10.0,0.0021255931720624358,0.0,0.0,0.0021255931720624358
2012-12-07,2012-12-14,10.0,-0.0066474973299133445,1.0,0.001,-0.0076474973299133445
2012-12-14,2012-12-21,10.0,-0.019634049589861615,0.0,0.0,-0.019634049589861615
2012-12-21,2012-12-28,10.0,-0.001734141151239211,0.0,0.0,-0.001734141151239211
2012-12-28,2013-01-04,10.0,0.015348237633926906,0.0,0.0,0.015348237633926906
2013-01-04,2013-01-11,10.0,0.0034793008862929963,0.8906676359665403,0.0008906676359665402,0.002588633250326456
2013-01-11,2013-01-18,10.0,0.01080207374417213,0.0,0.0,0.01080207374417213
2013-01-18,2013-01-25,10.0,0.010924806364139426,0.0,0.0,0.010924806364139426
2013-01-25,2013-02-01,10.0,0.00703749056939292,0.0,0.0,0.00703749056939292
2013-02-01,2013-02-08,10.0,0.0017773206286175079,0.44131397412320006,0.00044131397412320005,0.0013360066544943078
2013-02-08,2013-02-15,10.0,-0.0031020070928795733,0.0,0.0,-0.0031020070928795733
2013-02-15,2013-02-22,10.0,-0.0033682753032906227,0.0,0.0,-0.0033682753032906227
2013-02-22,2013-03-01,10.0,0.0043107910104963724,0.0,0.0,0.0043107910104963724
2013-03-01,2013-03-08,10.0,0.007427056247670767,0.665949710382579,0.0006659497103825789,0.006761106537288188
2013-03-08,2013-03-15,10.0,0.0064929839800527194,0.0,0.0,0.0064929839800527194
2013-03-15,2013-03-22,10.0,0.0016313953541731182,0.0,0.0,0.0016313953541731182
2013-03-22,2013-03-29,10.0,0.007411812071973769,0.0,0.0,0.007411812071973769
2013-03-29,2013-04-05,10.0,0.0018072757779300855,0.0,0.0,0.0018072757779300855
2013-04-05,2013-04-12,10.0,-0.01940287730376946,1.0,0.001,-0.02040287730376946
2013-04-12,2013-04-19,10.0,-0.04568289526834302,0.0,0.0,-0.04568289526834302
2013-04-19,2013-04-26,10.0,0.034873583567781787,0.0,0.0,0.034873583567781787
2013-04-26,2013-05-03,10.0,0.017004039328070528,0.0,0.0,0.017004039328070528
2013-05-03,2013-05-10,10.0,0.0011800537673668885,1.0,0.001,0.00018005376736688846
2013-05-10,2013-05-17,10.0,-0.0026464741276496654,0.0,0.0,-0.0026464741276496654
2013-05-17,2013-05-24,10.0,-0.014154651294987079,0.0,0.0,-0.014154651294987079
2013-05-24,2013-05-31,10.0,-0.01670913078935394,0.0,0.0,-0.01670913078935394
2013-05-31,2013-06-07,10.0,-0.005123944295531792,0.0,0.0,-0.005123944295531792
2013-06-07,2013-06-14,10.0,-0.007707847773255125,0.8974297480919879,0.000897429748091988,-0.008605277521347113
2013-06-14,2013-06-21,10.0,-0.03911610801246547,0.0,0.0,-0.03911610801246547
2013-06-21,2013-06-28,10.0,0.014774664973983984,0.0,0.0,0.014774664973983984
2013-06-28,2013-07-05,10.0,0.008424204331776743,0.0,0.0,0.008424204331776743
2013-07-05,2013-07-12,10.0,0.030261663833308645,0.889408097783691,0.000889408097783691,0.029372255735524953
2013-07-12,2013-07-19,10.0,0.009149477188922624,0.0,0.0,0.009149477188922624
2013-07-19,2013-07-26,10.0,-0.00785659699354339,0.0,0.0,-0.00785659699354339
2013-07-26,2013-08-02,10.0,0.008990651075313582,0.0,0.0,0.008990651075313582
2013-08-02,2013-08-09,10.0,0.0006741004937330743,0.5092207190044109,0.0005092207190044108,0.00016487977472866354
2013-08-09,2013-08-16,10.0,0.016185133030262665,0.0,0.0,0.016185133030262665
2013-08-16,2013-08-23,10.0,0.002498812240177148,0.0,0.0,0.002498812240177148
2013-08-23,2013-08-30,10.0,-0.018814560264335572,0.0,0.0,-0.018814560264335572
2013-08-30,2013-09-06,10.0,0.020710428449702674,0.0,0.0,0.020710428449702674
2013-09-06,2013-09-13,10.0,0.0013932520714703702,0.8783724479460593,0.0008783724479460594,0.0005148796235243108
2013-09-13,2013-09-20,10.0,0.014913570168826974,0.0,0.0,0.014913570168826974
2013-09-20,2013-09-27,10.0,0.008137615703878272,0.0,0.0,0.008137615703878272
2013-09-27,2013-10-04,10.0,-0.008208637182992865,0.0,0.0,-0.008208637182992865
2013-10-04,2013-10-11,10.0,0.0060914046607690505,1.0,0.001,0.0050914046607690505
2013-10-11,2013-10-18,10.0,0.02629168047156251,0.0,0.0,0.02629168047156251
2013-10-18,2013-10-25,10.0,0.011979940455655896,0.0,0.0,0.011979940455655896
2013-10-25,2013-11-01,10.0,-0.007637501358387049,0.0,0.0,-0.007637501358387049
2013-11-01,2013-11-08,10.0,-0.008946185781397314,0.8751446412917194,0.0008751446412917194,-0.009821330422689033
2013-11-08,2013-11-15,10.0,0.0027070860596666475,0.0,0.0,0.0027070860596666475
2013-11-15,2013-11-22,10.0,-0.01673118342501656,0.0,0.0,-0.01673118342501656
2013-11-22,2013-11-29,10.0,0.0007258345519471179,0.0,0.0,0.0007258345519471179
2013-11-29,2013-12-06,10.0,-0.01091657222252808,0.0,0.0,-0.01091657222252808
2013-12-06,2013-12-13,10.0,-0.01104367300010259,0.7502567831925007,0.0007502567831925006,-0.01179392978329509
2013-12-13,2013-12-20,10.0,0.013772187534604335,0.0,0.0,0.013772187534604335
2013-12-20,2013-12-27,10.0,0.013093112839326392,0.0,0.0,0.013093112839326392
2013-12-27,2014-01-03,10.0,0.004126085668766186,0.0,0.0,0.004126085668766186
2014-01-03,2014-01-10,10.0,0.007488686214765313,0.8699069684212757,0.0008699069684212757,0.006618779246344037
2014-01-10,2014-01-17,10.0,-0.0016802123183358205,0.0,0.0,-0.0016802123183358205
2014-01-17,2014-01-24,10.0,-0.024077589993047835,0.0,0.0,-0.024077589993047835
2014-01-24,2014-01-31,10.0,0.006507145332811834,0.0,0.0,0.006507145332811834
2014-01-31,2014-02-07,10.0,0.007406680196505013,0.0,0.0,0.007406680196505013
2014-02-07,2014-02-14,10.0,0.021482254415853923,0.5724464901057382,0.0005724464901057382,0.020909807925748185
2014-02-14,2014-02-21,10.0,0.005185890827670381,0.0,0.0,0.005185890827670381
2014-02-21,2014-02-28,10.0,0.012633510905649957,0.0,0.0,0.012633510905649957
2014-02-28,2014-03-07,10.0,0.017573742361373063,0.0,0.0,0.017573742361373063
