decision_date,realization_date,gross_return,net_return,turnover,cost,wealth,drawdown
2017-06-16,2017-06-23,0.00882768975977638,0.00882768975977638,0.0,0.0,2.7414799744784193,-0.03131804415212158
2017-06-23,2017-06-30,-0.007108159661873115,-0.007108159661873115,0.0,0.0,2.7219930971099986,-0.03820359015586394
2017-06-30,2017-07-07,-0.003961665892899396,-0.004461665892899397,0.5,0.0005,2.709848473347915,-0.04249480439357867
2017-07-07,2017-07-14,0.031401786788184616,0.031401786788184616,0.0,0.0,2.794942557336274,-0.012427430392566774
2017-07-14,2017-07-21,0.00632357900225744,0.00632357900225744,0.0,0.0,2.812616597404361,-0.006182437228191895
2017-07-21,2017-07-28,0.0030191923124552045,0.0030191923124552045,0.0,0.0,2.8211084278131278,-0.003181910882688488
2017-07-28,2017-08-04,0.004510840996672094,0.004260840996672094,0.25,0.00025,2.8331287222584107,0.0
2017-08-04,2017-08-11,-0.017000572105400708,-0.017000572105400708,0.0,0.0,2.784963913131775,-0.017000572105400624
2017-08-11,2017-08-18,-0.0011678505128256134,-0.0011678505128256134,0.0,0.0,2.781711491597623,-0.018148568491374695
2017-08-18,2017-08-25,0.007952261923174664,0.007952261923174664,0.0,0.0,2.8038323899735125,-0.010340628738374047
2017-08-25,2017-09-01,0.012527658601129421,0.012527658601129421,0.0,0.0,2.8389578449298893,0.0
2017-09-01,2017-09-08,-0.0004002198774431531,-0.0004002198774431531,0.0,0.0,2.8378216375691254,-0.0004002198774430976
2017-09-08,2017-09-15,0.011181623270427099,0.011181623270427099,0.0,0.0,2.86955309002909,0.0
2017-09-15,2017-09-22,0.00017275171900427177,0.00017275171900427177,0.0,0.0,2.8700488102581665,0.0
2017-09-22,2017-09-29,0.004657871727566598,0.004657871727566598,0.0,0.0,2.883417129468204,0.0
2017-09-29,2017-10-06,0.00791832677462867,0.00766832677462867,0.25,0.00025,2.905528114244528,0.0
2017-10-06,2017-10-13,0.014434840541303118,0.014434840541303118,0.0,0.0,2.947468949261921,0.0
2017-10-13,2017-10-20,-0.003382948154547205,-0.003382948154547205,0.0,0.0,2.93749781461943,-0.003382948154547205
2017-10-20,2017-10-27,0.00288772293882375,0.00288772293882375,0.0,0.0,2.9459804944414514,-0.0005049942327101098
2017-10-27,2017-11-03,0.007489416123042186,0.007489416123042186,0.0,0.0,2.9680441682546888,0.0
2017-11-03,2017-11-10,-0.002997306558289309,-0.002997306558289309,0.0,0.0,2.9591480300038864,-0.0029973065582894476
2017-11-10,2017-11-17,-0.00029105667226347887,-0.00029105667226347887,0.0,0.0,2.9582867502255383,-0.003287490844480323
2017-11-17,2017-11-24,0.01785031317727026,0.01785031317727026,0.0,0.0,3.0110930951852333,0.0
2017-11-24,2017-12-01,-0.01476352736982789,-0.01476352736982789,0.0,0.0,2.9666387398613665,-0.014763527369827778
2017-12-01,2017-12-08,0.0005487612067545666,0.0005487612067545666,0.0,0.0,2.9682667161162577,-0.014222867814168705
2017-12-08,2017-12-15,0.007269607013971113,0.007269607013971113,0.0,0.0,2.9898448486550735,-0.007056655459818151
2017-12-15,2017-12-22,0.013364218592406607,0.013364218592406607,0.0,0.0,3.0298017887698805,0.0
2017-12-22,2017-12-29,0.002310641632665922,0.002310641632665922,0.0,0.0,3.036802574921738,0.0
2017-12-29,2018-01-05,0.03655239340455191,0.03630239340455191,0.25,0.00025,3.147045776688503,0.0
2018-01-05,2018-01-12,0.0163427352216432,0.0163427352216432,0.0,0.0,3.1984771125473137,0.0
2018-01-12,2018-01-19,0.010926496945354802,0.010926496945354802,0.0,0.0,3.233425262947349,0.0
2018-01-19,2018-01-26,0.022063548580846803,0.022063548580846803,0.0,0.0,3.304766098318925,0.0
2018-01-26,2018-02-02,-0.041376040952694565,-0.041626040952694565,0.25,0.00025,3.167201769371225,-0.04162604095269451
2018-02-02,2018-02-09,-0.05219538226197942,-0.05219538226197942,0.0,0.0,3.0018884623180764,-0.09164873609509516
2018-02-09,2018-02-16,0.05056720789987407,0.05056720789987407,0.0,0.0,3.1536855802843475,-0.04571594888710262
2018-02-16,2018-02-23,0.008384515550901306,0.008384515550901306,0.0,0.0,3.1801277060748947,-0.037714739420569465
2018-02-23,2018-03-02,-0.024071183039848176,-0.024321183039848177,0.25,0.00025,3.1027832380453546,-0.06111865537966976
2018-03-02,2018-03-09,0.025026555433666886,0.025026555433666886,0.0,0.0,3.180435214750949,-0.03762168936289334
2018-03-09,2018-03-16,-0.006958941330717422,-0.006958941330717422,0.0,0.0,3.1583027526853495,-0.04431882356457195
2018-03-16,2018-03-23,-0.046983004865572664,-0.046983004865572664,0.0,0.0,3.0099161990889822,-0.0892195969269739
2018-03-23,2018-03-30,0.0257826973303385,0.0257826973303385,0.0,0.0,3.0875199574397767,-0.06573722146013827
2018-03-30,2018-04-06,-0.01560756161259505,-0.01560756161259505,0.0,0.0,3.039331299473919,-0.0803187853385533
2018-04-06,2018-04-13,0.01712457299045389,0.01712457299045389,0.0,0.0,3.091378550153931,-0.0645696372501341
2018-04-13,2018-04-20,0.0020371008322372097,0.0020371008322372097,0.0,0.0,3.09767599997121,-0.06266407127967633
2018-04-20,2018-04-27,-0.000598691532018969,-0.000598691532018969,0.0,0.0,3.095821447581089,-0.0632252463628582
2018-04-27,2018-05-04,-0.000718729963157555,-0.000968729963157555,0.25,0.00025,3.0928224325842315,-0.06413272813543602
2018-05-04,2018-05-11,0.020675948763304308,0.020675948763304308,0.0,0.0,3.1567694707343414,-0.044782784373110895
2018-05-11,2018-05-18,-0.01173404065563824,-0.01173404065563824,0.0,0.0,3.1197278094242673,-0.05599134201624234
2018-05-18,2018-05-25,0.0017469787883978016,0.0017469787883978016,0.0,0.0,3.125177907732906,-0.05434217891468085
2018-05-25,2018-06-01,0.0019475581626258735,0.0016975581626258735,0.25,0.00025,3.1304830789998364,-0.052736869761446425
2018-06-01,2018-06-08,0.004336672644800921,0.004336672644800921,0.0,0.0,3.144058959333547,-0.04862889965711237
2018-06-08,2018-06-15,-0.01180528929161323,-0.01180528929161323,0.0,0.0,3.1069424337687264,-0.059860110720340476
2018-06-15,2018-06-22,-0.009663509991255453,-0.009663509991255453,0.0,0.0,3.076918464517747,-0.06894516193357225
2018-06-22,2018-06-29,-0.009227448012960271,-0.009227448012960271,0.0,0.0,3.048526359346292,-0.0775364220490452
2018-06-29,2018-07-06,0.007221027474365371,0.006971027474365371,0.25,0.00025,3.069777720353622,-0.07110590310304787
2018-07-06,2018-07-13,0.0004089801775448709,0.0004089801775448709,0.0,0.0,3.0710331985907153,-0.07072600383037853
2018-07-13,2018-07-20,0.001771701524133945,0.001771701524133945,0.0,0.0,3.076474152789324,-0.06907960767502697
2018-07-20,2018-07-27,0.003299504037555051,0.003299504037555051,0.0,0.0,3.086624991677886,-0.06600803208190842
2018-07-27,2018-08-03,0.005721044867017577,0.005471044867017577,0.25,0.00025,3.1035120554950137,-0.0608981201199944
2018-08-03,2018-08-10,0.00012233792791493947,0.00012233792791493947,0.0,0.0,3.103891732729142,-0.060783232341908855
2018-08-10,2018-08-17,-0.0013858153018800334,-0.0013858153018800334,0.0,0.0,3.0995903120705472,-0.06208481331031168
2018-08-17,2018-08-24,0.016584732773010535,0.016584732773010535,0.0,0.0,3.15099618910205,-0.04652974057531478
2018-08-24,2018-08-31,0.012874434852769234,0.012874434852769234,0.0,0.0,3.1915634842599685,-0.034254349836298714
2018-08-31,2018-09-07,-0.01664114345131018,-0.01664114345131018,0.0,0.0,3.138452218484435,-0.05032546173815167
2018-09-07,2018-09-14,0.0090344717110738,0.0090344717110738,0.0,0.0,3.1668064762688894,-0.041745653987497966
2018-09-14,2018-09-21,0.004309899306191772,0.004309899306191772,0.0,0.0,3.1804550933038045,-0.03761567424646339
2018-09-21,2018-09-28,0.006841620211965577,0.006841620211965577,0.0,0.0,3.202214559153401,-0.031031406191708966
2018-09-28,2018-10-05,-0.0147660783785582,-0.0147660783785582,0.0,0.0,3.154930407987982,-0.04533927239424351
2018-10-05,2018-10-12,-0.03721700625469318,-0.03721700625469318,0.0,0.0,3.0375133432607715,-0.08086888666465686
2018-10-12,2018-10-19,-0.003854875010667974,-0.003854875010667974,0.0,0.0,3.025804108979265,-0.08441202222498068
2018-10-19,2018-10-26,-0.03256372355230125,-0.03256372355230125,0.0,0.0,2.927272660451047,-0.11422697602105691
2018-10-26,2018-11-02,0.011871869991211426,0.011871869991211426,0.0,0.0,2.9620248609047497,-0.10371119383865668
2018-11-02,2018-11-09,0.002571035068662214,0.002571035068662214,0.0,0.0,2.9696403306963854,-0.10140680388636636
2018-11-09,2018-11-16,-0.01733216028517437,-0.01733216028517437,0.0,0.0,2.9181700484954374,-0.11698136519257507
2018-11-16,2018-11-23,-0.04285174855645266,-0.04285174855645266,0.0,0.0,2.7931213593323396,-0.15482025770200492
2018-11-23,2018-11-30,0.03486009501896081,0.03486009501896081,0.0,0.0,2.890489835318154,-0.125357211577396
2018-11-30,2018-12-07,-0.017223263098426367,-0.017473263098426367,0.25,0.00025,2.839983545942313,-0.14064007513664545
2018-12-07,2018-12-14,-0.006406684768394012,-0.006406684768394012,0.0,0.0,2.8217886666160346,-0.1461457232778357
2018-12-14,2018-12-21,-0.058130520062820545,-0.058130520062820545,0.0,0.0,2.6577566239182713,-0.1957807164415587
2018-12-21,2018-12-28,0.01793014510876273,0.01793014510876273,0.0,0.0,2.7054105858489015,-0.18136094798809055
2018-12-28,2019-01-04,0.014006590941361918,0.013756590941361918,0.25,0.00025,2.7426278126068553,-0.17009926542093834
2019-01-04,2019-01-11,0.02975386340011582,0.02975386340011582,0.0,0.0,2.824231585900518,-0.14540651232861712
2019-01-11,2019-01-18,0.021534736320857895,0.021534736320857895,0.0,0.0,2.885050668411924,-0.12700306691009156
2019-01-18,2019-01-25,0.0021862373571234772,0.0021862373571234772,0.0,0.0,2.8913580739604003,-0.12509448840231618
2019-01-25,2019-02-01,0.014411137319558898,0.014161137319558897,0.25,0.00025,2.932302992685769,-0.11270483131094244
2019-02-01,2019-02-08,0.008595250362870566,0.008595250362870566,0.0,0.0,2.957506871047698,-0.10507830719029454
2019-02-08,2019-02-15,0.008938198506258183,0.008938198506258183,0.0,0.0,2.983941654544745,-0.09707931945240478
2019-02-15,2019-02-22,0.0011855114668356814,0.0011855114668356814,0.0,0.0,2.9874791515925763,-0.09600889663197243
2019-02-22,2019-03-01,-0.009560943440747205,-0.009810943440747205,0.25,0.00025,2.9581691626058904,-0.10487790221805471
2019-03-01,2019-03-08,0.00706508958181698,0.00706508958181698,0.0,0.0,2.9790688927378692,-0.0985537844105614
2019-03-08,2019-03-15,0.008998230897631299,0.008998230897631299,0.0,0.0,3.0058752424946755,-0.09044236322089172
2019-03-15,2019-03-22,0.011517399077157153,0.011517399077157153,0.0,0.0,3.040495107238633,-0.07996662493443085
2019-03-22,2019-03-29,0.009876344897316425,0.009876344897316425,0.0,0.0,3.070524085576325,-0.07088005800524122
2019-03-29,2019-04-05,-0.0008854585587824704,-0.0008854585587824704,0.0,0.0,3.0678052637448037,-0.0717027552100159
2019-04-05,2019-04-12,0.0003807708236344409,0.0003807708236344409,0.0,0.0,3.06897339448183,-0.07134928670353957
2019-04-12,2019-04-19,-0.008529001343547588,-0.008529001343547588,0.0,0.0,3.0427981162769826,-0.07926974988493152
2019-04-19,2019-04-26,0.008752998301098325,0.008752998301098325,0.0,0.0,3.06943172301934,-0.0712105995699045
2019-04-26,2019-05-03,0.0018815694810656591,0.0018815694810656591,0.0,0.0,3.0752070720735882,-0.06946301777971797
2019-05-03,2019-05-10,-0.0012351495544399571,-0.0012351495544399571,0.0,0.0,3.071408731428706,-0.07061237011869725
2019-05-10,2019-05-17,0.005342793509224841,0.005342793509224841,0.0,0.0,3.0878186340631593,-0.06564684392221365
2019-05-17,2019-05-24,0.004283693338792555,0.004283693338792555,0.0,0.0,3.1010459021772956,-0.06164436153144337
2019-05-24,2019-05-31,0.00470964933882459,0.00470964933882459,0.0,0.0,3.1156507409601497,-0.05722503551914759
2019-05-31,2019-06-07,0.018945167942423846,0.018695167942423846,0.25,0.00025,3.173898354812337,-0.03959969922626527
2019-06-07,2019-06-14,0.004019756958576592,0.004019756958576592,0.0,0.0,3.186656654809909,-0.03573912343421093
2019-06-14,2019-06-21,0.01337615299610792,0.01337615299610792,0.0,0.0,3.2292818617707115,-0.022841022421105972
2019-06-21,2019-06-28,-0.003289754868903344,-0.003289754868903344,0.0,0.0,3.21865831604289,-0.0260556359252887
2019-06-28,2019-07-05,0.006315484036227947,0.006065484036227947,0.25,0.00025,3.2381810366769206,-0.02014819193281936
2019-07-05,2019-07-12,-0.006325236255947331,-0.006325236255947331,0.0,0.0,3.2176987765804106,-0.026345986114661435
2019-07-12,2019-07-19,-0.0024067373853312313,-0.0024067373853312313,0.0,0.0,3.20995462064008,-0.028689315630257117
2019-07-19,2019-07-26,0.004867484882459472,0.004867484882459472,0.0,0.0,3.2255790262294264,-0.023961475557916057
2019-07-26,2019-08-02,0.019500602563332747,0.019250602563332747,0.25,0.00025,3.287673366099991,-0.0051721458373796825
2019-08-02,2019-08-09,0.022283181199257707,0.022283181199257707,0.0,0.0,3.3609331874407706,0.0
2019-08-09,2019-08-16,0.018243126423657996,0.018243126423657996,0.0,0.0,3.4222471164807207,0.0
2019-08-16,2019-08-23,0.0019022397741594588,0.0019022397741594588,0.0,0.0,3.428757051062693,0.0
2019-08-23,2019-08-30,0.006501179058532119,0.006501179058532119,0.0,0.0,3.4510480145998557,0.0
2019-08-30,2019-09-06,-0.002642706097797265,-0.002642706097797265,0.0,0.0,3.4419279089678816,-0.002642706097797265
2019-09-06,2019-09-13,-0.03047730600727358,-0.03047730600727358,0.0,0.0,3.337027218831292,-0.03303946954264092
2019-09-13,2019-09-20,0.024720932459789846,0.024720932459789846,0.0,0.0,3.4195216433245013,-0.009135303577921916
