label,ann_return,ann_vol,sharpe,sortino,calmar,max_drawdown,avg_drawdown,cvar_5pct,hit_rate,n_weeks,avg_turnover,ann_turnover,ann_cost_drag,candidate,window,bl_sharpe,sharpe_delta
decade_2010s,0.061074,0.073222,0.834098,1.022517,0.67747,-0.09015,-0.025104,-0.025584,0.599617,522,0.081223,4.223601,0.004224,familyB_tilt7pct_data,decade_2010s,0.8202,0.0139
post_2020_dev,0.061289,0.089225,0.686899,0.89263,0.528089,-0.116057,-0.018954,-0.02655,0.566964,224,0.073625,3.828496,0.003828,familyB_tilt7pct_data,post_2020_dev,0.6914,-0.0045
alt_tilt_0.037,0.071777,0.075081,0.955995,1.186572,0.618465,-0.116057,-0.019488,-0.024876,0.555856,1110,0.071285,3.706845,0.003707,familyB_tilt7pct_data,sensitivity_tilt_0.037,0.9542,0.0018
alt_tilt_0.112,0.071808,0.074832,0.959588,1.194085,0.61873,-0.116057,-0.018969,-0.024729,0.553153,1110,0.078093,4.060831,0.004061,familyB_tilt7pct_data,sensitivity_tilt_0.112,0.9542,0.0054
2x_cost,0.067928,0.074931,0.906536,1.126663,0.585008,-0.116115,-0.020163,-0.024899,0.548649,1110,0.074502,3.874121,0.003874,familyB_tilt7pct_data,sensitivity_2x_cost,0.9542,-0.0477
holdout_2024_onwards,0.163491,0.082682,1.977357,2.869743,2.23475,-0.073159,-0.008641,-0.022606,0.653846,104,0.090345,4.697947,0.004698,familyA_tilt10pct_data,holdout_2024_onwards,2.0479,-0.0705
dev_thru_2024,0.061934,0.073618,0.841279,1.030936,0.533281,-0.116137,-0.019896,-0.02463,0.54672,1006,0.075958,3.949841,0.00395,familyA_tilt10pct_data,dev_thru_2024,0.8309,0.0104
dev_ex_2020,0.063458,0.069164,0.917492,1.184516,0.734759,-0.086365,-0.019494,-0.022867,0.545178,985,0.07597,3.950438,0.00395,familyA_tilt10pct_data,dev_ex_2020,0.9049,0.0126
dev_ex_2022,0.066056,0.074285,0.889233,1.072428,0.56878,-0.116137,-0.018986,-0.025135,0.548218,954,0.077152,4.011897,0.004012,familyA_tilt10pct_data,dev_ex_2022,0.8774,0.0118
pre_2010,0.065813,0.06024,1.092513,1.296475,0.785883,-0.083744,-0.011786,-0.019182,0.426923,260,0.05873,3.053945,0.003054,familyA_tilt10pct_data,pre_2010,1.0678,0.0247
decade_2010s,0.060186,0.072409,0.831205,1.016894,0.696879,-0.086365,-0.024378,-0.025279,0.597701,522,0.083804,4.357794,0.004358,familyA_tilt10pct_data,decade_2010s,0.8202,0.011
post_2020_dev,0.061503,0.089221,0.689324,0.896518,0.529569,-0.116137,-0.018863,-0.026508,0.566964,224,0.077674,4.039044,0.004039,familyA_tilt10pct_data,post_2020_dev,0.6914,-0.0021
alt_tilt_0.050,0.071503,0.074886,0.954823,1.1881,0.615921,-0.11609,-0.019362,-0.024766,0.558559,1110,0.072573,3.77382,0.003774,familyA_tilt10pct_data,sensitivity_tilt_0.050,0.9542,0.0006
alt_tilt_0.150,0.071374,0.074358,0.959867,1.200086,0.614311,-0.116185,-0.018461,-0.024442,0.554054,1110,0.082714,4.301133,0.004301,familyA_tilt10pct_data,sensitivity_tilt_0.150,0.9542,0.0057
2x_cost,0.067429,0.074572,0.904218,1.128064,0.579913,-0.116274,-0.019856,-0.024686,0.55045,1110,0.077306,4.019934,0.00402,familyA_tilt10pct_data,sensitivity_2x_cost,0.9542,-0.05
