label,ann_return,ann_vol,sharpe,sortino,calmar,max_drawdown,avg_drawdown,cvar_5pct,hit_rate,n_weeks,avg_turnover,ann_turnover,ann_cost_drag,state,variant,period,family,tilt_size,bucket_type
neutral_mixed,0.216274,0.094252,2.294637,3.715519,4.483187,-0.048241,-0.006955,-0.025383,0.62069,58,0.0765,3.978012,0.003978,neutral_mixed,familyA_tilt7pct_intuitive,holdout,A,0.075,intuitive
recovery_confirmed,0.10834,0.076331,1.419353,1.923641,6.712197,-0.016141,-0.004542,-0.016141,0.6,10,0.129971,6.758511,0.006759,recovery_confirmed,familyA_tilt7pct_intuitive,holdout,A,0.075,intuitive
recovery_fragile,0.157405,0.032087,,,86.422024,-0.001821,-0.000596,,,4,0.182906,9.511104,0.009511,recovery_fragile,familyA_tilt7pct_intuitive,holdout,A,0.075,intuitive
stressed_panic,0.075271,0.074481,1.010607,1.121369,2.868476,-0.026241,-0.003705,-0.026241,0.857143,14,0.088054,4.578817,0.004579,stressed_panic,familyA_tilt7pct_intuitive,holdout,A,0.075,intuitive
calm_trend,0.038346,0.07744,0.495177,0.641976,0.269624,-0.142222,-0.062511,-0.026405,0.555957,277,0.0758,3.941598,0.003942,calm_trend,familyA_tilt10pct_data,dev,A,0.1,data
neutral_mixed,0.095223,0.071809,1.326062,1.632191,1.264466,-0.075307,-0.016046,-0.023471,0.54023,435,0.078019,4.057007,0.004057,neutral_mixed,familyA_tilt10pct_data,dev,A,0.1,data
recovery_confirmed,0.003578,0.075005,0.047705,0.065443,0.066301,-0.053967,-0.016712,-0.025075,0.470588,34,0.097217,5.055279,0.005055,recovery_confirmed,familyA_tilt10pct_data,dev,A,0.1,data
recovery_fragile,0.058181,0.059973,0.970108,1.290923,1.857793,-0.031317,-0.008577,-0.017151,0.577778,45,0.120099,6.24513,0.006245,recovery_fragile,familyA_tilt10pct_data,dev,A,0.1,data
stressed_panic,0.034983,0.074643,0.46868,0.530416,0.287101,-0.121851,-0.026469,-0.022625,0.553488,215,0.059393,3.088414,0.003088,stressed_panic,familyA_tilt10pct_data,dev,A,0.1,data
calm_trend,0.101994,0.065453,1.55828,2.186438,3.727606,-0.027362,-0.007983,-0.019012,0.555556,18,0.081513,4.238668,0.004239,calm_trend,familyA_tilt10pct_data,holdout,A,0.1,data
neutral_mixed,0.213899,0.093362,2.291083,3.775971,4.441545,-0.048159,-0.006896,-0.02474,0.637931,58,0.078511,4.08255,0.004083,neutral_mixed,familyA_tilt10pct_data,holdout,A,0.1,data
recovery_confirmed,0.108128,0.076307,1.417018,1.919874,6.699051,-0.016141,-0.004542,-0.016141,0.6,10,0.134052,6.970695,0.006971,recovery_confirmed,familyA_tilt10pct_data,holdout,A,0.1,data
recovery_fragile,0.157405,0.032087,,,86.422024,-0.001821,-0.000596,,,4,0.182906,9.511104,0.009511,recovery_fragile,familyA_tilt10pct_data,holdout,A,0.1,data
stressed_panic,0.07501,0.074491,1.006974,1.115447,2.855927,-0.026265,-0.00371,-0.026265,0.857143,14,0.093065,4.839369,0.004839,stressed_panic,familyA_tilt10pct_data,holdout,A,0.1,data
calm_trend,0.038216,0.077436,0.493517,0.639575,0.268723,-0.142213,-0.062497,-0.026405,0.555957,277,0.07831,4.072136,0.004072,calm_trend,familyA_tilt10pct_intuitive,dev,A,0.1,intuitive
neutral_mixed,0.093583,0.070311,1.330979,1.707017,1.122191,-0.083393,-0.015976,-0.022554,0.583908,435,0.082068,4.267513,0.004268,neutral_mixed,familyA_tilt10pct_intuitive,dev,A,0.1,intuitive
recovery_confirmed,0.003047,0.074959,0.040643,0.055758,0.056273,-0.05414,-0.01676,-0.025075,0.470588,34,0.107438,5.58675,0.005587,recovery_confirmed,familyA_tilt10pct_intuitive,dev,A,0.1,intuitive
recovery_fragile,0.057695,0.059983,0.961855,1.282745,1.840785,-0.031343,-0.008603,-0.017151,0.577778,45,0.129435,6.730621,0.006731,recovery_fragile,familyA_tilt10pct_intuitive,dev,A,0.1,intuitive
stressed_panic,0.034839,0.074647,0.466717,0.528252,0.285911,-0.121852,-0.026511,-0.022632,0.553488,215,0.062176,3.23313,0.003233,stressed_panic,familyA_tilt10pct_intuitive,dev,A,0.1,intuitive
calm_trend,0.102069,0.065429,1.560002,2.190501,3.733618,-0.027338,-0.007977,-0.018988,0.555556,18,0.080067,4.163509,0.004164,calm_trend,familyA_tilt10pct_intuitive,holdout,A,0.1,intuitive
neutral_mixed,0.214322,0.095023,2.255482,3.71311,4.431875,-0.048359,-0.007033,-0.025317,0.62069,58,0.078038,4.057967,0.004058,neutral_mixed,familyA_tilt10pct_intuitive,holdout,A,0.1,intuitive
recovery_confirmed,0.108171,0.076313,1.41747,1.920639,6.701721,-0.016141,-0.004542,-0.016141,0.6,10,0.133223,6.927594,0.006928,recovery_confirmed,familyA_tilt10pct_intuitive,holdout,A,0.1,intuitive
recovery_fragile,0.157405,0.032087,,,86.422024,-0.001821,-0.000596,,,4,0.182906,9.511104,0.009511,recovery_fragile,familyA_tilt10pct_intuitive,holdout,A,0.1,intuitive
stressed_panic,0.075025,0.07449,1.007185,1.115734,2.856569,-0.026264,-0.00371,-0.026264,0.857143,14,0.092787,4.824926,0.004825,stressed_panic,familyA_tilt10pct_intuitive,holdout,A,0.1,intuitive
calm_trend,0.038644,0.077448,0.498972,0.647129,0.272883,-0.141615,-0.061916,-0.026405,0.559567,277,0.07007,3.643634,0.003644,calm_trend,familyB_tilt2pct_data,dev,B,0.025,data
neutral_mixed,0.094583,0.073346,1.289548,1.575688,1.121275,-0.084353,-0.017156,-0.024171,0.533333,435,0.068743,3.574651,0.003575,neutral_mixed,familyB_tilt2pct_data,dev,B,0.025,data
recovery_confirmed,0.003867,0.075018,0.051544,0.070597,0.071649,-0.053967,-0.016698,-0.025075,0.5,34,0.091667,4.766676,0.004767,recovery_confirmed,familyB_tilt2pct_data,dev,B,0.025,data
recovery_fragile,0.058655,0.059982,0.977866,1.301965,1.873845,-0.031302,-0.008475,-0.017121,0.577778,45,0.110979,5.770922,0.005771,recovery_fragile,familyB_tilt2pct_data,dev,B,0.025,data
stressed_panic,0.035208,0.074637,0.471723,0.534182,0.289284,-0.121707,-0.026407,-0.022611,0.553488,215,0.055078,2.86405,0.002864,stressed_panic,familyB_tilt2pct_data,dev,B,0.025,data
calm_trend,0.102593,0.065411,1.568432,2.20666,3.759332,-0.02729,-0.007953,-0.01894,0.555556,18,0.069984,3.639173,0.003639,calm_trend,familyB_tilt2pct_data,holdout,B,0.025,data
neutral_mixed,0.221437,0.092536,2.392977,3.713704,4.574084,-0.048411,-0.006813,-0.025541,0.637931,58,0.077598,4.035108,0.004035,neutral_mixed,familyB_tilt2pct_data,holdout,B,0.025,data
recovery_confirmed,0.108772,0.076377,1.424149,1.931302,6.738928,-0.016141,-0.004542,-0.016141,0.6,10,0.121674,6.327047,0.006327,recovery_confirmed,familyB_tilt2pct_data,holdout,B,0.025,data
recovery_fragile,0.157405,0.032087,,,86.422024,-0.001821,-0.000596,,,4,0.182906,9.511104,0.009511,recovery_fragile,familyB_tilt2pct_data,holdout,B,0.025,data
stressed_panic,0.07573,0.074449,1.017202,1.132328,2.891246,-0.026193,-0.003696,-0.026193,0.857143,14,0.079227,4.119814,0.00412,stressed_panic,familyB_tilt2pct_data,holdout,B,0.025,data
calm_trend,0.03864,0.077448,0.498912,0.647067,0.272865,-0.141608,-0.061889,-0.026405,0.559567,277,0.070157,3.64818,0.003648,calm_trend,familyB_tilt2pct_intuitive,dev,B,0.025,intuitive
neutral_mixed,0.094023,0.073203,1.284406,1.569254,1.084724,-0.086679,-0.017144,-0.024102,0.535632,435,0.068908,3.583203,0.003583,neutral_mixed,familyB_tilt2pct_intuitive,dev,B,0.025,intuitive
