label,ann_return,ann_vol,sharpe,sortino,calmar,max_drawdown,avg_drawdown,cvar_5pct,hit_rate,n_weeks,avg_turnover,ann_turnover,ann_cost_drag,variant,family,tilt_size,bucket_type,sharpe_delta_vs_baseline,return_delta_vs_baseline,dd_delta_vs_baseline
familyB_tilt5pct_data,0.071789,0.075034,0.956746,1.187992,0.618562,-0.116057,-0.019398,-0.024851,0.554955,1110,0.072299,3.759557,0.00376,familyB_tilt5pct_data,B,0.05,data,0.002528,-1e-06,-2.2e-05
familyB_tilt5pct_intuitive,0.071492,0.074968,0.953646,1.183722,0.616011,-0.116057,-0.019514,-0.024828,0.555856,1110,0.073224,3.807657,0.003808,familyB_tilt5pct_intuitive,B,0.05,intuitive,-0.000572,-0.000298,-2.2e-05
familyB_tilt7pct_data,0.071802,0.074946,0.958045,1.190373,0.618679,-0.116057,-0.019222,-0.024802,0.554955,1110,0.074502,3.874121,0.003874,familyB_tilt7pct_data,B,0.075,data,0.003827,1.2e-05,-2.2e-05
familyB_tilt7pct_intuitive,0.071372,0.074872,0.953252,1.18352,0.614975,-0.116057,-0.019596,-0.02478,0.556757,1110,0.076439,3.974839,0.003975,familyB_tilt7pct_intuitive,B,0.075,intuitive,-0.000966,-0.000418,-2.2e-05
familyB_tilt10pct_data,0.071807,0.074868,0.95912,1.192822,0.618724,-0.116057,-0.019052,-0.024753,0.554054,1110,0.076869,3.997194,0.003997,familyB_tilt10pct_data,B,0.1,data,0.004902,1.7e-05,-2.2e-05
familyB_tilt10pct_intuitive,0.07124,0.074809,0.952295,1.182642,0.613837,-0.116057,-0.019687,-0.024733,0.555856,1110,0.079918,4.155729,0.004156,familyB_tilt10pct_intuitive,B,0.1,intuitive,-0.001923,-0.00055,-2.2e-05
familyC_tilt2pct_data,0.071366,0.075069,0.950662,1.181445,0.61486,-0.116068,-0.019656,-0.024864,0.554955,1110,0.070618,3.672143,0.003672,familyC_tilt2pct_data,C,0.025,data,-0.003556,-0.000424,-3.3e-05
familyC_tilt2pct_intuitive,0.071235,0.075002,0.949776,1.184004,0.613771,-0.116061,-0.019803,-0.024774,0.557658,1110,0.070748,3.678918,0.003679,familyC_tilt2pct_intuitive,C,0.025,intuitive,-0.004442,-0.000555,-2.6e-05
familyC_tilt5pct_data,0.0712,0.074901,0.950583,1.182015,0.613313,-0.11609,-0.019449,-0.024779,0.554955,1110,0.072601,3.77524,0.003775,familyC_tilt5pct_data,C,0.05,data,-0.003635,-0.00059,-5.5e-05
familyC_tilt5pct_intuitive,0.070795,0.074781,0.946689,1.184877,0.607233,-0.116586,-0.019794,-0.024624,0.555856,1110,0.073542,3.82419,0.003824,familyC_tilt5pct_intuitive,C,0.05,intuitive,-0.007529,-0.000995,-0.000551
familyC_tilt7pct_data,0.071021,0.074749,0.950128,1.182679,0.611652,-0.116113,-0.019259,-0.024694,0.554054,1110,0.074886,3.894071,0.003894,familyC_tilt7pct_data,C,0.075,data,-0.00409,-0.000769,-7.8e-05
familyC_tilt7pct_intuitive,0.070327,0.074609,0.942613,1.184061,0.598869,-0.117433,-0.019821,-0.02449,0.556757,1110,0.076892,3.998393,0.003998,familyC_tilt7pct_intuitive,C,0.075,intuitive,-0.011605,-0.001463,-0.001398
familyC_tilt10pct_data,0.070831,0.074611,0.949332,1.182927,0.609891,-0.116137,-0.019074,-0.024609,0.553153,1110,0.077426,4.026129,0.004026,familyC_tilt10pct_data,C,0.1,data,-0.004886,-0.000959,-0.000102
familyC_tilt10pct_intuitive,0.069845,0.074483,0.93773,1.182127,0.590498,-0.118282,-0.020018,-0.024377,0.554955,1110,0.080542,4.188191,0.004188,familyC_tilt10pct_intuitive,C,0.1,intuitive,-0.016488,-0.001945,-0.002247
familyD_tilt2pct_data,0.071648,0.075139,0.953543,1.183257,0.617351,-0.116057,-0.019625,-0.024906,0.555856,1110,0.070273,3.654202,0.003654,familyD_tilt2pct_data,D,0.025,data,-0.000675,-0.000142,-2.2e-05
familyD_tilt2pct_intuitive,0.071397,0.075127,0.950356,1.179995,0.615188,-0.116057,-0.019779,-0.024876,0.556757,1110,0.070275,3.654274,0.003654,familyD_tilt2pct_intuitive,D,0.025,intuitive,-0.003862,-0.000393,-2.2e-05
familyD_tilt5pct_data,0.071563,0.075049,0.953552,1.183941,0.616619,-0.116057,-0.019488,-0.024863,0.554955,1110,0.072275,3.758274,0.003758,familyD_tilt5pct_data,D,0.05,data,-0.000666,-0.000227,-2.2e-05
familyD_tilt5pct_intuitive,0.071134,0.075026,0.948116,1.17861,0.612919,-0.116057,-0.019741,-0.024828,0.555856,1110,0.072862,3.788812,0.003789,familyD_tilt5pct_intuitive,D,0.05,intuitive,-0.006102,-0.000656,-2.2e-05
familyD_tilt7pct_data,0.071466,0.074967,0.953306,1.18437,0.615785,-0.116057,-0.019354,-0.02482,0.554955,1110,0.074506,3.874293,0.003874,familyD_tilt7pct_data,D,0.075,data,-0.000912,-0.000324,-2.2e-05
familyD_tilt7pct_intuitive,0.070852,0.07495,0.945318,1.176319,0.61049,-0.116057,-0.019717,-0.02478,0.556757,1110,0.075857,3.944555,0.003945,familyD_tilt7pct_intuitive,D,0.075,intuitive,-0.0089,-0.000938,-2.2e-05
familyD_tilt10pct_data,0.071362,0.074892,0.952859,1.184896,0.614886,-0.116057,-0.019226,-0.024778,0.554054,1110,0.076885,3.998045,0.003998,familyD_tilt10pct_data,D,0.1,data,-0.001359,-0.000428,-2.2e-05
familyD_tilt10pct_intuitive,0.070561,0.074899,0.942088,1.173644,0.607985,-0.116057,-0.019834,-0.024732,0.554955,1110,0.079079,4.112085,0.004112,familyD_tilt10pct_intuitive,D,0.1,intuitive,-0.01213,-0.001229,-2.2e-05
