cik10,company_name_as_filed,sector,last_eligible_accession,last_eligible_available_at,recovered_symbols,recovery_status,primary_document,source_sha256,first_recent_decision_x,last_recent_decision_x,recent_decision_rows_x,symbol_count,current_tickers,first_recent_decision_y,last_recent_decision_y,recent_decision_rows_y,recovered_symbol,current_primary,selection_basis,candidate_format_valid,candidate_unique_across_ciks,audit_status,first_recent_decision,last_recent_decision,recent_decision_rows,tiingo_symbol
0001823000,CONX CORP.,finance_insurance_real_estate,0001104659-23-116322,2023-11-10 00:00:00+00:00,CONXU|CONX|CONXW,xbrl_symbol_recovered,conxu-20230930x10q.htm,d7538f7f37e02d78afa097d0ddd286d6c1232bdad149c0fe7c327e892e709b55,2023-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,9,3,,2023-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,9,CONXU,,sec_xbrl_first_reported_symbol,True,True,accepted_primary_candidate,2023-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,9,CONXU
0001839341,"CORE SCIENTIFIC, INC./TX",finance_insurance_real_estate,0001628280-26-013305,2026-03-03 00:00:00+00:00,CORZ|CORZW|CORZZ,xbrl_symbol_recovered,core-20251231.htm,6e82a29fd6e902f7a0ee6e7132f35630175ff065aae0773e5260fdff2613f386,2023-07-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,12,3,CORZ|CORZR|CORZW|CORZZ,2023-07-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,12,CORZ,CORZ,sec_current_primary_matches_xbrl_first,True,True,accepted_primary_candidate,2023-07-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,12,CORZ
0000014693,BROWN FORMAN CORP,manufacturing,0000014693-26-000010,2026-03-05 00:00:00+00:00,BFA|BFB|BF26|BF28,xbrl_symbol_recovered,bfb-20260131.htm,16a81acb8c523fa0da50bedc7cdc4f099263ed87031e09a46226b79d77e929e5,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,4,BF-A|BF-B,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,BFA,BF-A,sec_xbrl_first_reported_symbol,True,True,accepted_primary_candidate,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,BFA
0001834045,"VINTAGE WINE ESTATES, INC.",manufacturing,0000950170-23-020610,2023-05-11 00:00:00+00:00,VWE|VWEWW,xbrl_symbol_recovered,vwe-20221231.htm,7422680ded6dc70c9fbb25ac00ceef9cad41a50730a9457c8acd619d5a08c075,2023-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,9,2,,2023-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,9,VWE,,sec_xbrl_first_reported_symbol,True,True,accepted_primary_candidate,2023-01-01 00:00:00+00:00,2024-07-01 00:00:00+00:00,7,VWE
0001745317,"VELODYNE LIDAR, INC.",manufacturing,0001628280-22-029030,2022-11-10 00:00:00+00:00,VLDR|VLDRW,xbrl_symbol_recovered,vldr-20220930.htm,174940d4b73564484616965fa0b3fabdbbf392ca7df45d0457fc330fc884568b,2023-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,5,2,,2023-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00,1,VLDR,,sec_xbrl_first_reported_symbol,True,True,accepted_primary_candidate,2023-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00,1,VLDR
0000870826,"IMEDIA BRANDS, INC.",retail_trade,0001558370-22-018598,2022-12-14 00:00:00+00:00,IMBI|IMBIL,xbrl_symbol_recovered,imbi-20221029x10q.htm,331f4b90c1cd6542d273d0b2a4a6a37322908d737000ec3d6585fbd1376d0ce9,2023-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,5,2,,2023-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,5,IMBI,,sec_xbrl_first_reported_symbol,True,True,accepted_primary_candidate,2023-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,5,IMBI
0001799191,"ONCOLOGY INSTITUTE, INC.",services,0001799191-26-000007,2026-03-13 00:00:00+00:00,TOI|TOIIW,xbrl_symbol_recovered,toi-20251231.htm,e5d66f434fe841a9fd2b291e3543daffc743beba43906edc1e98f64d2b88ac8e,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,10,2,DFPH|STLN|STLNW|TOI,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,10,TOI,DFPH,sec_xbrl_first_reported_symbol,True,True,accepted_primary_candidate,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,10,TOI
0001813914,"CAREMAX, INC.",services,0000950170-24-094897,2024-08-10 00:00:00+00:00,CMAX|CMAXW,xbrl_symbol_recovered,cmax-20240630.htm,4fd39655ca5782682ab9022d8ffab5268f10a16bc98237efddaa335bacf31ad3,2023-01-01 00:00:00+00:00,2025-10-01 00:00:00+00:00,12,2,,2023-01-01 00:00:00+00:00,2025-10-01 00:00:00+00:00,12,CMAX,,sec_xbrl_first_reported_symbol,True,True,accepted_primary_candidate,2023-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,9,CMAX
0001790625,"AGILETHOUGHT, INC.",services,0001790625-23-000117,2023-08-15 00:00:00+00:00,AGIL|AGILW,xbrl_symbol_recovered,agil-20230630.htm,8479fb03fe8a0fe0e9ff656e1334e09f66df889e0d9044ae068f15f0c6e8dc80,2023-04-01 00:00:00+00:00,2024-10-01 00:00:00+00:00,7,2,,2023-04-01 00:00:00+00:00,2024-10-01 00:00:00+00:00,7,AGIL,,sec_xbrl_first_reported_symbol,True,True,accepted_primary_candidate,2023-04-01 00:00:00+00:00,2024-10-01 00:00:00+00:00,7,AGIL
0001606268,"VIA RENEWABLES, INC.",transport_communications_utilities,0001606268-23-000022,2023-11-03 00:00:00+00:00,VIA|VIASP,xbrl_symbol_recovered,spke-20230930.htm,b58e4f8052e00b285747cca25f2a3421f72fb9fe998481c7d26209961f4bea7e,2023-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,9,2,,2023-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,9,VIA,,sec_xbrl_first_reported_symbol,True,True,accepted_primary_candidate,2023-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,9,VIA
