Date,leader_weight,valuation_weight,gross_return,turnover,cost,net_return,wealth,drawdown
2024-03-15,0.8,0.2,0.024987177035976475,0.0,0.0,0.024987177035976475,1.4523277334813574,0.0
2024-03-22,0.8,0.2,0.0034835238781140434,0.0,0.0,0.0034835238781140434,1.457386951819787,0.0
2024-03-29,0.8,0.2,-0.01622623755821638,0.0,0.0,-0.01622623755821638,1.4337390449253142,-0.016226237558216505
2024-04-05,0.8,0.2,-0.022013772917387046,0.0,0.0,-0.022013772917387046,1.402177039167537,-0.03788280976669334
2024-04-12,0.8,0.2,-0.034920840275447486,0.0,0.0,-0.034920840275447486,1.3532118387448675,-0.07148075049309299
2024-04-19,0.8,0.2,0.03245869000240785,0.0,0.0,0.03245869000240785,1.3971353223262752,-0.04134223201208009
2024-04-26,0.8,0.2,-0.0018346912841347375,0.0,0.0,-0.0018346912841347375,1.3945720103276464,-0.04310107306347555
2024-05-03,0.8,0.2,0.02027543391536478,0.0,0.0,0.02027543391536478,1.422847562963262,-0.023699532106690624
2024-05-10,0.8,0.2,0.022441507143509565,0.0,0.0,0.022441507143509565,1.4547784067116272,-0.0017898781822512921
2024-05-17,0.8,0.2,-0.004593797599753231,0.0,0.0,-0.004593797599753231,1.4480954491587026,-0.006375453443906887
2024-05-24,0.8,0.2,0.0025346117795831636,0.0,0.0,0.0025346117795831636,1.451765808942101,-0.0038570009637228786
2024-05-31,0.8,0.2,-0.007812979198629682,0.0,0.0,-0.007812979198629682,1.4404231928755546,-0.011639845494053835
2024-06-07,0.8,0.2,0.010817933015783876,0.0,0.0,0.010817933015783876,1.456005594490464,-0.0009478315471387333
2024-06-14,0.8,0.2,-0.0016289460906277605,0.0,0.0,-0.0016289460906277605,1.4536338398693864,-0.002575233671273214
2024-06-21,0.8,0.2,0.0009023622949055376,0.0,0.0,0.0009023622949055376,1.4549455442370833,-0.001675195170133259
2024-06-28,0.8,0.2,0.02212303116600289,0.0,0.0,0.02212303116600289,1.4871333498570771,0.0
2024-07-05,0.8,0.2,0.005003700040870098,0.0,0.0,0.005003700040870098,1.4945745190605362,0.0
2024-07-12,0.8,0.2,-0.03369191024888614,0.0,0.0,-0.03369191024888614,1.4442194485040765,-0.03369191024888607
