decision_at,event_time,cik10,company_name_as_filed,sector,market_cap,score
2023-05-12,2023-05-10 00:00:00+00:00,0001865187,"ARIS WATER SOLUTIONS, INC.",energy,75704852.66715217,0.2648240121020537
2023-05-12,2023-04-29 00:00:00+00:00,0000048898,HUBBELL INC,technology,13041559908.659178,0.26358351223056614
2023-05-12,2023-04-29 00:00:00+00:00,0001039065,OSI SYSTEMS INC,technology,1725114648.4465027,0.2541930323531282
2023-05-12,2023-05-04 00:00:00+00:00,0001013462,ANSYS INC,technology,28982184192.0,0.2502192195115328
2023-05-12,2023-05-10 00:00:00+00:00,0001321655,PALANTIR TECHNOLOGIES INC.,technology,17737183349.633217,0.24109377302942908
2023-05-12,2023-05-10 00:00:00+00:00,0001760717,SCIPLAY CORP,technology,401952000.0,0.22787169048253494
2023-05-12,2023-05-03 00:00:00+00:00,0001710366,CONSOL ENERGY INC.,energy,2024702111.9858704,0.1842228725380899
2023-05-12,2023-05-04 00:00:00+00:00,0000874499,GULFPORT ENERGY CORP,energy,1507827280.0,0.09268844413771951
2023-05-12,2023-05-03 00:00:00+00:00,0000895126,CHESAPEAKE ENERGY CORP,energy,10244095312.17968,0.07816774089791993
2023-05-12,2023-05-11 00:00:00+00:00,0001001614,"RILEY EXPLORATION PERMIAN, INC.",energy,767249055.724083,0.06823915246762646
2023-05-12,2023-04-28 00:00:00+00:00,0000033213,EQT CORP,energy,11499091693.313408,0.008447454790165787
2023-05-19,2023-05-11 00:00:00+00:00,0000065770,"MICROVISION, INC.",technology,7041535476.7110405,0.5381380692336978
2023-05-19,2023-05-09 00:00:00+00:00,0000788965,HALLADOR ENERGY CO,energy,303110126.10994816,0.5309550641097658
2023-05-19,2023-05-05 00:00:00+00:00,0000821189,EOG RESOURCES INC,energy,67370757175.62885,0.5011198011939502
2023-05-19,2023-04-29 00:00:00+00:00,0001056696,MANHATTAN ASSOCIATES INC,technology,9677501490.795135,0.4881002971047675
2023-05-19,2023-05-04 00:00:00+00:00,0001691303,"WARRIOR MET COAL, INC.",energy,1906110829.842636,0.47330323371905775
2023-05-19,2023-05-10 00:00:00+00:00,0001031308,BENTLEY SYSTEMS INC,technology,13331891831.479584,0.3796950548975351
2023-05-19,2023-05-05 00:00:00+00:00,0001171486,NATURAL RESOURCE PARTNERS LP,energy,659528322.0394669,0.3675322997416022
2023-05-19,2023-04-27 00:00:00+00:00,0001123494,HARVARD BIOSCIENCE INC,technology,1771981806.0,0.36148903610152444
2023-05-19,2023-05-10 00:00:00+00:00,0001321655,PALANTIR TECHNOLOGIES INC.,technology,17737183349.633217,0.3597929311793259
2023-05-19,2023-04-26 00:00:00+00:00,0000789019,MICROSOFT CORP,technology,2146048467697.1577,0.3490040093383961
2023-05-19,2023-05-03 00:00:00+00:00,0001609253,CALIFORNIA RESOURCES CORP,energy,2752426677.0,0.328449237913343
2023-05-19,2023-05-10 00:00:00+00:00,0001086600,ALLIANCE RESOURCE PARTNERS LP,energy,2565596780.204487,0.3281745832841216
2023-05-19,2023-04-26 00:00:00+00:00,0000009092,BADGER METER INC,technology,3568467403.7005005,0.32515016553716397
2023-05-19,2023-05-05 00:00:00+00:00,0000945983,"CLIMB GLOBAL SOLUTIONS, INC.",technology,60173097.3037796,0.3210282624575815
2023-05-19,2023-04-28 00:00:00+00:00,0001274494,"FIRST SOLAR, INC.",technology,23187477945.0,0.29987636009622987
2023-05-19,2023-04-25 00:00:00+00:00,0000315852,RANGE RESOURCES CORP,energy,6369138098.171254,0.29630429638518613
2023-05-19,2023-05-10 00:00:00+00:00,0001286139,"LEGALZOOM.COM, INC.",technology,1789955630.958397,0.291572979372042
2023-05-19,2023-05-05 00:00:00+00:00,0001493761,TURTLE BEACH CORP,technology,166161246.75107574,0.2903507381453575
2023-05-19,2023-05-11 00:00:00+00:00,0001615063,"INSPIRED ENTERTAINMENT, INC.",technology,335686607.5887937,0.2855820180873113
2023-05-19,2023-05-04 00:00:00+00:00,0000751978,VICOR CORP,technology,551930736.7725447,0.268386739019015
2023-05-19,2023-05-09 00:00:00+00:00,0001419612,"SOLAREDGE TECHNOLOGIES, INC.",technology,17065762186.983398,0.2602953792087416
2023-05-19,2023-05-03 00:00:00+00:00,0001037868,AMETEK INC/,technology,33439533828.61435,0.2513727676769423
2023-05-19,2023-05-10 00:00:00+00:00,0000896429,"CANTALOUPE, INC.",technology,413038923.3,0.2500068713309724
2023-05-19,2023-05-03 00:00:00+00:00,0001587523,KNOWLES CORP,technology,1550964672.0,0.24023440886607994
2023-05-19,2023-05-10 00:00:00+00:00,0001658566,PERMIAN RESOURCES CORP,energy,2993122177.5,0.23792698794046954
2023-05-19,2023-05-10 00:00:00+00:00,0001856314,"CLEAR SECURE, INC.",technology,2296700953.96562,0.23619916392604112
2023-05-19,2023-05-09 00:00:00+00:00,0001831651,"SHOALS TECHNOLOGIES GROUP, INC.",technology,2574700353.4317017,0.2330495065709564
2023-05-19,2023-05-09 00:00:00+00:00,0001262039,"FORTINET, INC.",technology,52109044849.10587,0.22945787526121597
2023-05-19,2023-04-26 23:59:59+00:00,0000798354,FISERV INC,technology,64182287447.52481,0.22029888415023766
2023-05-19,2023-05-10 00:00:00+00:00,0001694426,"DELEK US HOLDINGS, INC.",energy,1536315990.5225945,0.2195329176497023
2023-05-26,2023-05-11 00:00:00+00:00,0000065770,"MICROVISION, INC.",technology,7041535476.7110405,0.6166519656794673
2023-05-26,2023-05-05 00:00:00+00:00,0000821189,EOG RESOURCES INC,energy,67370757175.62885,0.5465336798816964
2023-05-26,2023-04-29 00:00:00+00:00,0001056696,MANHATTAN ASSOCIATES INC,technology,9677501490.795135,0.5390198983390426
2023-05-26,2023-05-10 00:00:00+00:00,0001031308,BENTLEY SYSTEMS INC,technology,13331891831.479584,0.4267247070361272
2023-05-26,2023-05-10 00:00:00+00:00,0001321655,PALANTIR TECHNOLOGIES INC.,technology,17737183349.633217,0.42327387328237054
2023-05-26,2023-05-09 00:00:00+00:00,0000788965,HALLADOR ENERGY CO,energy,303110126.10994816,0.38830556664773
2023-05-26,2023-05-04 00:00:00+00:00,0000751978,VICOR CORP,technology,551930736.7725447,0.3550555658768877
2023-05-26,2023-05-04 00:00:00+00:00,0001691303,"WARRIOR MET COAL, INC.",energy,1906110829.842636,0.3430098246494832
2023-05-26,2023-05-10 00:00:00+00:00,0001086600,ALLIANCE RESOURCE PARTNERS LP,energy,2565596780.204487,0.3377485241210838
2023-05-26,2023-05-05 00:00:00+00:00,0001680247,PROPETRO HOLDING CORP.,energy,827248562.6635246,0.32941368312960495
2023-05-26,2023-05-11 00:00:00+00:00,0001615063,"INSPIRED ENTERTAINMENT, INC.",technology,335686607.5887937,0.32529439773916236
2023-05-26,2023-05-10 00:00:00+00:00,0001286139,"LEGALZOOM.COM, INC.",technology,1789955630.958397,0.3203478497515391
2023-05-26,2023-05-10 00:00:00+00:00,0001856314,"CLEAR SECURE, INC.",technology,2296700953.96562,0.31603943841006504
2023-05-26,2023-05-10 00:00:00+00:00,0000896429,"CANTALOUPE, INC.",technology,413038923.3,0.3156007567586344
2023-05-26,2023-05-05 00:00:00+00:00,0001701732,ALTAIR ENGINEERING INC.,technology,5711616770.0,0.31104031960779716
2023-05-26,2023-05-03 00:00:00+00:00,0001037868,AMETEK INC/,technology,33439533828.61435,0.306439867748754
2023-05-26,2023-05-10 00:00:00+00:00,0001760717,SCIPLAY CORP,technology,401952000.0,0.30560529443782686
2023-05-26,2023-05-06 00:00:00+00:00,0001786842,VONTIER CORP,technology,4244369015.208344,0.29911250600937944
2023-05-26,2023-05-03 00:00:00+00:00,0001609253,CALIFORNIA RESOURCES CORP,energy,2752426677.0,0.2955416599454204
2023-05-26,2023-04-29 00:00:00+00:00,0000048898,HUBBELL INC,technology,13041559908.659178,0.2832547516538915
2023-05-26,2023-05-05 00:00:00+00:00,0001493761,TURTLE BEACH CORP,technology,166161246.75107574,0.283096851710331
2023-05-26,2023-05-10 00:00:00+00:00,0001694426,"DELEK US HOLDINGS, INC.",energy,1536315990.5225945,0.27296055682804277
2023-05-26,2023-05-09 00:00:00+00:00,0001262039,"FORTINET, INC.",technology,52109044849.10587,0.26925411238732616
2023-05-26,2023-04-28 00:00:00+00:00,0001014473,VERISIGN INC/CA,technology,22164144140.349747,0.26721746998892176
2023-05-26,2023-05-06 00:00:00+00:00,0000021535,COHU INC,technology,1815165702.2012024,0.25308269552585777
2023-05-26,2023-04-29 00:00:00+00:00,0001674101,VERTIV HOLDINGS CO,technology,5404040192.494391,0.24976441031625268
2023-05-26,2023-05-10 00:00:00+00:00,0001658566,PERMIAN RESOURCES CORP,energy,2993122177.5,0.2466988818549464
2023-05-26,2023-05-10 00:00:00+00:00,0001609151,"WEAVE COMMUNICATIONS, INC.",technology,328051401.5213227,0.24089801524234103
2023-05-26,2023-05-05 00:00:00+00:00,0001544522,FRESHWORKS INC.,technology,2364483479.9496746,0.23027195668042955
2023-05-26,2023-05-04 00:00:00+00:00,0000077877,"PDC ENERGY, INC.",energy,5672829894.960001,0.21354493672250718
2023-07-28,2023-07-27 00:00:00+00:00,0001013857,PEGASYSTEMS INC,technology,2044993646.9528124,0.4064031620553359
2023-07-28,2023-07-27 00:00:00+00:00,0000202058,"L3HARRIS TECHNOLOGIES, INC. /DE/",technology,37089288816.26215,0.39679402722880985
2023-07-28,2023-07-26 00:00:00+00:00,0000708818,"NEXTGEN HEALTHCARE, INC.",technology,1070204229.04,0.34901185770750986
2023-07-28,2023-07-22 00:00:00+00:00,0001694028,LIBERTY ENERGY INC.,energy,2360727509.7932816,0.2777777777777778
2023-07-28,2023-07-26 00:00:00+00:00,0000009092,BADGER METER INC,technology,4325695948.110596,0.2660869565217391
2023-07-28,2023-07-26 00:00:00+00:00,0001392972,"PROS HOLDINGS, INC.",technology,1418163208.0,0.24873517786561267
2023-07-28,2023-07-27 00:00:00+00:00,0000046765,"HELMERICH & PAYNE, INC.",energy,3636621205.9157753,0.22817460317460317
2023-07-28,2023-07-27 23:59:59+00:00,0000798354,FISERV INC,technology,64182287447.52481,0.21948616600790513
2023-07-28,2023-07-27 00:00:00+00:00,0000033213,EQT CORP,energy,14874363238.85604,0.18611111111111112
2023-07-28,2023-07-26 00:00:00+00:00,0001176334,MARTIN MIDSTREAM PARTNERS L.P.,energy,83666836.61120512,0.18342151675485002
2023-07-28,2023-07-25 00:00:00+00:00,0000813672,CADENCE DESIGN SYSTEMS INC,technology,63949852845.03173,0.15881422924901187
2023-07-28,2023-07-01 00:00:00+00:00,0000898293,JABIL INC,technology,14320617942.58204,0.15355731225296446
2023-07-28,2023-07-27 00:00:00+00:00,0000045012,HALLIBURTON CO,energy,29763411265.304184,0.1265432098765432
2023-07-28,2023-07-27 00:00:00+00:00,0000087347,SCHLUMBERGER LIMITED/NV,energy,70012252482.06235,0.11626984126984126
2023-07-28,2023-07-27 00:00:00+00:00,0001659166,FORTIVE CORP,technology,19920820015.504303,0.09909090909090908
2023-07-28,2023-07-27 00:00:00+00:00,0001688476,NEXTIER OILFIELD SOLUTIONS INC.,energy,2060653335.84,0.09325396825396824
2023-07-28,2023-07-11 00:00:00+00:00,0001800347,"E2OPEN PARENT HOLDINGS, INC.",technology,1693469976.8,0.08794466403162055
2023-07-28,2023-07-26 00:00:00+00:00,0001413447,NXP SEMICONDUCTORS N.V.,technology,53164108962.62854,0.06920948616600789
2023-07-28,2023-07-27 00:00:00+00:00,0000860731,TYLER TECHNOLOGIES INC,technology,17460636822.168365,0.061501976284584946
2023-07-28,2023-07-08 00:00:00+00:00,0001023459,"SIMULATIONS PLUS, INC.",technology,866455011.1049652,0.05509881422924899
2023-07-28,2023-07-27 00:00:00+00:00,0000048898,HUBBELL INC,technology,17767818844.04858,0.015678524374176543
2023-07-28,2023-07-04 00:00:00+00:00,0001013237,FACTSET RESEARCH SYSTEMS INC,technology,15352701431.366425,0.0019367588932806545
2023-07-28,2023-07-26 00:00:00+00:00,0001418819,IRIDIUM COMMUNICATIONS INC.,technology,7822423779.858227,-0.040000000000000015
2023-07-28,2023-07-25 00:00:00+00:00,0000315852,RANGE RESOURCES CORP,energy,7093817862.956573,-0.05307539682539686
2023-07-28,2023-07-27 00:00:00+00:00,0001433270,ANTERO RESOURCES CORP,energy,6912114967.52652,-0.11031746031746033
2023-07-28,2023-07-27 00:00:00+00:00,0001038074,SILICON LABORATORIES INC.,technology,5047191024.024216,-0.13454545454545455
2023-07-28,2023-07-07 00:00:00+00:00,0001177394,TD SYNNEX CORP,technology,8869560632.0,-0.1390909090909091
2023-07-28,2023-07-26 00:00:00+00:00,0000313616,DANAHER CORP /DE/,technology,156999744736.05145,-0.14782608695652175
2023-07-28,2023-07-27 00:00:00+00:00,0000097476,TEXAS INSTRUMENTS INC,technology,163395852115.15567,-0.23007905138339915
2023-07-28,2023-07-27 00:00:00+00:00,0001564408,SNAP INC,technology,19490380731.1821,-0.2522134387351779
2023-08-04,2023-08-02 00:00:00+00:00,0001169561,COMMVAULT SYSTEMS INC,technology,3193380091.097748,0.5801260523514045
2023-08-04,2023-07-28 00:00:00+00:00,0001070412,CNX RESOURCES CORP,energy,2933997994.388317,0.5584372670054797
2023-08-04,2023-07-27 00:00:00+00:00,0001013857,PEGASYSTEMS INC,technology,2044993646.9528124,0.3122047154723211
2023-08-04,2023-08-03 00:00:00+00:00,0001466258,TRANE TECHNOLOGIES PLC,technology,43617194048.19383,0.2997697888965495
2023-08-04,2023-08-02 00:00:00+00:00,0000889900,PATTERSON UTI ENERGY INC,energy,2492721469.518056,0.2908079614624992
2023-08-04,2023-07-29 00:00:00+00:00,0000073756,OCEANEERING INTERNATIONAL INC,energy,1884399712.6814344,0.27844845534241736
2023-08-04,2023-08-03 00:00:00+00:00,0000275880,PARSONS CORP,technology,5047834016.640137,0.2766877566877566
2023-08-04,2023-07-29 00:00:00+00:00,0000050863,INTEL CORP,technology,139478234272.00317,0.2686351582689611
2023-08-04,2023-08-01 00:00:00+00:00,0000718877,"ACTIVISION BLIZZARD, INC.",technology,66273180686.1,0.2589334233841276
2023-08-04,2023-07-28 00:00:00+00:00,0000866829,HELIX ENERGY SOLUTIONS GROUP INC,energy,1118078718.357934,0.2567278643595692
2023-08-04,2023-07-29 00:00:00+00:00,0001163739,NABORS INDUSTRIES LTD,energy,887459115.1751099,0.24980943660633342
2023-08-04,2023-08-02 00:00:00+00:00,0001451505,TRANSOCEAN LTD.,energy,5372800977.886036,0.24869996695295704
2023-08-04,2023-08-02 00:00:00+00:00,0001361113,VARONIS SYSTEMS INC,technology,2923840001.947976,0.24693968941856262
2023-08-04,2023-07-28 00:00:00+00:00,0001326801,"META PLATFORMS, INC.",technology,742417288421.6309,0.24680027953267386
2023-08-04,2023-07-26 00:00:00+00:00,0001392972,"PROS HOLDINGS, INC.",technology,1418163208.0,0.23673710327231454
2023-08-04,2023-08-03 00:00:00+00:00,0001810806,UNITY SOFTWARE INC.,technology,16441309563.197342,0.23592704009605417
2023-08-04,2023-07-28 00:00:00+00:00,0001274494,"FIRST SOLAR, INC.",technology,20306491979.4527,0.22693201634046706
2023-08-04,2023-07-27 00:00:00+00:00,0000046765,"HELMERICH & PAYNE, INC.",energy,3636621205.9157753,0.2220759315937244
2023-08-04,2023-08-01 00:00:00+00:00,0000844965,TETRA TECHNOLOGIES INC,energy,437369932.7285843,0.21447759388262824
2023-08-04,2023-08-02 00:00:00+00:00,0001111928,IPG PHOTONICS CORP,technology,6425044493.716431,0.2122596276962474
2023-08-04,2023-08-02 00:00:00+00:00,0001047127,"AMKOR TECHNOLOGY, INC.",technology,7307811003.5,0.20576527697654462
2023-08-04,2023-07-26 00:00:00+00:00,0000009092,BADGER METER INC,technology,4325695948.110596,0.19811681276470003
2023-08-04,2023-08-02 00:00:00+00:00,0001580808,"A10 NETWORKS, INC.",technology,1079190548.856594,0.19791269763100744
2023-08-04,2023-07-22 00:00:00+00:00,0001694028,LIBERTY ENERGY INC.,energy,2360727509.7932816,0.19749079955730012
2023-08-04,2023-07-26 00:00:00+00:00,0001176334,MARTIN MIDSTREAM PARTNERS L.P.,energy,83666836.61120512,0.1953384405362864
2023-08-04,2023-07-28 00:00:00+00:00,0001575828,EXPRO GROUP HOLDINGS N.V.,energy,1924253160.115675,0.19016355604111562
2023-08-04,2023-07-27 00:00:00+00:00,0000033213,EQT CORP,energy,14874363238.85604,0.1840959622655613
2023-08-04,2023-07-28 00:00:00+00:00,0001035002,VALERO ENERGY CORP/TX,energy,42405939220.962166,0.18384882579475953
2023-08-04,2023-07-27 00:00:00+00:00,0000202058,"L3HARRIS TECHNOLOGIES, INC. /DE/",technology,37089288816.26215,0.1799055196238295
2023-08-04,2023-08-02 00:00:00+00:00,0001336920,"LEIDOS HOLDINGS, INC.",technology,12136559979.181396,0.17559793258384807
2023-08-11,2023-08-05 00:00:00+00:00,0001171486,NATURAL RESOURCE PARTNERS LP,energy,666351040.2868271,0.60275190006972
2023-08-11,2023-07-28 00:00:00+00:00,0001070412,CNX RESOURCES CORP,energy,2933997994.388317,0.5592713844114274
2023-08-11,2023-08-04 00:00:00+00:00,0001445305,WORKIVA INC,technology,5458150198.339539,0.40020298348454136
2023-08-11,2023-08-09 00:00:00+00:00,0001036044,"IDENTIV, INC.",technology,193213750.164402,0.3872478538167565
2023-08-11,2023-08-09 00:00:00+00:00,0001023731,8X8 INC /DE/,technology,492220771.2594719,0.3672639147797025
2023-08-11,2023-08-09 00:00:00+00:00,0001162194,STANDARD BIOTOOLS INC.,technology,151282937.8085461,0.36182942979083493
2023-08-11,2023-08-09 00:00:00+00:00,0001846069,"NEXTDOOR HOLDINGS, INC.",technology,1216061496.4425564,0.3335087040039856
2023-08-11,2023-08-04 00:00:00+00:00,0001104485,"NORTHERN OIL & GAS, INC.",energy,2929682947.309059,0.33262835419530323
2023-08-11,2023-08-02 00:00:00+00:00,0001361113,VARONIS SYSTEMS INC,technology,2923840001.947976,0.3057095276242523
2023-08-11,2023-08-03 00:00:00+00:00,0000275880,PARSONS CORP,technology,5047834016.640137,0.3008353600244523
2023-08-11,2023-08-02 00:00:00+00:00,0000889900,PATTERSON UTI ENERGY INC,energy,2492721469.518056,0.29599624182640827
2023-08-11,2023-07-26 00:00:00+00:00,0001176334,MARTIN MIDSTREAM PARTNERS L.P.,energy,83666836.61120512,0.28995169600603304
2023-08-11,2023-08-02 00:00:00+00:00,0001451505,TRANSOCEAN LTD.,energy,5372800977.886036,0.2893232353400057
2023-08-11,2023-08-09 00:00:00+00:00,0001507605,"MARATHON DIGITAL HOLDINGS, INC.",technology,2320163041.6277933,0.2854732264425751
2023-08-11,2023-08-09 00:00:00+00:00,0001831915,"CYTEK BIOSCIENCES, INC.",technology,1158593407.864727,0.2792395695349611
2023-08-11,2023-07-29 00:00:00+00:00,0001163739,NABORS INDUSTRIES LTD,energy,887459115.1751099,0.2687275857856587
2023-08-11,2023-08-09 00:00:00+00:00,0001835591,VIZIO HOLDING CORP.,technology,1315532184.75,0.26568217177113057
2023-08-11,2023-07-29 00:00:00+00:00,0000073756,OCEANEERING INTERNATIONAL INC,energy,1884399712.6814344,0.25944028463461666
2023-08-11,2023-07-27 00:00:00+00:00,0001013857,PEGASYSTEMS INC,technology,2044993646.9528124,0.2588164539380694
2023-08-11,2023-08-01 00:00:00+00:00,0000844965,TETRA TECHNOLOGIES INC,energy,437369932.7285843,0.25658430900692614
2023-08-11,2023-08-09 00:00:00+00:00,0000816761,TERADATA CORP /DE/,technology,5399750984.573364,0.25569948980202967
2023-08-11,2023-08-03 00:00:00+00:00,0001466258,TRANE TECHNOLOGIES PLC,technology,43617194048.19383,0.24743802716587995
2023-08-11,2023-07-28 00:00:00+00:00,0001575828,EXPRO GROUP HOLDINGS N.V.,energy,1924253160.115675,0.2454059282036524
2023-08-11,2023-08-09 00:00:00+00:00,0001496963,"SQUARESPACE, INC.",technology,4255301419.4,0.23961082363178554
2023-08-11,2023-08-10 00:00:00+00:00,0001819394,"MATTERPORT, INC./DE",technology,931982735.25,0.23858122185323247
2023-08-11,2023-07-28 00:00:00+00:00,0000866829,HELIX ENERGY SOLUTIONS GROUP INC,energy,1118078718.357934,0.23707740966875837
2023-08-11,2023-08-01 00:00:00+00:00,0000718877,"ACTIVISION BLIZZARD, INC.",technology,66273180686.1,0.23027668349524907
2023-08-11,2023-08-05 00:00:00+00:00,0001626450,"BIGCOMMERCE HOLDINGS, INC.",technology,741770943.5307455,0.2299190092482594
2023-08-11,2023-08-10 00:00:00+00:00,0001855747,"BLEND LABS, INC.",technology,230695835.50500867,0.22875236325733397
2023-08-11,2023-08-10 00:00:00+00:00,0001595974,"MAGNITE, INC.",technology,1850592310.08242,0.2230286765728345
2023-08-18,2023-08-05 00:00:00+00:00,0001171486,NATURAL RESOURCE PARTNERS LP,energy,666351040.2868271,0.578549120817714
2023-08-18,2023-07-28 00:00:00+00:00,0001070412,CNX RESOURCES CORP,energy,2933997994.388317,0.5556661235973684
2023-08-18,2023-08-03 00:00:00+00:00,0000099302,TRANSCAT INC,technology,652017145.3005371,0.46467783390923645
2023-08-18,2023-08-09 00:00:00+00:00,0001162194,STANDARD BIOTOOLS INC.,technology,151282937.8085461,0.4057751908789838
2023-08-18,2023-08-09 00:00:00+00:00,0001036044,"IDENTIV, INC.",technology,193213750.164402,0.3823684590861047
2023-08-18,2023-08-04 00:00:00+00:00,0001445305,WORKIVA INC,technology,5458150198.339539,0.3269521232443262
2023-08-18,2023-08-04 00:00:00+00:00,0001104485,"NORTHERN OIL & GAS, INC.",energy,2929682947.309059,0.3239756276049396
2023-08-18,2023-08-02 00:00:00+00:00,0001361113,VARONIS SYSTEMS INC,technology,2923840001.947976,0.31785736429518596
2023-08-18,2023-07-26 00:00:00+00:00,0001176334,MARTIN MIDSTREAM PARTNERS L.P.,energy,83666836.61120512,0.31399607214572756
2023-08-18,2023-08-03 00:00:00+00:00,0000275880,PARSONS CORP,technology,5047834016.640137,0.3049783692074029
2023-08-18,2023-07-28 00:00:00+00:00,0001575828,EXPRO GROUP HOLDINGS N.V.,energy,1924253160.115675,0.3031643474898603
2023-08-18,2023-08-09 00:00:00+00:00,0001503274,QUANTERIX CORP,technology,843566675.1094093,0.2958507638875047
2023-08-18,2023-08-09 00:00:00+00:00,0000350868,"ITERIS, INC.",technology,168574677.48,0.29396253404669237
2023-08-18,2023-07-28 00:00:00+00:00,0001274494,"FIRST SOLAR, INC.",technology,20306491979.4527,0.2927959884116901
2023-08-18,2023-08-09 00:00:00+00:00,0001507605,"MARATHON DIGITAL HOLDINGS, INC.",technology,2320163041.6277933,0.29069033786785275
2023-08-18,2023-08-02 00:00:00+00:00,0001451505,TRANSOCEAN LTD.,energy,5372800977.886036,0.28995886290153355
2023-08-18,2023-08-02 00:00:00+00:00,0000889900,PATTERSON UTI ENERGY INC,energy,2492721469.518056,0.28520560635437864
2023-08-18,2023-07-29 00:00:00+00:00,0000073756,OCEANEERING INTERNATIONAL INC,energy,1884399712.6814344,0.28140012404208176
2023-08-18,2023-08-09 00:00:00+00:00,0001831915,"CYTEK BIOSCIENCES, INC.",technology,1158593407.864727,0.28017485850430746
2023-08-18,2023-08-01 00:00:00+00:00,0000844965,TETRA TECHNOLOGIES INC,energy,437369932.7285843,0.27321644655537897
2023-08-18,2023-07-28 00:00:00+00:00,0000866829,HELIX ENERGY SOLUTIONS GROUP INC,energy,1118078718.357934,0.27278900997343447
2023-08-18,2023-07-28 00:00:00+00:00,0001035002,VALERO ENERGY CORP/TX,energy,42405939220.962166,0.27123032976691513
2023-08-18,2023-08-10 00:00:00+00:00,0001625641,"CS DISCO, INC.",technology,490331992.16856,0.25364944038827414
2023-08-18,2023-08-10 00:00:00+00:00,0001855747,"BLEND LABS, INC.",technology,230695835.50500867,0.24709022637878714
2023-08-18,2023-08-10 00:00:00+00:00,0001459200,"ALARM.COM HOLDINGS, INC.",technology,2575700724.009781,0.24430008170608764
2023-08-18,2023-08-09 00:00:00+00:00,0001760717,SCIPLAY CORP,technology,432960000.0,0.24350252443250028
2023-08-18,2023-07-29 00:00:00+00:00,0001163739,NABORS INDUSTRIES LTD,energy,887459115.1751099,0.2345077848364932
2023-08-18,2023-08-01 00:00:00+00:00,0000718877,"ACTIVISION BLIZZARD, INC.",technology,66273180686.1,0.21920411808490964
2023-08-18,2023-07-26 00:00:00+00:00,0001392972,"PROS HOLDINGS, INC.",technology,1418163208.0,0.2179151750878344
2023-08-18,2023-08-03 00:00:00+00:00,0001466258,TRANE TECHNOLOGIES PLC,technology,43617194048.19383,0.21735086372815643
2023-08-25,2023-07-28 00:00:00+00:00,0001070412,CNX RESOURCES CORP,energy,2933997994.388317,0.5726999394179977
2023-08-25,2023-08-05 00:00:00+00:00,0001171486,NATURAL RESOURCE PARTNERS LP,energy,666351040.2868271,0.5497093184593184
2023-08-25,2023-08-03 00:00:00+00:00,0000099302,TRANSCAT INC,technology,652017145.3005371,0.5201626670386167
2023-08-25,2023-08-09 00:00:00+00:00,0001162194,STANDARD BIOTOOLS INC.,technology,151282937.8085461,0.43163176274435716
2023-08-25,2023-08-09 00:00:00+00:00,0001036044,"IDENTIV, INC.",technology,193213750.164402,0.4173236303240685
2023-08-25,2023-08-02 00:00:00+00:00,0001361113,VARONIS SYSTEMS INC,technology,2923840001.947976,0.3543146971784661
