candidate,sleeve,family,holding_weeks,price_confirmation,breadth,market_cap_floor,sector_cap,allocation,cost_bps,recent_cagr,recent_sharpe,recent_drawdown,full_cagr,full_sharpe,full_drawdown,sleeve_recent_cagr,sleeve_full_cagr,beats_control_both
balanced_filing_momentum__hold13__positive_8w__top20__floor250m__sector60__w0.10__50bps,balanced_filing_momentum__hold13__positive_8w__top20__floor250m__sector60,balanced_filing_momentum,13,positive_8w,20,250000000,0.6,0.1,50,1.0234987050123783,2.7854876638132615,-0.10592769591085638,0.3919518494591734,1.611536693646017,-0.21968484065467386,0.7392323245944612,0.22241922867424146,False
fundamental_acceleration__hold4__positive_4w__top10__floor50m__sector70__w0.40__50bps,fundamental_acceleration__hold4__positive_4w__top10__floor50m__sector70,fundamental_acceleration,4,positive_4w,10,50000000,0.7,0.4,50,1.0233182943892314,3.040130686476344,-0.12630180631167387,0.3671595867069266,1.4745322307750321,-0.28407832328386107,0.931462929084806,0.28111380637888406,False
quality_momentum__hold8__none__top30__floor50m__sector60__w0.10__50bps,quality_momentum__hold8__none__top30__floor50m__sector60,quality_momentum,8,none,30,50000000,0.6,0.1,50,1.0229998540630247,2.798596460493679,-0.10187910930481958,0.3823256160477293,1.5794811733559286,-0.21961700337242251,0.7330223794689299,0.1421779874442921,False
fundamental_acceleration__hold13__positive_4w__top20__floor100m__sector70__w0.10__50bps,fundamental_acceleration__hold13__positive_4w__top20__floor100m__sector70,fundamental_acceleration,13,positive_4w,20,100000000,0.7,0.1,50,1.0229574133929091,2.7578518021670613,-0.10561646952766268,0.3781534122152215,1.5594487760795435,-0.2181892749819676,0.7257071716807786,0.10546444810119193,False
fundamental_acceleration__hold13__positive_8w__top30__floor50m__sector60__w0.10__50bps,fundamental_acceleration__hold13__positive_8w__top30__floor50m__sector60,fundamental_acceleration,13,positive_8w,30,50000000,0.6,0.1,50,1.0228293272637958,2.7871926926887087,-0.09955064413120829,0.39048690085216653,1.6147732555007073,-0.21504566235569156,0.7359910880495462,0.213140936341077,False
balanced_filing_momentum__hold8__positive_8w__top10__floor100m__sector70__w0.10__50bps,balanced_filing_momentum__hold8__positive_8w__top10__floor100m__sector70,balanced_filing_momentum,8,positive_8w,10,100000000,0.7,0.1,50,1.0225115361346861,2.808718278556613,-0.0909829760807297,0.40270584274267485,1.636016216465721,-0.22161743190624128,0.7272044227914709,0.3091256631849426,False
quality_momentum__hold13__positive_4w__top20__floor100m__sector70__w0.10__50bps,quality_momentum__hold13__positive_4w__top20__floor100m__sector70,quality_momentum,13,positive_4w,20,100000000,0.7,0.1,50,1.0220753099128097,2.7495528863030807,-0.10730583575984676,0.37994222449728854,1.5597660769559958,-0.21840004376515165,0.7111466694732713,0.11848787471969713,False
balanced_filing_momentum__hold13__positive_8w__top30__floor100m__sector70__w0.30__50bps,balanced_filing_momentum__hold13__positive_8w__top30__floor100m__sector70,balanced_filing_momentum,13,positive_8w,30,100000000,0.7,0.3,50,1.0220214623628414,2.9664544945645055,-0.12029314161015736,0.3537899614297777,1.5238646070709476,-0.2388356351309412,0.9079253209109277,0.2183072145425684,False
quality_momentum__hold13__none__top30__floor50m__sector60__w0.10__50bps,quality_momentum__hold13__none__top30__floor50m__sector60,quality_momentum,13,none,30,50000000,0.6,0.1,50,1.021976729791842,2.782758265570577,-0.09851626557956206,0.38393233067196486,1.5807571893401569,-0.21945403054368995,0.7343105697823218,0.1574412033161645,False
quality_momentum__hold13__none__top30__floor100m__sector60__w0.10__50bps,quality_momentum__hold13__none__top30__floor100m__sector60,quality_momentum,13,none,30,100000000,0.6,0.1,50,1.0219618931554226,2.782889354945758,-0.09851626557956195,0.3816316655694054,1.572634467094245,-0.22002071848482552,0.7343242067936899,0.1386547533082152,False
