factor,subperiod,n_weeks,weekly_mean,ann_return,ann_vol,sharpe,max_drawdown,cvar_5
pca_full_diag_f4,2016_2020,261,-0.0013924380303506824,-0.07381202509020501,0.09128206166624735,-0.8086147896186038,-0.3816829836173342,-0.03179088229555635
pca_full_diag_f4,2021_2026,276,0.000763441832530096,0.03602696938008143,0.09287029369440343,0.3879278071266883,-0.24344357401622918,-0.027025685076927985
pca_full_diag_f5,2005_2009,259,-0.00019243077782873968,-0.010830411289960429,0.04200559025323344,-0.2578326176270489,-0.10998173388954968,-0.01310865790124785
pca_full_diag_f5,2010_2015,313,-0.0005168268596263136,-0.02708370231565138,0.033887644234366986,-0.7992205692535151,-0.16150461771798252,-0.010890516006651169
pca_full_diag_f5,2016_2020,261,-0.0001952571706355534,-0.010955105441529667,0.04145000927308599,-0.26429681521550236,-0.1267968007224708,-0.01351914404999668
pca_full_diag_f5,2021_2026,276,-0.00022918427026768758,-0.012643794592686608,0.040124671676580265,-0.31511272402676044,-0.11868929960157437,-0.012349064288788814
pca_exp_f1,2005_2009,0,,,,,,
pca_exp_f1,2010_2015,313,0.0013472245642288947,0.0626612784687135,0.13556874604071967,0.46221035672847816,-0.18610531291424504,-0.04562633882295309
pca_exp_f1,2016_2020,261,0.0016956734406510083,0.07795053423683873,0.1596700367930074,0.4881976343369422,-0.3240229639206631,-0.05750335293204889
pca_exp_f1,2021_2026,276,0.0019424054042785674,0.09740104106490977,0.12610103294371858,0.7724047836180835,-0.19469560084193904,-0.0377532709722123
pca_exp_f2,2005_2009,0,,,,,,
pca_exp_f2,2010_2015,313,0.00030415809342608285,0.014854284200842338,0.04618799767138894,0.3216048529863808,-0.11440016897822602,-0.015003216026513413
pca_exp_f2,2016_2020,261,0.0008276867627668072,0.041791803151552065,0.06434845817389136,0.6494608315030088,-0.09581883239961564,-0.020285653927053976
pca_exp_f2,2021_2026,276,0.0003233165833628773,0.015142713692589238,0.059699661896990976,0.2536482320237809,-0.15327733300903512,-0.016169531411515402
pca_exp_f3,2005_2009,0,,,,,,
pca_exp_f3,2010_2015,313,-0.0009817585697142583,-0.0525689082217069,0.07615095397096866,-0.6903250121035642,-0.3993532883446431,-0.026041984908374848
pca_exp_f3,2016_2020,261,-0.000357268353817839,-0.01980176811154233,0.05322814349464484,-0.37201688451776527,-0.1973719169215994,-0.016696476977018836
pca_exp_f3,2021_2026,276,0.0011659478290414267,0.05984301233697353,0.07039840376839168,0.8500620629674357,-0.06904845564165396,-0.019422334681092907
pca_exp_f4,2005_2009,0,,,,,,
pca_exp_f4,2010_2015,313,0.0008081417247547744,0.042331790213427256,0.0330670225070289,1.2801814921325012,-0.028790241579248366,-0.00921184909894825
pca_exp_f4,2016_2020,261,0.001353675391481942,0.07007139381081795,0.0726946163055775,0.9639144873709405,-0.06426337844200158,-0.018476491348468172
pca_exp_f4,2021_2026,276,-0.0005018746137956905,-0.02971617493689971,0.08998228427855112,-0.33024472733888005,-0.2515976101113985,-0.028723192172147274
pca_exp_f5,2005_2009,0,,,,,,
pca_exp_f5,2010_2015,313,-0.0005667982875743702,-0.029996547116187933,0.04405602198052157,-0.6808728016671652,-0.17736407631651263,-0.01527439012692425
pca_exp_f5,2016_2020,261,-0.00011938882294405709,-0.007026039203009704,0.04098810850383465,-0.1714165268776036,-0.11094549544217647,-0.014045671395088282
pca_exp_f5,2021_2026,276,0.0005891064884540439,0.03022856155957343,0.041165683281436424,0.7343145831665312,-0.05180778175163292,-0.01039241365820528
ipca_style_f1,2005_2009,0,,,,,,
ipca_style_f1,2010_2015,313,-0.000691328511767089,-0.03808271911060457,0.07584247975140007,-0.5021291397042111,-0.26513116499762335,-0.023030245398480448
ipca_style_f1,2016_2020,261,-0.00013132177522650267,-0.010624781106039594,0.08738268445078709,-0.12158909025075038,-0.1971919337527328,-0.029058261367941842
ipca_style_f1,2021_2026,276,0.00041612211534364804,0.019213410108669837,0.0721300133998971,0.26637191930283555,-0.13109468644227695,-0.022972656961283266
ipca_style_f2,2005_2009,0,,,,,,
ipca_style_f2,2010_2015,313,0.0001210986337402453,0.0035176519457211786,0.07432197913320203,0.04732990142009996,-0.1456378141445568,-0.027532094532199375
ipca_style_f2,2016_2020,261,1.9502902889953067e-05,-0.0017497502038500423,0.07395539896306291,-0.0236595330210301,-0.18531333793806415,-0.028364937772890737
ipca_style_f2,2021_2026,276,0.0010909019276983626,0.05529873501238547,0.07580987404062219,0.7294397426746024,-0.07747824891762245,-0.022962699817564387
ipca_style_f3,2005_2009,0,,,,,,
ipca_style_f3,2010_2015,313,-0.0005275438626380843,-0.028653145918138057,0.05714585477614398,-0.5014037506373875,-0.19982950104087238,-0.01813692733812461
ipca_style_f3,2016_2020,261,-0.00011362000760020454,-0.008251608011699996,0.06906449903436848,-0.11947683870976547,-0.13521758381829596,-0.020012765101138388
ipca_style_f3,2021_2026,276,-0.0004614458616933413,-0.02600767858032993,0.06847313753952249,-0.3798230885114382,-0.28691299640121926,-0.022782874208824307
