id,description,type,coverage,alphaCount
anl4_basicconafv110_mean,Mean of estimations,VECTOR,0.7343,60
anl4_basicconafv110_median,Median of estimations,VECTOR,0.7343,42
anl4_basicconafv110_numest,The number of forecasts counted in aggregation,VECTOR,0.7343,752
anl4_basicconafv110_pu,The number of upper estimations,VECTOR,0.7343,3055
anl4_basicconltv110_down,Number of lower estimations,VECTOR,0.7004,144
anl4_basicconltv110_high,The highest estimation,VECTOR,0.7004,142
anl4_basicconltv110_low,The lowest estimation,VECTOR,0.7004,67
anl4_basicconltv110_mean,Mean of estimations,VECTOR,0.7004,96
anl4_basicconltv110_median,Median of estimations,VECTOR,0.7004,144
anl4_basicconltv110_numest,The number of forecasts counted in aggregation,VECTOR,0.7004,1801
anl4_basicconltv110_pu,The number of upper estimations,VECTOR,0.7004,1337
anl4_basicconqfv110_down,Number of lower estimations,VECTOR,0.7262,1338
anl4_basicconqfv110_high,The highest estimation,VECTOR,0.7262,111
anl4_basicconqfv110_low,The lowest estimation,VECTOR,0.7262,70
anl4_basicconqfv110_mean,Mean of estimations,VECTOR,0.7262,1377
anl4_basicconqfv110_median,Median of estimations,VECTOR,0.7262,120
anl4_basicconqfv110_numest,The number of forecasts counted in aggregation,VECTOR,0.7262,1532
anl4_basicconqfv110_pu,The number of upper estimations,VECTOR,0.7262,4120
anl4_basicdetaillt_bk,Broker name (int),VECTOR,0.6827,147
anl4_basicdetaillt_estvalue,Estimation value,VECTOR,0.6818,116
anl4_basicdetaillt_person,Broker Id,VECTOR,0.6827,205
anl4_basicdetaillt_prevval,The Previous Estimation of Financial Item,VECTOR,0.677,150
anl4_basicdetailqfv110_bk,Broker name (int),VECTOR,0.6876,55
anl4_basicdetailqfv110_estvalue,Estimation value,VECTOR,0.6873,43
anl4_basicdetailqfv110_person,Broker Id,VECTOR,0.6876,53
anl4_basicdetailqfv110_prevval,The previous estimation of financial item,VECTOR,0.6847,81
anl4_basicdetailrec_bk,Broker name (int),VECTOR,0.7128,119
anl4_basicdetailrec_person,Broker Id,VECTOR,0.7128,95
anl4_basicdetailrec_ratingvalue,Score on the given instrument,VECTOR,0.7104,576
anl4_basicqfv4_actual,Announced financial data,VECTOR,0.9972,80
anl4_basicqfv4_maxguidance,Max guidance value,VECTOR,0.4814,882
anl4_basicqfv4_minguidance,Min guidance value,VECTOR,0.4814,782
anl4_baz1v110_bk,Broker name (int),VECTOR,0.7154,94
anl4_baz1v110_estvalue,Estimation value,VECTOR,0.7152,273
anl4_baz1v110_person,Broker Id,VECTOR,0.7154,657
anl4_baz1v110_prevval,The previous estimation of financial item,VECTOR,0.7134,45
anl4_buy,The number of recommendations to long the instrument,VECTOR,0.6243,677
anl4_bvps_flag,Book value per share - forecast type (revision/new/...),MATRIX,0.8223,20763
anl4_bvps_high,"Book value - the highest estimation, per share",MATRIX,0.6499,1246
anl4_bvps_low,"Book value - the lowest estimation, per share",MATRIX,0.6499,1694
anl4_bvps_mean,Book value per share - average of estimations,MATRIX,0.6499,1257
anl4_bvps_median,Book value per share - Median value among forecasts,MATRIX,0.6499,1044
anl4_bvps_number,Book value per share - number of estimations,MATRIX,0.6499,2815
anl4_bvps_value,Book value per share - announced financial value,MATRIX,0.5245,673
anl4_capex_flag,Capital Expenditures - forecast type (revision/new/...),MATRIX,0.8506,8845
anl4_capex_high,Capital Expenditures - The highest estimation,MATRIX,0.6173,8916
anl4_capex_low,Capital Expenditures - The lowest estimation,MATRIX,0.6173,8003
anl4_capex_mean,Capital Expenditures - mean of estimations,MATRIX,0.6173,981
anl4_capex_number,Capital Expenditures - number of estimations,MATRIX,0.6173,1461
anl4_capex_std,Capital Expenditures - standard deviation of estimations,MATRIX,0.2569,3141
anl4_capex_value,Capital Expenditures - announced financial value,MATRIX,0.6592,7099
anl4_cff_flag,Cash Flow From Financing Activities - forecast type (revision/new/...),MATRIX,0.8244,12066
anl4_cff_high,Cash Flow From Financing - The highest of forecasted values,MATRIX,0.59,2184
anl4_cff_low,Cash Flow From Financing - The lowest estimation,MATRIX,0.59,5118
anl4_cff_mean,Cash Flow From Financing - mean of estimations,MATRIX,0.59,279
anl4_cff_median,Cash Flow From Financing Activities - Median value among forecasts,MATRIX,0.59,349
anl4_cff_number,Cash Flow From Financing - number of estimations,MATRIX,0.59,694
anl4_cff_value,Cash Flow From Financing - announced financial value,MATRIX,0.4781,664
anl4_cfi_flag,Cash Flow From Investing - forecast type (revision/new/...),MATRIX,0.8287,7013
anl4_cfi_high,Cash Flow From Investing - The highest estimation,MATRIX,0.5849,1500
anl4_cfi_low,Cash Flow From Investing - The lowest estimation,MATRIX,0.5849,3089
anl4_cfi_mean,Cash Flow From Investing - mean of estimations,MATRIX,0.5849,271
anl4_cfi_median,Cash Flow From Investing - median of estimations,MATRIX,0.5849,451
anl4_cfi_number,Cash Flow From Investing - number of estimations,MATRIX,0.5849,306
anl4_cfi_value,Cash Flow From Investing - announced financial value,MATRIX,0.4859,2112
anl4_cfo_flag,Cash Flow From Operations - forecast type (revision/new/...),MATRIX,0.8269,6340
anl4_cfo_high,Cash Flow From Operations - The highest value among forecasts,MATRIX,0.6232,2338
anl4_cfo_low,Cash Flow From Operations - The lowest estimation,MATRIX,0.6232,7405
anl4_cfo_mean,Cash Flow From Operations - mean of estimations,MATRIX,0.6232,471
anl4_cfo_median,Cash Flow From Operations - median of estimations,MATRIX,0.6232,2602
anl4_cfo_number,Cash Flow From Operations - number of estimations,MATRIX,0.6232,1241
anl4_cfo_value,Cash Flow From Operations - announced financial value,MATRIX,0.5809,7815
anl4_cuo1actualqfv110_actual,Announced financial data,VECTOR,0.6345,551
anl4_cuo1actualqfv110_item,Financial item,VECTOR,0.6473,243
anl4_cuo1conafv110_item,Financial item,VECTOR,0.7196,218
anl4_cuo1conqfv110_item,Financial item,VECTOR,0.6979,1129
anl4_cuo1detailafv110_item,Financial item,VECTOR,0.688,3967
anl4_cuo1detailqfv110_item,Financial item,VECTOR,0.6295,2885
anl4_cuo1guidaf_item,Financial item,VECTOR,0.2961,42
anl4_cuo1guidaf_maxguidance,Max guidance value,VECTOR,0.2938,46
anl4_cuo1guidaf_minguidance,Minimum guidance value,VECTOR,0.2952,77
anl4_dei2laf_item,Financial item,VECTOR,0.4928,1207
anl4_dei2lqfv110_item,Financial item,VECTOR,0.4304,2942
anl4_dei3lafv110_item,Financial item,VECTOR,0.5416,750
anl4_dei3lltv110_item,Financial item,VECTOR,0.4737,4171
anl4_dei3lqfv110_item,Financial item,VECTOR,0.513,417
anl4_dei3lrec_item,Financial item,VECTOR,0.5489,465
anl4_detailltv4_est,Long term estimation value,VECTOR,1.0,36
anl4_detailltv4_preest,The previous estimation of financial item,VECTOR,1.0,44
anl4_detailltv4v104_est,Estimation value,VECTOR,0.7943,97
anl4_detailltv4v104_preest,The previous estimation of financial item,VECTOR,0.7911,107
anl4_detailrecv4_est,Estimation value for recommendation detail,VECTOR,1.0,83
anl4_detailrecv4v104_est,Estimation value,VECTOR,0.7885,1035
anl4_dez1afv4_est,Estimation value,VECTOR,0.967,303
anl4_dez1afv4_preest,The previous estimation of finanicial item,VECTOR,0.967,83
anl4_dez1basicafv4_est,Estimation value,VECTOR,1.0,44
anl4_dez1basicafv4_preest,The previous estimation of finanicial item,VECTOR,1.0,20
anl4_dez1basicafv4v104_est,Estimation value,VECTOR,0.8076,153
anl4_dez1basicafv4v104_preest,The previous estimation of financial item,VECTOR,0.806,65
anl4_dez1basicqfv4_est,Estimation value,VECTOR,1.0,43
anl4_dez1basicqfv4_preest,The previous estimation of finanicial item,VECTOR,1.0,22
anl4_dez1basicqfv4v104_est,Estimation value,VECTOR,0.7891,686
anl4_dez1basicqfv4v104_preest,The previous estimation of financial item,VECTOR,0.7865,311
anl4_dez1qfv4_est,Estimation value,VECTOR,0.964,1165
anl4_dez1qfv4_preest,The previous estimation of finanicial item,VECTOR,0.964,525
anl4_dez1safv4_est,Estimation value,VECTOR,0.4317,54
anl4_dez1safv4_preest,The previous estimation of finanicial item,VECTOR,0.4122,53
anl4_dts_ptp,Pretax income - std of estimations,MATRIX,0.505,947
anl4_dts_rspe,Reported Earnings per share - standard deviation of estimations,MATRIX,0.4773,5297
anl4_eaz1laf_bk,Broker name (int),VECTOR,0.4928,750
anl4_eaz1laf_estvalue,Estimation value,VECTOR,0.4801,30
anl4_eaz1laf_person,Broker Id,VECTOR,0.4928,614
anl4_eaz1laf_prevval,The previous estimation of financial item,VECTOR,0.4771,44
anl4_eaz1lqfv110_bk,Broker name (int),VECTOR,0.4304,203
anl4_eaz1lqfv110_estvalue,Estimation value,VECTOR,0.4151,34
anl4_eaz1lqfv110_person,Broker Id,VECTOR,0.4304,320
anl4_eaz1lqfv110_prevval,The previous estimation of financial item,VECTOR,0.4117,21
anl4_eaz2lafv110_bk,Broker name (int),VECTOR,0.5416,801
anl4_eaz2lafv110_estvalue,Estimation value,VECTOR,0.5282,52
anl4_eaz2lafv110_person,Broker Id,VECTOR,0.5416,95
anl4_eaz2lafv110_prevval,The previous estimation of financial item,VECTOR,0.5248,30
anl4_eaz2lltv110_bk,Broker name (int),VECTOR,0.4737,822
anl4_eaz2lltv110_estvalue,Estimation value,VECTOR,0.46,47
anl4_eaz2lltv110_person,Broker Id,VECTOR,0.4737,976
anl4_eaz2lltv110_prevval,The previous estimation of financial item,VECTOR,0.4544,80
anl4_eaz2lqfv110_bk,Broker name (int),VECTOR,0.513,175
anl4_eaz2lqfv110_estvalue,Estimation value,VECTOR,0.4984,151
anl4_eaz2lqfv110_person,Broker Id,VECTOR,0.513,209
anl4_eaz2lqfv110_prevval,The previous estimation of financial item,VECTOR,0.4948,158
anl4_eaz2lrec_bk,Broker name (int),VECTOR,0.5489,452
anl4_eaz2lrec_person,Broker Id,VECTOR,0.5489,1585
anl4_eaz2lrec_ratingvalue,Score on the given instrument,VECTOR,0.5327,5888
anl4_ebit_high,Earnings before interest and taxes - The highest estimation,MATRIX,0.7097,3434
anl4_ebit_low,Earnings before interest and taxes - The lowest estimation,MATRIX,0.7097,4027
anl4_ebit_mean,Earnings before interest and taxes - mean of estimations,MATRIX,0.7097,837
anl4_ebit_median,Earnings before interest and taxes - median of estimations,MATRIX,0.7097,2006
anl4_ebit_number,Earnings before interest and taxes - number of estimations,MATRIX,0.7097,4116
anl4_ebit_std,Earnings before interest and taxes - standard deviation of estimations,MATRIX,0.4695,2469
anl4_ebit_value,Earnings before interest and taxes - announced financial value,MATRIX,0.9483,18616
anl4_ebitda_flag,"Earnings before interest, taxes, depreciation and amortization - forecast type (revision/new/...)",MATRIX,0.8633,4863
anl4_ebitda_high,"Earnings before interest, taxes, depreciation, and amortization - the highest estimation",MATRIX,0.5831,5463
anl4_ebitda_low,"Earnings before interest, taxes, depreciation and amortization - The lowest estimation",MATRIX,0.5831,6798
anl4_ebitda_mean,"Earnings before interest, taxes, depreciation and amortization - mean of estimations",MATRIX,0.5831,783
anl4_ebitda_number,"Earnings before interest, taxes, depreciation and amortization - number of estimations",MATRIX,0.5831,527
anl4_ebitda_std,"Earnings before interest, taxes, depreciation, and amortization - standard deviation of estimations",MATRIX,0.3585,624
anl4_ebitda_value,"Earnings before interest, taxes, depreciation and amortization - announced financial value",MATRIX,0.8133,16510
anl4_epsa_flag,Earnings per share adjusted by excluding extraordinary items and stock option expenses - forecast type (revision/new/...),MATRIX,1.0,953
anl4_epsr_flag,"GAAP Earnings - estimation type (revision/new/...), per share",MATRIX,0.8742,18560
anl4_epsr_high,GAAP Earnings per share - The highest estimation,MATRIX,0.7153,2737
anl4_epsr_low,GAAP Earnings per share - The lowest estimation,MATRIX,0.7153,5204
anl4_epsr_mean,GAAP Earnings per share - mean of estimations,MATRIX,0.7153,1309
anl4_epsr_number,GAAP Earnings per share - number of estimations,MATRIX,0.7153,7896
anl4_epsr_value,GAAP Earnings per share - announced financial value,MATRIX,0.9904,2007
anl4_fcf_flag,Free cash flow - forecast type (revision/new/...),MATRIX,0.859,4777
anl4_fcf_high,"Free cash flow - aggregation on estimations, max",MATRIX,0.5545,1268
anl4_fcf_low,Free Cash Flow - The lowest estimation,MATRIX,0.5545,3475
anl4_fcf_mean,Free Cash Flow - mean of estimations,MATRIX,0.5545,387
anl4_fcf_median,"Free cash flow - aggregation on estimations, 50th percentile",MATRIX,0.5545,1385
anl4_fcf_number,Free Cash Flow - number of estimations,MATRIX,0.5545,581
anl4_fcf_value,Free cash flow- announced financial value,MATRIX,0.5288,2160
anl4_fcfps_flag,Free cash flow per share - forecast type (revision/new/...),MATRIX,0.8947,1794
anl4_fcfps_high,Free Cash Flow Per Share - the highest estimation,MATRIX,0.4393,292
anl4_fcfps_low,Free Cash Flow Per Share - the lowest estimation,MATRIX,0.4393,802
anl4_fcfps_mean,Free cash flow per share - mean of estimations,MATRIX,0.4393,394
anl4_fcfps_median,"Free cash flow - summary on estimations, 50th-percentile, per share",MATRIX,0.4393,340
anl4_fcfps_number,Free Cash Flow per Share - number of estimations,MATRIX,0.4393,6293
anl4_ffo_flag,Funds from Operation - forecast type (revision/new/...),MATRIX,1.0,6661
anl4_flag_erbfintax,Earnings before interest and taxes - forecast type (revision/new/...),MATRIX,0.8184,15588
anl4_fs_actual_1qf_v4_nd_bvps_value,Announced book value per share,MATRIX,0.5107,26
anl4_fs_actual_1qf_v4_nd_capex_value,Announced value of capital expenditures,MATRIX,0.6419,183
anl4_fs_actual_1qf_v4_nd_cff_value,Announced value of cash flow from financing,MATRIX,0.4655,13
anl4_fs_actual_1qf_v4_nd_cfi_value,Cash Flow From Investing - announced financial value,MATRIX,0.4731,9
anl4_fs_actual_1qf_v4_nd_cfo_value,Announced cash flow from operations,MATRIX,0.5657,135
anl4_fs_actual_1qf_v4_nd_ebit_value,Announced value of earnings before interest and taxes (EBIT),MATRIX,0.9235,416
anl4_fs_actual_1qf_v4_nd_ebitda_value,"Announced earnings before interest, taxes, depreciation, and amortization",MATRIX,0.7919,132
anl4_fs_actual_1qf_v4_nd_epsr_value,GAAP Earnings per share - announced financial value,MATRIX,0.9644,50
anl4_fs_actual_1qf_v4_nd_fcf_value,Announced value of free cash flow,MATRIX,0.515,199
anl4_fs_actual_1qf_v4_nd_fcfps_value,Free cash flow per share - announced financial value,MATRIX,0.3422,12
anl4_fs_actual_1qf_v4_nd_grossincome_value,Announced value of gross income,MATRIX,0.6772,99
anl4_fs_actual_1qf_v4_nd_netdebt_value,Announced value of net debt,MATRIX,0.3781,129
anl4_fs_actual_1qf_v4_nd_netprofit_value,Announced net profit,MATRIX,0.9851,93
anl4_fs_actual_1qf_v4_nd_netprofita_value,Announced value of adjusted net income,MATRIX,0.9068,336
anl4_fs_actual_1qf_v4_nd_ptp_value,Announced value of pretax income,MATRIX,0.9184,476
anl4_fs_actual_1qf_v4_nd_ptpr_value,Announced value of reported pretax income,MATRIX,0.409,49
anl4_fs_actual_1qf_v4_nd_rd_exp_value,Announced value of research and development expense,MATRIX,0.3697,14
anl4_fs_actual_1qf_v4_nd_sga_value,"Actual value for selling, general and administrative expense",MATRIX,0.6001,55
anl4_fs_actual_1qf_v4_nd_sh_equity_value,Announced value of shareholders' equity,MATRIX,0.6769,26
anl4_fs_actual_1qf_v4_nd_totassets_value,Actual value for total assets,MATRIX,0.6316,42
anl4_fs_actual_1qf_v4_nd_totgw_value,Announced financial value for total goodwill,MATRIX,0.3663,8
anl4_fs_actual_af_v4_nd_actual,Reported actual value for the financial item,VECTOR,0.8958,8
anl4_fs_actual_af_v4_nd_currency,Home currency of the instrument in which the actual value is reported,VECTOR,0.9618,26
anl4_fs_actual_basic_af_v4_nd_actual,Reported actual value of the financial item for the annual period,VECTOR,0.891,8
anl4_fs_actual_basic_qf_v4_nd_actual,Reported actual value for the item,VECTOR,0.9711,15
anl4_fs_actual_qf_v4_nd_actual,Reported actual value for the specified item,VECTOR,0.9665,9
anl4_fs_actuals_advanced_af_nd_bvps_value,Book value per share actual value,MATRIX,0.7285,29
anl4_fs_actuals_advanced_af_nd_capex_value,Capital expenditures total value,MATRIX,0.7327,8
anl4_fs_actuals_advanced_af_nd_cff_value,Cash flow from financing value,MATRIX,0.6263,12
anl4_fs_actuals_advanced_af_nd_cfi_value,Cash flow from investing value,MATRIX,0.6311,25
anl4_fs_actuals_advanced_af_nd_cfo_value,Cash flow from operations value for the annual period,MATRIX,0.695,30
anl4_fs_actuals_advanced_af_nd_currency,Pricing currency in which the security trades,MATRIX,1.0,1008
anl4_fs_actuals_advanced_af_nd_ebit_value,Earnings before interest and taxes (EBIT) actual value,MATRIX,0.9031,144
anl4_fs_actuals_advanced_af_nd_ebitda_value,EBITDA actual value for the annual period,MATRIX,0.8036,32
anl4_fs_actuals_advanced_af_nd_epsr_value,Reported earnings per share actual value,MATRIX,0.9319,59
anl4_fs_actuals_advanced_af_nd_fcf_value,Free cash flow actual value for the annual period,MATRIX,0.6644,36
anl4_fs_actuals_advanced_af_nd_fcfps_value,Free cash flow per share actual value for the annual period,MATRIX,0.4784,178
anl4_fs_actuals_advanced_af_nd_grossincome_value,Gross income actual value on an annual basis,MATRIX,0.6863,9
anl4_fs_actuals_advanced_af_nd_netdebt_value,Net debt actual value for the annual period,MATRIX,0.667,105
anl4_fs_actuals_advanced_af_nd_netprofit_value,Net profit announced financial value for annual data,MATRIX,0.9473,167
anl4_fs_actuals_advanced_af_nd_netprofita_value,Adjusted net income announced actual value for annual frequency,MATRIX,0.8895,173
anl4_fs_actuals_advanced_af_nd_ptp_value,Pretax profit actual value for the annual period,MATRIX,0.9159,103
anl4_fs_actuals_advanced_af_nd_ptpr_value,Reported pretax income (PTPR) actual value for the annual fiscal period,MATRIX,0.5438,14
anl4_fs_actuals_advanced_af_nd_rd_exp_value,Research and Development expense actual value for the annual period,MATRIX,0.3667,8
anl4_fs_actuals_advanced_af_nd_sga_value,"Selling, General and Administrative expense actual value",MATRIX,0.618,12
anl4_fs_actuals_advanced_af_nd_sh_equity_value,Shareholders' equity total actual value,MATRIX,0.8247,21
anl4_fs_actuals_advanced_af_nd_totassets_value,Total assets actual value,MATRIX,0.7825,23
anl4_fs_actuals_advanced_af_nd_totgw_value,Total goodwill value,MATRIX,0.5147,8
anl4_fs_actuals_advanced_qf_nd_bvps_value,"Book value per share, actual value",MATRIX,0.5107,17
anl4_fs_actuals_advanced_qf_nd_capex_value,"Total capital expenditures from cash flow/investing, in millions",MATRIX,0.6419,110
anl4_fs_actuals_advanced_qf_nd_cff_value,Cash flow from financing value,MATRIX,0.4655,14
anl4_fs_actuals_advanced_qf_nd_cfi_value,Cash flow from investing value,MATRIX,0.4731,9
anl4_fs_actuals_advanced_qf_nd_cfo_value,Cash flow from operations value,MATRIX,0.5657,82
anl4_fs_actuals_advanced_qf_nd_ebit_value,Earnings before interest and taxes actual value for the quarter,MATRIX,0.9235,199
anl4_fs_actuals_advanced_qf_nd_ebitda_value,Actual EBITDA for the quarter,MATRIX,0.7919,149
anl4_fs_actuals_advanced_qf_nd_eps_nongaap_value,Non-GAAP earnings per share actual value,MATRIX,0.7769,48
anl4_fs_actuals_advanced_qf_nd_epsr_value,"Reported earnings per share, actual value",MATRIX,0.9642,35
anl4_fs_actuals_advanced_qf_nd_fcf_value,Actual free cash flow for the quarter,MATRIX,0.5149,205
anl4_fs_actuals_advanced_qf_nd_fcfps_value,Free cash flow per share announced financial value,MATRIX,0.3422,6
anl4_fs_actuals_advanced_qf_nd_grossincome_value,Gross income actual value for the quarter,MATRIX,0.6772,65
anl4_fs_actuals_advanced_qf_nd_netdebt_value,Net debt value for the quarter,MATRIX,0.3781,133
anl4_fs_actuals_advanced_qf_nd_netprofit_value,"Net profit, actual value for the quarter",MATRIX,0.985,30
anl4_fs_actuals_advanced_qf_nd_netprofita_value,Adjusted net income announced financial value,MATRIX,0.9068,212
anl4_fs_actuals_advanced_qf_nd_ptp_value,Pretax profit actual value for the quarter,MATRIX,0.9184,433
anl4_fs_actuals_advanced_qf_nd_ptpr_value,Actual reported pretax income for the quarter,MATRIX,0.4089,49
anl4_fs_actuals_advanced_qf_nd_rd_exp_value,Research and development expense (income statement) value in millions,MATRIX,0.3697,9
anl4_fs_actuals_advanced_qf_nd_sga_value,"Selling, general and administrative expense value",MATRIX,0.6001,94
anl4_fs_actuals_advanced_qf_nd_sh_equity_value,"Total shareholders' equity, actual value",MATRIX,0.6769,8
anl4_fs_actuals_advanced_qf_nd_totassets_value,Actual total assets for the quarter,MATRIX,0.6316,28
anl4_fs_actuals_advanced_qf_nd_totgw_value,Actual total goodwill value in millions,MATRIX,0.3662,3
anl4_fs_actuals_basic_af_nd_cfps_value,Cash Flow Per Share actual value for the annual period,MATRIX,0.5994,33
anl4_fs_actuals_basic_af_nd_div_value,Dividend actual value for the annual period,MATRIX,0.7381,129
anl4_fs_actuals_basic_af_nd_eps_value,Earnings Per Share actual value for the annual period,MATRIX,0.9695,127
anl4_fs_actuals_basic_af_nd_sales_value,Sales/Revenue actual value for the annual period,MATRIX,0.9683,16
anl4_fs_actuals_basic_qf_nd_cfps_value,Actual cash flow per share for the quarter,MATRIX,0.4562,11
anl4_fs_actuals_basic_qf_nd_div_value,Dividend per share - announced financial value,MATRIX,0.596,6
anl4_fs_actuals_basic_qf_nd_eps_value,Actual earnings per share for the quarter,MATRIX,0.9868,170
anl4_fs_actuals_basic_qf_nd_sales_value,"Actual sales/revenue for the quarter, expressed in millions of the stated currency",MATRIX,0.9858,41
anl4_fs_basic_splt_v4_nd_div_estimate,Analyst’s estimated dividend per share for the specified fiscal period,VECTOR,0.4541,2
anl4_fs_basic_splt_v4_nd_div_previosestimate,Previous dividend per share estimate value prior to the latest revision,VECTOR,0.4472,2
anl4_fs_basic_splt_v4_nd_eps_estimate,Analyst’s estimated earnings per share for the specified fiscal period,VECTOR,0.9682,18
anl4_fs_basic_splt_v4_nd_eps_previosestimate,Previous earnings per share estimate value prior to the latest revision,VECTOR,0.9627,18
anl4_fs_basic_splt_v4_nd_sales_estimate,Analyst’s estimated sales/revenue for the specified fiscal period,VECTOR,0.967,16
anl4_fs_basic_splt_v4_nd_sales_previosestimate,Previous sales estimate value prior to the latest revision,VECTOR,0.9609,9
anl4_fs_detail_estimate_1qf_v4_nd_bvps_high,Book Value Per Share High Estimate,MATRIX,0.4056,33
