id,description,type,coverage,userCount,alphaCount
pv13_hierarchy_min5_f3g2_sector,grouping fields,GROUP,1.0,75,93
pv13_hierarchy_min5_sector,grouping fields,GROUP,0.7196,47,53
pv13_hierarchy_sector,grouping fields,GROUP,1.0,139,198
pv13_hierarchys32_513_sector,grouping fields,GROUP,0.9933,34,37
pv13_hierarchys32_sector,grouping fields,GROUP,1.0,102,120
pv13_new_1l_scibr,grouping fields,GROUP,0.9896,914,1556
pv13_new_2l_scibr,grouping fields,GROUP,0.9896,116,141
pv13_new_3l_scibr,grouping fields,GROUP,0.9896,94,111
pv13_new_4l_scibr,grouping fields,GROUP,0.9896,119,158
pv13_new_5l_scibr,grouping fields,GROUP,0.9896,134,177
pv13_new_6l_scibr,grouping fields,GROUP,0.9896,143,244
pv13_ompetitorgraphrank_hub_rank,the HITS hub score of competitors,MATRIX,0.9051,1312,2129
pv13_r2_liquid_min10_sector,grouping fields,GROUP,0.1833,309,688
pv13_r2_liquid_min2_sector,grouping fields,GROUP,0.1833,95,123
pv13_r2_liquid_min5_sector,grouping fields,GROUP,0.1833,128,188
pv13_r2_min10_1000_sector,grouping fields,GROUP,0.3674,123,270
pv13_r2_min10_3000_sector,grouping fields,GROUP,1.0,225,685
pv13_r2_min20_1000_sector,grouping fields,GROUP,0.3674,125,294
pv13_r2_min20_3000_sector,grouping fields,GROUP,1.0,3178,12537
pv13_r2_min2_1000_sector,grouping fields,GROUP,0.3674,104,242
pv13_r2_min2_3000_sector,grouping fields,GROUP,1.0,3952,20649
pv13_r2_min5_1000_sector,grouping fields,GROUP,0.3674,97,228
pv13_r2_min5_3000_sector,grouping fields,GROUP,1.0,250,884
pv13_rcsed_6l,grouping fields,GROUP,1.0,3,3
pv13_revere_city,City code,MATRIX,0.9382,1053,1930
pv13_revere_company_total,Total number of companies in the sector,MATRIX,0.3508,639,797
pv13_revere_comproduct_company,Company product,MATRIX,0.4078,67,79
pv13_revere_country,Country code,MATRIX,0.9573,897,1631
pv13_revere_index_cap,Company market capitalization,MATRIX,0.8495,1273,2147
pv13_revere_index_value,Value of specified index for the date,MATRIX,0.8603,503,653
pv13_revere_key_sector_total,Number of key focus sectors for the company,MATRIX,0.9334,2720,4800
pv13_revere_level,Level of the sector within the hierarchy,MATRIX,0.6205,525,764
pv13_revere_parent,Code of parent sector,MATRIX,0.6205,447,571
pv13_revere_term,"Indicates when a sector is the terminal sector (i.e., no sub-sectors)",MATRIX,0.4115,212,344
pv13_revere_term_sector_total,Number of terminal sectors for the company,MATRIX,0.9334,1385,3528
pv13_revere_zipcode,Zip code,MATRIX,0.9328,590,1381
pv13_reveremap,Mapping data,MATRIX,0.9924,1872,4436
pv13_rha2_min10_1000_513_sector,grouping fields,GROUP,0.3539,11,11
pv13_rha2_min10_3000_513_sector,grouping fields,GROUP,0.9933,64,71
pv13_rha2_min10_513_sector,grouping fields,GROUP,0.6959,18,21
pv13_rha2_min10_sector,grouping fields,GROUP,0.722,68,80
pv13_rha2_min20_3000_513_sector,grouping fields,GROUP,0.9933,50,60
pv13_rha2_min20_513_sector,grouping fields,GROUP,0.6959,33,37
pv13_rha2_min20_sector,grouping fields,GROUP,0.722,83,92
pv13_rha2_min2_1000_513_sector,grouping fields,GROUP,0.3539,23,25
pv13_rha2_min2_3000_513_sector,grouping fields,GROUP,0.9933,46,52
pv13_rha2_min2_513_sector,grouping fields,GROUP,0.6959,19,19
pv13_rha2_min2_sector,grouping fields,GROUP,0.722,1000,1858
pv13_rha2_min30_3000_513_sector,grouping fields,GROUP,0.993,35,45
pv13_rha2_min40_3000_513_sector,grouping fields,GROUP,0.993,52,56
pv13_rha2_min5_1000_513_sector,grouping fields,GROUP,0.3539,17,18
pv13_rha2_min5_3000_513_sector,grouping fields,GROUP,0.9933,34,35
pv13_rha2_min5_513_sector,grouping fields,GROUP,0.6959,43,45
pv13_rha2_min5_sector,grouping fields,GROUP,0.722,1065,2058
pv13_ustomergraphrank_auth_rank,the HITS authority score of customers,MATRIX,0.7906,603,850
pv13_ustomergraphrank_hub_rank,the HITS hub score of customers,MATRIX,0.7906,850,1292
pv13_ustomergraphrank_page_rank,the PageRank of customers,MATRIX,0.7906,853,1266
rel_num_all,number of the companies whose product overlapped with the instrument,MATRIX,0.9939,2767,6417
rel_num_comp,number of the instrument's competitors,MATRIX,0.8902,1594,2784
rel_num_cust,number of the instrument's customers,MATRIX,0.5068,1186,2902
rel_num_part,number of the instrument's partners,MATRIX,0.7837,3123,8116
rel_ret_all,Averaged one-day return of the companies whose product overlapped with the instrument,MATRIX,0.9613,2664,4682
rel_ret_comp,Averaged one-day return of the competing companies,MATRIX,0.8228,3316,5810
rel_ret_cust,averaged one-day-return of the instrument's customers,MATRIX,0.4921,397,860
rel_ret_part,Averaged one-day return of the instrument's partners,MATRIX,0.7097,2519,5529
single_sector_pureplay_company_count,Number of companies exclusively operating in a single sector.,MATRIX,0.3508,45,58
