security_id,ticker,universe,effective_from,effective_to,knowledge_at_utc,source_revision,point_in_time_membership,selection_method
legacy-yahoo:USO,USO,portfolio_optimizer_1.0_current_etf_universe,,,2026-04-15T08:19:54.115905+00:00,legacy-import,false,current researched universe backfilled over history
legacy-yahoo:UUP,UUP,portfolio_optimizer_1.0_current_etf_universe,,,2026-04-15T08:19:54.115905+00:00,legacy-import,false,current researched universe backfilled over history
legacy-yahoo:VEA,VEA,portfolio_optimizer_1.0_current_etf_universe,,,2026-04-15T08:19:54.115905+00:00,legacy-import,false,current researched universe backfilled over history
legacy-yahoo:VNQ,VNQ,portfolio_optimizer_1.0_current_etf_universe,,,2026-04-15T08:19:54.115905+00:00,legacy-import,false,current researched universe backfilled over history
legacy-yahoo:VTV,VTV,portfolio_optimizer_1.0_current_etf_universe,,,2026-04-15T08:19:54.115905+00:00,legacy-import,false,current researched universe backfilled over history
legacy-yahoo:VUG,VUG,portfolio_optimizer_1.0_current_etf_universe,,,2026-04-15T08:19:54.115905+00:00,legacy-import,false,current researched universe backfilled over history
legacy-yahoo:VWO,VWO,portfolio_optimizer_1.0_current_etf_universe,,,2026-04-15T08:19:54.115905+00:00,legacy-import,false,current researched universe backfilled over history
legacy-yahoo:XLB,XLB,portfolio_optimizer_1.0_current_etf_universe,,,2026-04-15T08:19:54.115905+00:00,legacy-import,false,current researched universe backfilled over history
legacy-yahoo:XLE,XLE,portfolio_optimizer_1.0_current_etf_universe,,,2026-04-15T08:19:54.115905+00:00,legacy-import,false,current researched universe backfilled over history
legacy-yahoo:XLF,XLF,portfolio_optimizer_1.0_current_etf_universe,,,2026-04-15T08:19:54.115905+00:00,legacy-import,false,current researched universe backfilled over history
legacy-yahoo:XLI,XLI,portfolio_optimizer_1.0_current_etf_universe,,,2026-04-15T08:19:54.115905+00:00,legacy-import,false,current researched universe backfilled over history
legacy-yahoo:XLK,XLK,portfolio_optimizer_1.0_current_etf_universe,,,2026-04-15T08:19:54.115905+00:00,legacy-import,false,current researched universe backfilled over history
legacy-yahoo:XLP,XLP,portfolio_optimizer_1.0_current_etf_universe,,,2026-04-15T08:19:54.115905+00:00,legacy-import,false,current researched universe backfilled over history
legacy-yahoo:XLU,XLU,portfolio_optimizer_1.0_current_etf_universe,,,2026-04-15T08:19:54.115905+00:00,legacy-import,false,current researched universe backfilled over history
legacy-yahoo:XLV,XLV,portfolio_optimizer_1.0_current_etf_universe,,,2026-04-15T08:19:54.115905+00:00,legacy-import,false,current researched universe backfilled over history
legacy-yahoo:XLY,XLY,portfolio_optimizer_1.0_current_etf_universe,,,2026-04-15T08:19:54.115905+00:00,legacy-import,false,current researched universe backfilled over history
