candidate,recent_cagr,recent_sharpe,recent_drawdown,two_year_cagr,two_year_sharpe,two_year_drawdown,full_cagr,full_sharpe,full_drawdown,severe_200bps_recent_cagr,worst_delay_recent_cagr,worst_five_issuer_recent_cagr,rolling_26w_outperformance_share,raw_bootstrap_probability,familywise_bootstrap_probability,deflated_sharpe_probability,average_gross_exposure,maximum_gross_exposure,probability_of_backtest_overfitting,passes_historical_gates
vol35_cap1.75_8pct,2.2059950270173347,3.212619321979961,-0.15447005783210377,0.9696505338152321,2.029598062596056,-0.3215619851177757,0.5403117168438485,1.5306645966521748,-0.32258529511012024,1.6753464543526286,1.9057391643806234,1.9350139475820867,0.6011904761904762,0.8032,0.0,0.8063123859277528,1.6077310587623705,1.75,0.37142857142857144,False
fixed_1.50x_8pct,2.1710933406877695,3.1831068088070964,-0.16703689777995367,1.0174278903313998,2.180383919239941,-0.2774977342128868,0.5675300373331238,1.6731924733234609,-0.27749773421288637,1.6302166231517354,1.8401396438833881,1.872610918109424,0.7023809523809523,0.9924,0.8327999999999989,0.8846442387166894,1.5,1.5,0.37142857142857144,False
tier_2.00_1.25,2.165859373688544,3.207506220236365,-0.1394501023355641,0.9063824899932273,2.001943279966994,-0.30424230378284634,0.5105557842792228,1.5481550228100276,-0.30424230378284634,1.5805416029203179,1.7557107571176194,1.782782726911341,0.48214285714285715,0.5118,0.0,0.8156732900730558,1.3821243523316062,2.0,0.37142857142857144,False
vol35_cap1.75_12pct,2.141010737894896,3.1592812244319175,-0.1560178590529877,0.9249213980146862,1.966248282484311,-0.32834758934662434,0.5035235312910502,1.4532234472945635,-0.3374491496985027,1.6200368708281423,1.845093677487494,1.8743390209447783,0.48214285714285715,0.559,0.0,0.7674216866584608,1.6077310587623705,1.75,0.37142857142857144,False
fixed_1.50x_12pct,2.1095715849745558,3.13175048568967,-0.16901697009336458,0.9779571973519083,2.1235761018338364,-0.2825798668383831,0.5367242852503162,1.6055432259150135,-0.28380500857064117,1.5790110164216662,1.7849284432806791,1.816780014437172,0.48214285714285715,0.887,0.0,0.8592494988917172,1.5,1.5,0.37142857142857144,False
fixed_1.35x_8pct,1.8689582075057198,3.2059318413037308,-0.1505682137519605,0.9067414068769151,2.2056318380871,-0.2498798212534894,0.5167722652426503,1.7035286613139844,-0.2498798212534894,1.4227562941242518,1.596315644171772,1.6231859955800125,0.0,0.0,0.0,0.8948595734616329,1.3499999999999999,1.35,0.37142857142857144,False
fixed_1.35x_12pct,1.8298191345144041,3.165988034434622,-0.1519774354245247,0.8805295852546131,2.161447980104573,-0.2535684353909299,0.4958357701140972,1.65091206398121,-0.25356843539092977,1.3896000935207171,1.5608313668742761,1.5873412307706554,0.0,0.0,0.0,0.8766747169201495,1.3499999999999999,1.35,0.37142857142857144,False
tier_1.75_1.10,1.8001243012890593,3.2373105127779898,-0.12256235923504222,0.7929186423329697,2.0361846454803763,-0.2685962278066667,0.458078742473798,1.588282016045726,-0.2685962278066668,1.337424532123396,1.476676740202051,1.4982747362222728,0.3392857142857143,0.1276,0.0,0.8333211580069998,1.2145077720207254,1.75,0.37142857142857144,False
vol30_cap1.50_8pct,1.773163808437551,3.2467666329999108,-0.1326081402913447,0.8312075723410766,2.0766294329403556,-0.2771055246067221,0.47950555964686226,1.5848204881616998,-0.2771055246067221,1.373403313185709,1.5479249304993519,1.57002882963902,0.4523809523809524,0.1472,0.0,0.8306198177655655,1.3898982724254811,1.5,0.37142857142857144,False
vol30_cap1.50_12pct,1.7400873068951004,3.2105090891951957,-0.13365771906464374,0.8053561962445095,2.0307709597707677,-0.2819131658854491,0.4567161594952094,1.5267514934680573,-0.28313944614605646,1.3443558022779594,1.5162762011760802,1.5385425176145109,0.26785714285714285,0.0328,0.0,0.8042424681540027,1.3898982724254811,1.5,0.37142857142857144,False
kelly10_cap2.00,1.7295313829527799,2.668252380873267,-0.176046561231182,0.7848475917048383,2.0056099344510336,-0.1760465612311819,0.41962393040991675,1.4630658544501929,-0.176046561231182,1.1230742164587881,1.5036855432687966,1.5389218719422182,0.2976190476190476,0.1048,0.0,0.8351433743752226,1.200809282997203,2.0,0.37142857142857144,False
tier_1.50_1.00,1.5295141869660331,3.2750209123724683,-0.1111622509777278,0.7116618332447187,2.098492474887566,-0.2354719480640961,0.42003978029819344,1.649331201428971,-0.23547194806409621,1.1571639323660183,1.2733835111957048,1.2914552009454998,0.2619047619047619,0.0056,0.0,0.8603769059566995,1.0880829015544042,1.5,0.37142857142857144,False
