run_id,title,family,central_question,key_strategies_models,required_data,universe,horizon,primary_targets,baselines,constraints_removed,controls_retained,dependencies,difficulty_1_10,data_cost,duration_class,advancement_criteria,failure_conditions
R13,Options data foundation + vol forecasting,derivatives,Can we forecast realized vol and surface features well enough to trade?,HAR family; implied-realized gap; term/skew features; GEX-style dealer proxies,ORATS backfile,SPY/QQQ/IWM/TLT/GLD options,1d-2m,RV forecasts; VRP conditional sign,GARCH internal; unconditional VRP,proxy-pricing-only constraint,arbitrage-free surface checks,R00,6,~$100-200/mo,months,Conditional VRP timing beats unconditional short-vol,No conditioning edge found
R14,Defined-risk volatility risk premium,derivatives,Does regime-gated defined-risk short premium clear return hurdles?,put credit spreads; iron condors; VIX term carry; regime gating from Layer 2B,ORATS,index/ETF options,2w-2m,net premium capture; tail-adjusted expectancy,unconditional short strangle; buy-hold,options-as-overlay framing,defined-risk only; stress-window gates incl 2018/2020/2022/2025 analogs,R13,7,same,months,Net CAGR contribution +2pp at MaxDD contribution < 5pp,Tail episodes erase multi-year premium
R15,Recovery convexity with real chains,derivatives,Does the one surviving internal options idea hold on real data?,long calls/call spreads at PBI/recovery triggers; tail-hedge-enables-aggressive-core architecture,ORATS,SPY/QQQ,1-3m,convexity capture per episode; architecture-level CAGR,internal proxy result (0.958); tactical tilt control,tiny premium budgets,tilt-control comparison retained,R02 + R13,6,same,months,Options beat equivalent tilt by >0.03 Sharpe on real chains,Tilt equivalence confirmed (drop options leg)
R16,Dispersion feasibility note,derivatives,Is any dispersion expression viable at retail?,dirty dispersion (5-10 names); correlation swaps infeasibility documentation,ORATS single-name,top names vs SPX/SPY,1-3m,implied-realized correlation capture,institutional dispersion returns,n/a,execution-cost stress doubling,R13,8,same,weeks (feasibility),Positive after full spread costs (unlikely),Confirm infeasibility and close
R17,Overnight and daily effects,adjacent_alpha,Do overnight drift and daily seasonality survive costs?,close-to-open capture; overnight momentum; turn-of-month; intraday momentum (daily bars first),Polygon or QC bundled,liquid ETFs + large caps,overnight-5d,net capture after spread,buy-hold; random-timing nulls,weekly-only rebalance,realistic overnight spread/slippage model,R00 + G06 infra,6,~$130-200/mo,months,Net overnight capture > 2pp/yr after costs,Costs consume the effect
R18,Short-horizon swing systems,adjacent_alpha,Do 2-10d systematic swing entries add uncorrelated PnL?,gap reversal; post-shock reversion; volume-conditioned entries,intraday/daily bars,liquid US names,2-10d,expectancy per trade,random-entry nulls,weekly cadence,per-trade stops; regime filters,R17,7,same,months,Expectancy > 0 after costs across 3 regimes,Indistinguishable from noise
R19,Free alt-data screens (insider/congress/13F),alt_data,Do free EDGAR-derived signals add orthogonal alpha?,insider cluster buys; congress disclosures; 13F crowding,EDGAR (free),US equities,1-6m,event-study alphas; overlay IC,published insider literature,none,disclosure-lag honesty,R03,4,$0,weeks-months,Cluster-buy alpha t>2 with lag-honest entries,Signals priced by disclosure date
R20,LLM text signals with PIT discipline,frontier_ml,Do LLM-extracted text features beat priced-in nulls?,filing-change (Lazy Prices); call-tone; news sentiment; uncertainty extraction,EDGAR + transcript/news feeds,US equities,1d-3m,text-feature IC vs timestamp-shifted nulls,FinBERT/simple sentiment; no-text GBM,none,strict PIT timestamps; priced-in null (t+2 entry),R03,7,low-med,months,Text features add IC over price/fundamental GBM at t+2,All signal is same-day (untradeable)
R21,Crypto sleeve feasibility,adjacent_alpha,Do BTC/ETH trend+carry justify a small sleeve?,TSMOM on BTC/ETH; regulated basis capture,exchange APIs (free),BTC/ETH via regulated venues,1d-4w,sleeve net CAGR; correlation to book,buy-hold BTC; cash,crypto exclusion,5-10% max risk budget; venue risk assessment,R08,4,$0,weeks,Positive expectancy + diversification at acceptable venue risk,Regulatory/venue constraints bind
R22,Gradient boosting ranking engine,frontier_ml,Does GBM on rich features beat linear ranking (the GKX test at home)?,LightGBM/XGBoost cross-sectional ranker; feature library (150+); SHAP audit,Norgate + Sharadar,US equities,1-4w,rank IC; top-k net return,linear ridge ranker; single-factor sorts,ML-deferral governance,purged CV; embargo; DSR; trial registry,R03 + R06,6,existing,months,GBM IC > linear by 50%+ with OOS stability,No nonlinear lift (linear suffices)
R23,Targets and losses laboratory,frontier_ml,Which prediction target maximizes portfolio value per unit of overfit risk?,triple-barrier; rank targets; probability-of-beating-costs; quantile targets; meta-labeling,same,US equities,1-4w,decision value per target,raw-return target,exact-return-prediction assumption,identical model class across targets,R22,5,existing,weeks-months,A non-return target beats return target OOS,Target choice immaterial
R24,Temporal CNN benchmarks,frontier_ml,Do temporal convs add anything over GBM?,1D CNN; dilated causal CNN,same,same,same,same as R22,GBM from R22,none,same governance,R22,5,existing,weeks,Beats GBM OOS (unlikely),Confirms GBM ceiling (valuable negative)
R25,Recurrent and state-space sequence models,frontier_ml,Is there sequence memory GBM features miss?,LSTM/GRU; S4/Mamba,same,daily sequences,1-4w,same,GBM + CNN,none,same,R24,6,GPU cloud ~$100s,weeks-months,OOS lift over GBM survives seeds,Noise-level differences
R26,Transformer and cross-asset attention,frontier_ml,Does attention over assets/time beat tabular ML?,PatchTST/iTransformer; cross-asset attention ranker,same,same,same,same as R22,GBM; internal mlx attention notes,none,same,R25,7,GPU cloud,months,Same as R25,Same
R27,Graph neural networks,frontier_ml,Do relational graphs (sector/supply-chain) add predictive value over strong baselines?,GAT/temporal GNN on correlation+link graphs,same + link data,same,same,same as R22,GBM with graph-derived features (strong baseline),none,baseline-strength discipline per Q14,R26,8,GPU cloud,months,GNN > GBM-with-graph-features,Graph info captured by simple features
R28,Self-supervised representations and embeddings,frontier_ml,Do learned embeddings improve analog retrieval and regime detection?,autoencoders; contrastive market-state embeddings; conditional autoencoder factors,same,same,various,same as R22,kNN on hand features (internal M2),none,same,R25,7,GPU cloud,months,Embedding retrieval beats hand-feature kNN,Matches hand features (internal precedent)
R29,Time-series foundation models honest benchmark,frontier_ml,Do pretrained TSFMs add anything on financial returns?,TimesFM/Chronos zero-shot + fine-tuned,same,same,1d-1m,DM tests vs scratch baselines,GBM; naive; scratch PatchTST,none,per-2025-literature skepticism encoded,R26,6,API/GPU,weeks,Rejects null vs scratch models (evidence says rarely),Parity confirmed (close branch)
R30,Historical analog retrieval v2,frontier_ml,Does retrieval win once features include breadth/macro/options?,kNN/vector-db retrieval on enriched state space,all prior data,market states,4w,offense-budget decision value,internal M2 (matched R2A); R2A composite,feature ceiling,same nulls as moonshot,R01+R09+R13,5,existing,weeks-months,Beats hand-built composite on enriched features,Ceiling persists
R31,Decision-focused end-to-end allocation,frontier_ml,Does training through the portfolio objective beat predict-then-optimize?,SPO+/cvxpylayers; Sharpe/log-growth losses; turnover-aware losses,same,US equities top-k,1-4w,realized portfolio metrics,two-stage GBM+optimizer,none,turnover-inflation check per Q25,R22,8,GPU,months,E2E beats two-stage net of turnover,Turnover inflation eats gains
R32,Execution RL (bounded scope),frontier_ml,Can RL improve order scheduling vs TWAP/VWAP rules?,offline RL on fill data; contextual bandits,live paper-trade fills,own orders,intraday,implementation shortfall,TWAP/limit-ladder rules,none,simulator-gap honesty; no portfolio RL,R46,8,GPU,months,Shortfall reduction > 20% vs rules,Simulator gap dominates
R33,Generative stress engine,risk,Can synthetic scenarios harden strategies without fooling us?,TimeGAN/diffusion for stress paths; regime-conditional scenario gen,all,portfolio level,n/a,stress coverage metrics,historical stress windows,none,no-alpha-training rule,R44,7,GPU,months,Strategies stress-tested against generated 2008/2020 variants,Generator memorizes history
R34,Automated discovery with guardrails,frontier_ml,Can agentic/evolutionary search find signals without overfit factory?,LLM hypothesis agents; GP feature synthesis; MDL complexity penalties; FDR control,all,US equities,various,novel validated signals,human-designed feature library,none,trial registry counts EVERY variant; DSR on family,R22,8,LLM+compute,months,Novel signal survives full governance,Factory produces only mirages
R35,Control-theoretic rebalancing,math_transfer,Does MPC multi-period rebalancing beat myopic weekly?,MPC with cost/forecast-decay model,existing,sleeve level,multi-week,net-of-cost compounding,myopic HRP rebalance,none,same,R44,6,existing,weeks-months,Turnover down return flat or better,No advantage at weekly scale
R36,Spectral and signal-processing features,math_transfer,Do wavelet/spectral features beat standard momentum features?,wavelets; EMD (leak-guarded); spectral regime features,daily data,futures + equities,various,feature IC in GBM,standard feature library,none,boundary-leak audits,R22,6,existing,weeks,Incremental IC in GBM ablation,Redundant with standard features
R37,Information-theoretic lead-lag,math_transfer,Does transfer entropy find tradable daily lead-lag networks?,TE networks on daily sector/stock returns,daily panel,US equities/sectors,1-10d,lagged-responder returns,correlation lead-lag; internal P7 failure,weekly-horizon constraint,strict nulls; multiple-testing control,R07,7,existing,months,TE pairs beat correlation pairs OOS,No stable directed links
R38,"Geometry, transport, signatures",math_transfer,Do OT regime distance / signature features / DRO add measurable value?,Wasserstein regime detection; path-signature features; DRO allocation,existing,various,various,component-wise value vs baselines,z-score regimes; hand features; MV allocation,none,negative-control framing for TDA,R22,7,existing,months,Any component beats its baseline OOS,All redundant (document and close)
R39,Network crowding measures,math_transfer,Does holdings/correlation network centrality beat ETF leadership as crowding gauge?,13F co-ownership graphs; centrality crowding scores,13F (free),US equities,1-3m,guardrail improvement value,Phase 4 leadership guard,ETF-level leadership only,aggressive-base testing (absorption lesson),R05,6,$0,months,Better crowding-conditional performance than leadership guard,No improvement on aggressive base
R40,Causal robustness screens,math_transfer,Do invariance/DML screens predict which signals survive OOS?,ICP; double-ML orthogonalization; regime-environment splits,existing,signal library,n/a,OOS survival prediction accuracy,raw IC screens,none,honest environment definitions,R22,7,existing,months,Invariant signals decay less (validates screen),No survival difference
R41,"Complex systems, agents, contagion",math_transfer,Do phase-transition/contagion indicators add crash-warning value?,Ising susceptibility; SIR contagion; agent-based stress narratives,breadth + sector data,market level,1-13w,crash-warning AUC vs VIX baselines,VIX/breadth stress measures,none,nulls; no-trade-until-validated,R02,7,existing,months,AUC gain over simple stress measures,Redundant with vol/breadth
R42,Position sizing laboratory,integration,What sizing rule maximizes growth at survivable drawdown?,fractional Kelly; vol targeting (down-only); conviction scaling; conformal-interval sizing,strategy returns from prior runs,all sleeves,n/a,log growth; MaxDD; time-under-water,equal-risk sizing,Sharpe-first sizing,drawdown kill-switches,any 3+ alpha runs complete,5,existing,weeks-months,Growth-optimal sizing beats naive at same MaxDD,Estimation error dominates Kelly
R43,Dynamic leverage program,integration,Where does modest leverage (1.0-1.5x) improve compound growth?,portfolio-margin equity leverage; futures notional scaling; options defined-risk leverage,broker margin data,best sleeve mix,n/a,levered log growth vs drawdown,unlevered mix,no-leverage,hard 1.5x cap initially; financing costs modeled,R42 + G08,6,financing spread,weeks-months,Levered growth > unlevered at MaxDD < 1.4x unlevered,Financing + decay erase gains
R44,Multi-strategy capital allocation,integration,How should capital flow across genuinely different engines?,risk-budgeted sleeve allocation; strategy momentum; correlation-aware ensembles; RMT-cleaned covariance,all sleeve returns,all engines,monthly,book-level net CAGR/Sharpe/MaxDD,static equal-risk,single-strategy assumption,drawdown-aware de-allocation rules,3+ engines live in paper,6,existing,months,Book Sharpe > best single engine,Engines too correlated (diversification illusory)
R45,Drawdown engineering (post-alpha),risk,How much tail risk can be removed at what return cost?,stops; regime de-risk; tail hedges (R15); CVaR budgets; optimal-stopping exits,book returns,book level,n/a,return give-up per MaxDD point saved,unprotected book,premature defensive re-imposition,protect-the-alpha rule: max 20% return give-up,R44,5,existing,months,MaxDD cut 30%+ for <20% CAGR give-up,Protection costs more than it saves
R46,Execution and cost engine,execution,What do our trades actually cost and how do we cut it?,measured spreads; limit-order policies; participation limits; fill studies,paper/live fills,all,n/a,realized cost vs modeled,10bps flat assumption,flat cost assumption,cost-doubling stress retained,paper trading live,5,existing,ongoing,Measured costs < modeled; models updated,Costs materially worse than modeled
R47,Paper trading and deployment gate,integration,Does the book survive contact with live data?,shadow deployment; degradation monitoring; drift alarms; kill-switch protocol,live feeds,final book,n/a,live-vs-backtest gap,backtest expectations,none,human authorization for any real capital,R44+R45+R46,4,broker,3-6 months minimum,Live tracking within CI of backtest for 13+ weeks,Degradation beyond declared bands
