canonical_name,category,phase_or_date,original_hypothesis,universe,horizon,model_or_method,oos_result,verdict,defensive_constraints_binding,retest_classification,offensive_retest_requirement,source_doc
structural_defense_W1,sleeve,Phase W,Orthogonal defensive basket (GLD/TLT/HYG/LQD/DBA/BIL),defensive ETFs,weekly,inverse-vol basket,Promoted historically,kept as sleeve,defense-first mandate,retest_as_sleeve,Keep only as capital-preservation core in Core+Offense architecture,2026-04-24_phase_w_sleeve_panel_revisit_report.md
allocator_family_sweep,portfolio_construction,Phase 2A + X/Z,"ERC, HERC, MVO, Black-Litterman, max-diversification, inverse-vol variants",sleeves,weekly,multiple optimizers,All lost to HRP,rejected (HRP won),Sharpe-first objective; long-only; no leverage,retest_with_better_targets,BL with regime-conditional views (per 2024 SJM-BL literature) never tried with dynamic views; Kelly-style objectives untried,project_journey.md secs 3/37/39
meta_allocator_trust_family,portfolio_construction,Phases Q-V,Bucket-trust / abstention / regret meta-allocators,sleeves,weekly,meta-allocators,Repeated holdout residual plateau; 3-sprint failure,rejected,allocator-level ML on tiny sample,no_retest_justified,Structurally exhausted on this universe; revisit only with cross-sectional breadth,2026-04-24_phase_s_targeted_trust_fix_report.md
holdings_blend_family,portfolio_construction,Phases U/V/AA,Blend candidate holdings with production,ETFs,weekly,holdings blending,Branch closed after 3 sprints,rejected,anchored to production,no_retest_justified,Architecture dead-end,2026-04-24_phase_v_final_holdings_blend_report.md
bucket_allocator_family,portfolio_construction,Phases RR/SS/TT,Explicit multi-bucket in-allocator architecture,sleeves,weekly,two-stage bucket allocation,No improvement vs HRP+overlay,rejected,defense budget hard-coded,no_retest_justified,Superseded by wrapper architecture,2026-04-27 phase reports
overlay_architecture_family,portfolio_construction,Phases UU-XX,Budget-preserving / budget-aware overlays,sleeves,weekly,overlay redesigns,Unified into simpler overlay,partially adopted,budget preservation = return cap,retest_after_removing_defensive_allocator,Re-derive overlay without budget-preservation constraint,2026-04-27 phase reports
adaptive_risk_contribution_allocator,portfolio_construction,Phase JJJ4,Adaptive risk-contribution weighting,sleeves,weekly,risk-contribution allocator,No gate pass,rejected,risk-first objective,no_retest_justified,Same family as ERC losses,2026-04-27_phase_jjj4 report
ml_decision_aware_ensemble,ml,ML Phases 1-2 (2026-04),Decision-aware uncertainty-aware sleeve ensemble,sleeves,weekly,GBM/logistic + decision layer,Failed Phase D gates,rejected,"~1000 weekly samples, allocator-level target",retest_with_broader_universe,Cross-sectional stock panel gives 500-2000x sample width; retest GBM ranking there,2026-04-23_ambitious_ml_phase_report.md
ml_trust_model,ml,ML Phase 3,Meta-model of sleeve trustworthiness,sleeves,weekly,trust model,Failed holdout,rejected,tiny sample,no_retest_justified,Duplicates Q-V lesson,project_journey.md sec 30
nnn_hard_ml_meta_layer,ml,Phase NNN,Hard-ML regime meta-layer,market-level,weekly,GBM meta-layer,Failed gates,rejected,sample size; regime target,retest_with_broader_universe,Only in cross-sectional setting,2026-04-27_phase_nnn report
ooo_signal_discovery_arc,ml,Phases OOO0-OOO6,ML-assisted feature discovery / cross-asset expansion / vol-managed sizing / triple-barrier,ETFs,weekly,feature mining + validation,OOO6 shadow only; never promoted,shadow only,ETF universe breadth,retest_with_broader_universe,Triple-barrier and vol-sizing are standard on stock panels; retest there,2026-04-27 OOO reports
ppp_latent_factor_discovery,ml,Phase PPP,Latent factor may define new sleeve,ETFs,weekly,PCA/latent factors,Null result,null,ETF collinearity (35 assets ~ 5 factors),retest_with_broader_universe,Latent factors need cross-sectional breadth; retest on equities,2026-04-27_phase_ppp report
qqq_feature_interaction_mining,ml,Phase QQQ,Deep feature interactions add signal,ETFs,weekly,interaction mining,Direction-setting only,direction set,sample size,retest_with_broader_universe,GBMs capture interactions natively on wide panels,2026-04-27_phase_qqq report
sss_regime_sequence_modeling,ml,Phases SSS-SSS3,Regime-sequence transitions predictable,market-level,weekly,sequence models,"SSS2 cleared 3 signals; SSS3 pass-through modest",partially validated,wrapper caps expression,retest_after_removing_defensive_allocator,Sequence signals into an uncapped allocator,2026-04-27 SSS reports
knn_analog_engine,ml,Moonshot1 M2 (2026-07),Historical analog retrieval prices offense budget,market-level,4w,kNN k=25 on 19 features,"Real signal (beats 50/50 nulls) but matches hand-built R2A (IC 0.090 vs 0.092); features exhausted",research-only negative,feature set ceiling; ETF universe,retest_with_better_data,Retest retrieval with PIT breadth + macro factors + options features,2026-07-07_moonshot1_discovery_sprint_report.md
kmeans_state_discovery,ml,Moonshot1 M3,Learned states beat hand-built 5-state engine,market-level,weekly,walk-forward k-means,69th pctile vs nulls = noise,drop,generic clustering on same features,no_retest_justified,Hand-built engine beats generic clustering on these features,2026-07-07_moonshot1_discovery_sprint_report.md
ml_lab_study_arc,ml,ml_lab (2026),"Rankers, cross-asset attention, DFL, RL, meta-labeling study notes",n/a,n/a,study only,Never implemented at portfolio level; governance deferred until architecture mature,deferred,defensive governance sequencing,retest_with_broader_universe,Implement learning-to-rank + meta-labeling on stock panel (Runs 5/22),ml_lab/phase_mlx_research_roadmap.md
r2a_state_quality_signal,signal,Frontier P1,Deployment-state quality scales offense,market-level,weekly,composite R2A score,Promoted at alpha=0.08; walk-forward selection prefers 0.24-0.40 (gates pass); cost gate binds at 0.48,promoted (under-sized),predeclared conservative amplitude; turnover cost gate,retest_after_removing_defensive_allocator,Confirm1 candidates A/B/C await human decision; full amplitude on offense base,2026-07-07_confirm1_alpha_pbi_report.md
trend_quality_engine,signal,Frontier P2,R2-weighted trend clarity,ETFs,weekly,trend R2 weighting,Complete; component value,kept,clipped composite,retest_with_broader_universe,Trend-quality ranks on stocks/futures,frontier_phase2_trend_quality_engine_report.md
smart_rerisk_engine,signal,Frontier P3/3B,Faster re-risking after stress,market-level,weekly,re-risk gates,Complete; gate revision needed,kept,re-risk speed still conservative,retest_after_removing_defensive_allocator,Re-risk to full offense not partial,frontier_phase3_smart_rerisk_engine_report.md
leadership_crowding_signal,signal,Frontier P4,Cross-sectional leadership as alpha,ETFs,weekly,leadership score,Failed as alpha (negative full IC); works as guardrail,partial promote (guardrail),n/a,retest_with_broader_universe,Leadership/crowding on single-stock breadth data,frontier_phase4_leadership_signals_report.md
decision_focused_labels,ml,Frontier P6,Decision labels beat return labels,market-level,weekly,label engineering + model,Complete; no promotion,research-only,wrapper cap,retest_with_broader_universe,DFL on stock panel with direct weight output,frontier_phase6_decision_model_report.md
crossasset_leadlag,signal,Frontier P7,Cross-asset lead-lag predicts ETF returns,cross-asset ETFs,weekly,lead-lag features,Negative result,rejected,weekly data too slow for lead-lag,retest_at_different_horizon,Lead-lag is a daily/intraday effect; retest at daily horizon on stocks,frontier_phase7_crossasset_leadlag_report.md
vix_term_structure_gate,overlay,Frontier-2 O1,VIX term stress/resolution gating,market-level,weekly,threshold gate,Sharpe -0.0014 bootstrap P=0.33,drop,n/a,no_retest_justified,Info already in regime engine,2026-07-06_frontier2 report
canary_cash_gate,overlay,Frontier-2 O2,DAA-style canary gating,ETFs,weekly,canary count gate,+0.0008 rounding error,research-only,regime engine already does this,no_retest_justified,Redundant,2026-07-06_frontier2 report
absorption_ratio_throttle,overlay,Frontier-2 O3,Kritzman absorption-ratio fragility throttle,market-level,weekly,PCA absorption ratio,Negative everywhere 0/18 configs,drop,double-counts stress in defensive portfolio,retest_after_removing_defensive_allocator,Might matter on an aggressive base where stress is not already hedged,2026-07-06_frontier2 report
vol_managed_offense,overlay,Frontier-2 O4,Moreira-Muir vol-managed offense scaling,market-level,weekly,inverse-vol scaling,+0.0059 full; down-leg all value up-leg all harm; down-only throttle passes 7/8 but post-hoc,research-only permanently (stop rule),up-leg loads into crashes,no_retest_justified,Closed per Frontier-2 stop rule; matches 2024 OOS literature critique,2026-07-06_frontier2 report
pbi_panic_but_improving,signal,Moonshot1 M1 + Confirm1,Improving-panic sub-state re-risks early,market-level,weekly,3-confirmation rule in deep-DD panic,"Real mechanism (91st pctile nulls, inverted control hurts); wrapper caps effect at +0.003 Sharpe; confirmed in Confirm1 combos",confirmed-for-human-review,15% offense base in panic caps expression,retest_after_removing_defensive_allocator,Native Layer-2B integration with uncapped panic offense = the key suppressed finding,2026-07-07_confirm1_alpha_pbi_report.md
episode_opportunity_map,diagnostic,Moonshot1,Mechanical episode segmentation quantifies gaps,market-level,weekly,segmentation,"Early-recovery = biggest repeating gap (SPY +73% ann. across 76 weeks, pin holds 53% BIL); calm bull gap PIT-bound",diagnostic,defense mandate,n/a,Foundation for offensive targeting,data/research/moonshot1_discovery/episode_opportunity_map.csv
r1_signal_decay_analysis,signal,Renaissance R1,Decay profiles of 25 existing signals,ETFs,multi,IC decay,Completed; informs horizon choice,adopted diagnostic,n/a,n/a,Reuse method on new universes,r1_signal_decay_report.md
r2_signal_validation_sweep,signal,Renaissance R2,"8 macro/cross-asset signals (yield curve, credit, NFCI, VIX TS, dollar, commodity, divergence, volume)",market-level,weekly,strict IC validation,Only dollar_strength passed strict gates; 7 rejected,mostly rejected,strict gates on weekly ETF returns,retest_at_different_horizon,Some families (credit/VIX) may work at daily horizon or as conditioners not predictors,r2_signal_validation_report.md
dollar_strength_signal,signal,Renaissance R2,Dollar strength predicts ETF returns,market-level,4-13w,z-scored dollar momentum,Only strict R2 pass; reused as confidence input,adopted (diagnostic),n/a,retest_with_broader_universe,Dollar as conditioner for international/commodity cross-section,dollar_strength_deep_dive_report.md
etf_pairs_cointegration,stat_arb,Renaissance R4,ETF pairs (HYG/LQD) mean reversion,ETF pairs,daily-weekly,cointegration + z-score,Diagnostic only; Track C pair sleeve later failed (-0.8% residual),rejected on ETFs,ETF pairs too efficient/correlated; long-only expression,retest_with_broader_universe,Proper stat arb needs 100s of single-stock pairs + shorting,etf_pairs_signal_report.md
breadth_macro_b_sprints,signal,B6-B8,ETF/sector breadth + state-gated macro signals,ETFs,weekly,breadth composites,B6 validated info; B7/B8 pass-through failed on wrong plumbing convention,mixed,deployment architecture bottleneck,retest_with_better_data,True PIT stock breadth (Norgate) is the validated unlock (+0.517%/4w diagnostic in calm_trend),b6_sprint_summary.md
sector_breadth_rotation,strategy,Phases 3-4B (2026-05),Sector ETF rotation with breadth timing,sector ETFs,weekly,breadth-confirmed rotation,Sector ETFs cannot distinguish calm-week quality; drag in calm_trend,rejected on ETF data,ETF-level breadth granularity,retest_with_better_data,Sector rotation with stock-level breadth + fundamentals,2026-05-07_phase_4b report
pit_stock_breadth_scaffold,data,Phase 5A,PIT stock breadth data pipeline,S&P500 constituents,weekly,data scaffold,Built; awaits Norgate purchase; 5A-Free diagnostic (biased) shows +0.517%/4w in calm_trend,ready (blocked on data),data cost ~$100-150/mo,retest_with_better_data,Purchase Norgate; the single highest-conviction data unlock,2026-05-07_phase_5a reports
market_state_classifier_rebuild,regime_engine,Phase 6 (2026-05),Rebuild state classifier for return unlock,market-level,weekly,classifier rebuild,Complete; retained,adopted,conservative thresholds,retest_after_removing_defensive_allocator,Recalibrate states for offense-first objective,2026-05-07_phase_6 report
allocator_objective_rewrite,portfolio_construction,Phase 7 (2026-05),Rewrite allocator objective for return,sleeves,weekly,objective redesign,7.88% stretch shadow (best aggressive); +0.74pp arc,shadow,vol/DD/turnover gates,retest_after_removing_defensive_allocator,This is the ceiling of constrained design; blueprint starts here,2026-05-07_phase_7 report
fredmd_macro_regime_v1_v3,regime_engine,2026-06 sprints,FRED macro factor quadrants split neutral_mixed,market-level,monthly->weekly,expanding PCA quadrants,Dev spread +1.41% real; holdout rank inversion; V3 experimental candidate; Steps 2/2B/2C overlays all research-only,research-only,monthly macro too slow for weekly overlay; sign instability,retest_with_better_data,"Full 128-series FRED-MD vintages, 2-month lag, nowcast growth/inflation; condition allocation not overlay",project_journey.md macro sections
track_a_production_hardening,governance,Track A,Canonical config/metrics/costs/reproduction,production,n/a,governance scripts,Complete; exact reproduction 2.1e-16,adopted,n/a,n/a,Port governance pattern to Atlas Offensive,track_a_production_hardening.md
track_b_aggressive_grid,strategy,Track B,Higher return via cash caps / offense boosts / static growth blends,35 ETFs long-only,weekly,12 predeclared variants,"Best 9.05% CAGR at -29.3% MaxDD (blend_50); return gains largely = SPY beta + less cash; no 9-10% at acceptable risk",research-only watchlist,long-only ETF beta is the only return lever available,retest_with_broader_universe,Proves the ceiling: more return inside this universe = more beta; alpha must come from breadth/shorting/other markets,track_b_higher_return_research_report.md
track_c_new_alpha_sleeves,strategy,Track C,"6 alpha sleeves: residual xsmom, vol-managed residual xsmom, carry/value, neutral reversal, HYG/LQD pair, canary breadth timing",35 ETFs long-only,weekly,predeclared sleeves,"Only canary_breadth_timing passed standalone sanity (+3.3% residual); no blend improved Track A; residual xsmom +0.4% residual, others negative",rejected on this universe,"long-only expression of relative signals, 35-asset breadth",retest_long_short,"Residual momentum/reversal are long/short cross-sectional strategies by construction; retest on 500+ stocks with shorting",track_c_new_alpha_research_report.md
options_convexity_v1,options,2026-06,Bull call spreads as bullish overlay,SPY/QQQ/IWM/TLT/GLD options,13w,BS proxy pricing,"Sharpe 0.948->0.577, MaxDD -11.6->-27.5%",REJECT,proxy option data; overlay framing,retest_with_better_data,Real chain data (ORATS/ThetaData) + options as primary engine not overlay,options_convexity_research_report.md
options_convexity_v2,options,2026-06,Options-specific entry engine (breakeven/IV/accel),same,60d,BS proxy + filters,Sharpe 0.830 vs 0.948; 11% hit rate,REJECT,same,retest_with_better_data,Same,options_convexity_v2_research_report.md
options_recovery_overlay,options,2026-06,Long calls only in defensive->risk-on recoveries,SPY/QQQ,60-120d,BS proxy,Sharpe 0.958 vs 0.948 but only +0.008 vs tactical ETF tilt,RESEARCH-ONLY,proxy data; tiny premium budget,retest_with_better_data,Recovery convexity is the one options idea that survived; needs real data + bigger budget,options_convexity_recovery_report.md
options_recovery_v3,options,2026-06,Refined recovery options with profit-taking,SPY/QQQ,60-90d,BS proxy,Fails gates vs tilt,REJECT,late-entry blocks 90% of trades,retest_with_better_data,Same as recovery overlay,options_convexity_recovery_v3_report.md
recovery_prediction_families,signal,2026-06,6 recovery-predictor families,ETFs,8w,IC + classifiers,"Best classifier Sharpe 0.986 vs 0.948 but random placebo 0.961; not robust",RESEARCH-ONLY,placebo-level effect,retest_with_broader_universe,Reversal families showed holdout IC 0.13-0.36 - strongest on stocks not ETFs,recovery_prediction_research_report.md
focused_reversal_recovery,signal,2026-06,Focused reversal/drawdown-recovery signals,ETFs,4-8w,IC + ridge/logistic,"Holdout IC up to 0.407 (composite); best candidate +0.042 Sharpe; placebo 0.954",RESEARCH-ONLY,long-only ETF expression,retest_long_short,Short-term reversal is a long/short single-stock strategy; strongest internal evidence for stat-arb direction,focused_reversal_recovery_report.md
external_research_2026_05_series,research_program,2026-05-07,Bottleneck audit + prioritized backlog,n/a,n/a,literature review,"Identified calm_trend/neutral_mixed bottlenecks, PIT breadth, macro classifier",adopted direction,n/a,n/a,Inputs consumed by this blueprint,2026-05-07_external_research_* docs
renaissance_pipeline,research_program,2026 R1-R4,Renaissance-lessons signal discovery pipeline,ETFs,weekly,signal factory,R1-R4 complete; R5-R8 never run,partially complete,ETF universe,retest_with_broader_universe,R5-R8 (signal combination/ensembling) map onto stock-panel runs,renaissance_inspired_research_pipeline.md
statistical_validation_layer,governance,pre-frontier,PSR/DSR proxy + purged CV + PBO governance,n/a,n/a,validation stack,Mandatory since frontier phases,adopted,n/a,n/a,Carry into Atlas Offensive as the validation floor,statistical_validation_layer.md
