model,class,financial_problem_fit,min_sample_guidance,overfit_risk,atlas_prior_use_and_verdict,offensive_fit,tier,proposed_run
decision_focused_spo_cvxpylayers,decision_aware,Train forecasts for decision quality not MSE,med,high,frontier P6 labels; ml_lab notes,End-to-end top-k allocation on stock panel; 2024-25 evidence supportive but turnover-inflation caveat,3,Run 31
conformal_prediction_uncertainty,decision_aware,Calibrated uncertainty for sizing,med,low-med,never,Position sizing from calibrated intervals,2,Run 23
bayesian_nn_evidential,decision_aware,Model uncertainty,large,high,never,Frontier only,4,Run 31
kelly_bayesian_sizing,decision_aware,Growth-optimal sizing under uncertainty,med,med,never,Fractional Kelly with posterior shrinkage,2,Run 43
control_mpc,math_transfer,Multi-period allocation with costs,med,med,never,MPC rebalancing with transaction costs (Boyd et al.),3,Run 35
signal_processing_wavelets_emd,math_transfer,Multi-scale trend decomposition,med,med-high,never,Multi-horizon trend features; mind boundary leakage,4,Run 36
transfer_entropy_information_flow,math_transfer,Directional information flow between assets,med,med-high,never,Lead-lag discovery on daily stock/sector data,4,Run 37
optimal_transport_wasserstein,math_transfer,Distribution distance; DRO; regime comparison,med,med,never,Distributionally robust portfolio + regime distance,4,Run 38
path_signatures_rough_paths,math_transfer,Path-dependent feature encoding,med,med-high,never,Signature features vs hand-built momentum/vol features; active 2024-25 finance lit,4,Run 38
tda_persistent_homology,math_transfer,Topological crash precursors,med,high,never,Negative-control candidate; weak finance evidence,5,Run 38
network_centrality_contagion,math_transfer,Systemic fragility from correlation networks,med,med,absorption ratio DROPPED (double-counted stress),Retest only on aggressive base,4,Run 39
koopman_dmd_dynamical,math_transfer,Linear representation of nonlinear dynamics,med,high,never,Regime-transition early warning; moonshot,5,Run 40
causal_discovery_dml,math_transfer,Cause vs correlation in signals; invariance across regimes,med,med,causal-lag discipline (informal),Invariant-prediction screens for signal robustness,3,Run 40
agent_based_market_ecology,math_transfer,Crowding/strategy interaction simulation,n/a,high,never,Stress narratives; not alpha,5,Run 41
evolutionary_search,math_transfer,Strategy space exploration,n/a,very high,never,Only with pre-registered fitness + holdout embargo + FDR,5,Run 34
