feature,group,source,lag_rule,missing_rate_before_fill,used_in_model
sleeve_cta_trend_long_only_vol_13w,layer2a_sleeve,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.0045045045045045045,True
sleeve_cta_trend_long_only_sharpe_proxy_13w,layer2a_sleeve,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.07027027027027027,True
sleeve_composite_selective_signals_ret_4w,layer2a_sleeve,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.0018018018018018018,True
sleeve_composite_selective_signals_vol_4w,layer2a_sleeve,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.0018018018018018018,True
sleeve_composite_selective_signals_sharpe_proxy_4w,layer2a_sleeve,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.006306306306306306,True
sleeve_composite_selective_signals_ret_13w,layer2a_sleeve,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.0045045045045045045,True
sleeve_composite_selective_signals_vol_13w,layer2a_sleeve,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.0045045045045045045,True
sleeve_composite_selective_signals_sharpe_proxy_13w,layer2a_sleeve,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.006306306306306306,True
sleeve_composite_regime_offense_component_ret_4w,layer2a_sleeve,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.0018018018018018018,True
sleeve_composite_regime_offense_component_vol_4w,layer2a_sleeve,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.0018018018018018018,True
sleeve_composite_regime_offense_component_sharpe_proxy_4w,layer2a_sleeve,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.008108108108108109,True
sleeve_composite_regime_offense_component_ret_13w,layer2a_sleeve,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.0045045045045045045,True
sleeve_composite_regime_offense_component_vol_13w,layer2a_sleeve,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.0045045045045045045,True
sleeve_composite_regime_offense_component_sharpe_proxy_13w,layer2a_sleeve,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.006306306306306306,True
sleeve_composite_regime_defense_component_ret_4w,layer2a_sleeve,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.0018018018018018018,True
sleeve_composite_regime_defense_component_vol_4w,layer2a_sleeve,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.0018018018018018018,True
sleeve_composite_regime_defense_component_sharpe_proxy_4w,layer2a_sleeve,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.006306306306306306,True
sleeve_composite_regime_defense_component_ret_13w,layer2a_sleeve,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.0045045045045045045,True
sleeve_composite_regime_defense_component_vol_13w,layer2a_sleeve,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.0045045045045045045,True
sleeve_composite_regime_defense_component_sharpe_proxy_13w,layer2a_sleeve,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.006306306306306306,True
sleeve_taa_10m_sma_ret_4w,layer2a_sleeve,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.0018018018018018018,True
sleeve_taa_10m_sma_vol_4w,layer2a_sleeve,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.0018018018018018018,True
sleeve_taa_10m_sma_sharpe_proxy_4w,layer2a_sleeve,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.021621621621621623,True
sleeve_taa_10m_sma_ret_13w,layer2a_sleeve,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.0045045045045045045,True
sleeve_taa_10m_sma_vol_13w,layer2a_sleeve,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.0045045045045045045,True
sleeve_taa_10m_sma_sharpe_proxy_13w,layer2a_sleeve,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.021621621621621623,True
sleeve_cash::BIL_ret_4w,layer2a_sleeve,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.11531531531531532,True
sleeve_cash::BIL_vol_4w,layer2a_sleeve,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.11531531531531532,True
sleeve_cash::BIL_sharpe_proxy_4w,layer2a_sleeve,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.14054054054054055,True
sleeve_cash::BIL_ret_13w,layer2a_sleeve,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.11801801801801802,True
sleeve_cash::BIL_vol_13w,layer2a_sleeve,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.11801801801801802,True
sleeve_cash::BIL_sharpe_proxy_13w,layer2a_sleeve,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.11801801801801802,True
asset_SPY_ret_4w,macro_proxy,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.002702702702702703,True
asset_SPY_vol_4w,macro_proxy,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.002702702702702703,True
asset_SPY_sharpe_proxy_4w,macro_proxy,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.002702702702702703,True
asset_SPY_ret_13w,macro_proxy,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.005405405405405406,True
asset_SPY_vol_13w,macro_proxy,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.005405405405405406,True
asset_SPY_sharpe_proxy_13w,macro_proxy,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.005405405405405406,True
asset_SPY_ret_26w,macro_proxy,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.011711711711711712,True
asset_SPY_vol_26w,macro_proxy,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.011711711711711712,True
asset_SPY_sharpe_proxy_26w,macro_proxy,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.011711711711711712,True
asset_QQQ_ret_4w,macro_proxy,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.002702702702702703,True
asset_QQQ_vol_4w,macro_proxy,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.002702702702702703,True
asset_QQQ_sharpe_proxy_4w,macro_proxy,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.002702702702702703,True
asset_QQQ_ret_13w,macro_proxy,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.005405405405405406,True
asset_QQQ_vol_13w,macro_proxy,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.005405405405405406,True
asset_QQQ_sharpe_proxy_13w,macro_proxy,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.005405405405405406,True
asset_QQQ_ret_26w,macro_proxy,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.011711711711711712,True
asset_QQQ_vol_26w,macro_proxy,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.011711711711711712,True
asset_QQQ_sharpe_proxy_26w,macro_proxy,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.011711711711711712,True
asset_IWM_ret_4w,macro_proxy,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.002702702702702703,True
asset_IWM_vol_4w,macro_proxy,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.002702702702702703,True
asset_IWM_sharpe_proxy_4w,macro_proxy,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.002702702702702703,True
asset_IWM_ret_13w,macro_proxy,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.005405405405405406,True
asset_IWM_vol_13w,macro_proxy,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.005405405405405406,True
asset_IWM_sharpe_proxy_13w,macro_proxy,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.005405405405405406,True
asset_IWM_ret_26w,macro_proxy,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.011711711711711712,True
asset_IWM_vol_26w,macro_proxy,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.011711711711711712,True
asset_IWM_sharpe_proxy_26w,macro_proxy,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.011711711711711712,True
asset_HYG_ret_4w,macro_proxy,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.109009009009009,True
asset_HYG_vol_4w,macro_proxy,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.109009009009009,True
asset_HYG_sharpe_proxy_4w,macro_proxy,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.109009009009009,True
asset_HYG_ret_13w,macro_proxy,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.11171171171171171,True
asset_HYG_vol_13w,macro_proxy,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.11171171171171171,True
asset_HYG_sharpe_proxy_13w,macro_proxy,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.11171171171171171,True
asset_HYG_ret_26w,macro_proxy,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.11801801801801802,True
asset_HYG_vol_26w,macro_proxy,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.11801801801801802,True
asset_HYG_sharpe_proxy_26w,macro_proxy,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.11801801801801802,True
asset_LQD_ret_4w,macro_proxy,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.002702702702702703,True
asset_LQD_vol_4w,macro_proxy,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.002702702702702703,True
asset_LQD_sharpe_proxy_4w,macro_proxy,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.002702702702702703,True
asset_LQD_ret_13w,macro_proxy,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.005405405405405406,True
asset_LQD_vol_13w,macro_proxy,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.005405405405405406,True
asset_LQD_sharpe_proxy_13w,macro_proxy,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.005405405405405406,True
asset_LQD_ret_26w,macro_proxy,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.011711711711711712,True
asset_LQD_vol_26w,macro_proxy,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.011711711711711712,True
asset_LQD_sharpe_proxy_26w,macro_proxy,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.011711711711711712,True
asset_TLT_ret_4w,macro_proxy,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.002702702702702703,True
asset_TLT_vol_4w,macro_proxy,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.002702702702702703,True
asset_TLT_sharpe_proxy_4w,macro_proxy,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.002702702702702703,True
asset_TLT_ret_13w,macro_proxy,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.005405405405405406,True
asset_TLT_vol_13w,macro_proxy,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.005405405405405406,True
asset_TLT_sharpe_proxy_13w,macro_proxy,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.005405405405405406,True
asset_TLT_ret_26w,macro_proxy,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.011711711711711712,True
asset_TLT_vol_26w,macro_proxy,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.011711711711711712,True
asset_TLT_sharpe_proxy_26w,macro_proxy,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.011711711711711712,True
asset_IEF_ret_4w,macro_proxy,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.002702702702702703,True
asset_IEF_vol_4w,macro_proxy,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.002702702702702703,True
asset_IEF_sharpe_proxy_4w,macro_proxy,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.002702702702702703,True
asset_IEF_ret_13w,macro_proxy,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.005405405405405406,True
asset_IEF_vol_13w,macro_proxy,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.005405405405405406,True
asset_IEF_sharpe_proxy_13w,macro_proxy,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.005405405405405406,True
asset_IEF_ret_26w,macro_proxy,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.011711711711711712,True
asset_IEF_vol_26w,macro_proxy,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.011711711711711712,True
asset_IEF_sharpe_proxy_26w,macro_proxy,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.011711711711711712,True
asset_GLD_ret_4w,macro_proxy,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.002702702702702703,True
asset_GLD_vol_4w,macro_proxy,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.002702702702702703,True
asset_GLD_sharpe_proxy_4w,macro_proxy,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.002702702702702703,True
asset_GLD_ret_13w,macro_proxy,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.005405405405405406,True
asset_GLD_vol_13w,macro_proxy,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.005405405405405406,True
asset_GLD_sharpe_proxy_13w,macro_proxy,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.005405405405405406,True
asset_GLD_ret_26w,macro_proxy,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.011711711711711712,True
asset_GLD_vol_26w,macro_proxy,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.011711711711711712,True
asset_GLD_sharpe_proxy_26w,macro_proxy,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.011711711711711712,True
asset_UUP_ret_4w,macro_proxy,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.1036036036036036,True
asset_UUP_vol_4w,macro_proxy,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.1036036036036036,True
asset_UUP_sharpe_proxy_4w,macro_proxy,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.1036036036036036,True
asset_UUP_ret_13w,macro_proxy,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.1063063063063063,True
asset_UUP_vol_13w,macro_proxy,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.1063063063063063,True
asset_UUP_sharpe_proxy_13w,macro_proxy,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.1063063063063063,True
asset_UUP_ret_26w,macro_proxy,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.11261261261261261,True
asset_UUP_vol_26w,macro_proxy,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.11261261261261261,True
asset_UUP_sharpe_proxy_26w,macro_proxy,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.11261261261261261,True
macro_hyg_minus_lqd_4w,macro_proxy,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.10990990990990991,True
macro_gld_minus_spy_4w,macro_proxy,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.0036036036036036037,True
macro_spy_realized_vol_4w,macro_proxy,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.0036036036036036037,True
macro_spy_drawdown_52w,macro_proxy,existing repo artifacts,computed from date-t observations then shifted by 1 week before modeling,0.02252252252252252,True
