target,model,feature,importance,abs_importance
target_ggg1_adverse_tail_4w,decision_tree_depth2,ggg1_SPY_weight,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,ggg1_cash_sleeve_weight,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,ggg1_defense_sleeve_weight,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,ggg1_drawdown_26w,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,ggg1_ret_13w,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,ggg1_ret_26w,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,ggg1_sharpe_proxy_13w,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,ggg1_sharpe_proxy_26w,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,ggg1_sharpe_proxy_4w,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,ggg1_turnover,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,macro_gld_minus_spy_4w,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,macro_spy_realized_vol_4w,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,phase2b_p_regime_confidence,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,phase2b_p_tail_risk,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,phase2b_p_transition_quality,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,regime_avg_corr_risk_off_z,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,regime_breadth_13w_mom,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,regime_breadth_26w_mom,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,regime_breadth_change_4w,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,regime_canary_breadth_default,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,regime_canary_breadth_pair,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,regime_google_fear_z_tradable,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,regime_market_drawdown,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,regime_market_trend_positive,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,regime_recent_stress_26w,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,regime_risk_regime_score,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,regime_transition_good_state_prob,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,regime_transition_non_stress_prob,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,regime_transition_persistence_prob,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,sleeve_cash::BIL_ret_13w,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,sleeve_cash::BIL_ret_4w,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,sleeve_cash::BIL_sharpe_proxy_13w,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,sleeve_cash::BIL_sharpe_proxy_4w,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,sleeve_cash::BIL_vol_13w,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,sleeve_cash::BIL_vol_4w,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,sleeve_composite_regime_defense_component_ret_4w,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,sleeve_composite_regime_defense_component_sharpe_proxy_4w,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,sleeve_composite_regime_defense_component_vol_13w,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,sleeve_composite_regime_defense_component_vol_4w,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,sleeve_composite_regime_offense_component_ret_13w,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,sleeve_composite_regime_offense_component_ret_4w,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,sleeve_composite_regime_offense_component_sharpe_proxy_13w,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,sleeve_composite_regime_offense_component_sharpe_proxy_4w,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,sleeve_composite_regime_offense_component_vol_4w,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,sleeve_composite_selective_signals_ret_13w,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,sleeve_composite_selective_signals_ret_4w,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,sleeve_composite_selective_signals_sharpe_proxy_13w,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,sleeve_composite_selective_signals_sharpe_proxy_4w,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,sleeve_composite_selective_signals_vol_13w,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,sleeve_composite_selective_signals_vol_4w,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,sleeve_cta_trend_long_only_ret_13w,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,sleeve_cta_trend_long_only_ret_4w,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,sleeve_cta_trend_long_only_sharpe_proxy_13w,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,sleeve_cta_trend_long_only_sharpe_proxy_4w,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,sleeve_cta_trend_long_only_vol_13w,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,sleeve_dual_momentum_topn_ret_13w,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,sleeve_dual_momentum_topn_ret_4w,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,sleeve_dual_momentum_topn_sharpe_proxy_13w,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,sleeve_dual_momentum_topn_sharpe_proxy_4w,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,sleeve_taa_10m_sma_ret_13w,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,sleeve_taa_10m_sma_ret_4w,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,sleeve_taa_10m_sma_sharpe_proxy_13w,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,sleeve_taa_10m_sma_sharpe_proxy_4w,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,sleeve_taa_10m_sma_vol_13w,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,sleeve_taa_10m_sma_vol_4w,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,sleeve_weight_cash::BIL,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,sleeve_weight_composite_regime_defense_component,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,sleeve_weight_composite_regime_offense_component,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,sleeve_weight_composite_selective_signals,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,sleeve_weight_cta_trend_long_only,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,sleeve_weight_dual_momentum_topn,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,state_calm_trend,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,state_neutral_mixed,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,state_recovery_confirmed,0.0,0.0
target_ggg1_adverse_tail_4w,decision_tree_depth2,state_recovery_fragile,0.0,0.0
