cik10,company_name_as_filed,sector,last_eligible_accession,last_eligible_available_at,recovered_symbols,recovery_status,primary_document,source_sha256,legacy_symbols,legacy_status,instance_document,instance_sha256
0000778438,BERRY PETROLEUM CO,energy,0000778438-13-000026,2013-10-25 00:00:00+00:00,,no_explicit_symbol_tag,a09302013form10-q.htm,69a453eb4f527d86cc99f235c310a470b07cbaef5d2d1070d3041865265bcb4b,,instance_has_no_explicit_symbol,,
0000785968,"MILLER ENERGY RESOURCES, INC.",energy,0000785968-15-000012,2015-03-13 00:00:00+00:00,,no_explicit_symbol_tag,a2015millq310q.htm,534a6f7b4f860b603a7886b37fac5a319b93da775e8b8f4bb0ae72bb60908f5b,,instance_has_no_explicit_symbol,,
0000798949,UNIT CORP,energy,0000798949-21-000003,2021-01-29 00:00:00+00:00,,no_explicit_symbol_tag,unt-20200930.htm,296b35a1c67a7acc9f35b2f181153b2364d15b33ff1be718b045853035de8962,,instance_has_no_explicit_symbol,,
0000799235,ERHC ENERGY INC,energy,0001140361-13-005405,2013-02-09 00:00:00+00:00,,no_explicit_symbol_tag,form10q.htm,712e143a9c8e1327f8ef45c10147ba39330c6cecb88e2b735ef747b869769578,,instance_has_no_explicit_symbol,,
0000813779,CRIMSON EXPLORATION INC.,energy,0000813779-13-000021,2013-08-09 00:00:00+00:00,,no_explicit_symbol_tag,form10q.htm,70e8c6ab72c3518e2134d3ac8a688ef19cfea7c6c8416b2ea015d68b3bba06aa,,instance_has_no_explicit_symbol,,
0000837173,"WALTER ENERGY, INC.",energy,0000837173-15-000055,2015-11-06 00:00:00+00:00,,no_explicit_symbol_tag,a2015-q3x9302015x10q.htm,291206a23913ff72579026cb34d0708025b9021c01896fd697fd6eb0b647984d,,instance_has_no_explicit_symbol,,
0000845289,"HARVEST NATURAL RESOURCES, INC.",energy,0000845289-16-000037,2016-08-10 00:00:00+00:00,,no_explicit_symbol_tag,c289-20160630x10q.htm,187052932776e0028ea89b09484372430d0d23a68163ae1bc6734ad85eee0576,,instance_has_no_explicit_symbol,,
0000872248,PETROQUEST ENERGY INC,energy,0000872248-17-000031,2017-05-05 00:00:00+00:00,,no_explicit_symbol_tag,pq3311710q.htm,32caebd992601e7d0c07ba33249f9e405f33eed3352ed7c791eddcab31ce9c0a,,instance_has_no_explicit_symbol,,
0000880115,CLAYTON WILLIAMS ENERGY INC /DE,energy,0000880115-17-000006,2017-03-03 00:00:00+00:00,,no_explicit_symbol_tag,cwei-123116x10xk.htm,72765b1bc0ce78d3ffc316a9403e3e4b71374dbc615d5ccf52bfa036fe169a28,,instance_has_no_explicit_symbol,,
0000892986,WARREN RESOURCES INC,energy,0001104659-15-076987,2015-11-10 00:00:00+00:00,,no_explicit_symbol_tag,a15-17873_110q.htm,040cc084797ddfb332c3e698a38b2f51fb98ff13bf8857378c97329f45b2bbde,,instance_has_no_explicit_symbol,,
0000912750,NEWFIELD EXPLORATION CO /DE/,energy,0000912750-18-000027,2018-11-01 00:00:00+00:00,,no_explicit_symbol_tag,nfx2018q3-10q.htm,ef00fc88f53ce0bf82d71e3944fb394b457039f39e9067307ef18e6e8af31404,,instance_has_no_explicit_symbol,,
0000937136,HYPERDYNAMICS CORP,energy,0001104659-15-078308,2015-11-13 00:00:00+00:00,,no_explicit_symbol_tag,a15-20368_110q.htm,c9796bb5b3fccaf4391c09a3c5c30fd791404c5bef0136805f3be94278143311,,instance_has_no_explicit_symbol,,
0000945764,DENBURY INC,energy,0000945764-23-000167,2023-11-22 00:00:00+00:00,,no_explicit_symbol_tag,den-20230930.htm,b2b6345abf7ad4b420bb53f9cc2d8001c70b4586f459d0642e460443bc8de04c,,instance_has_no_explicit_symbol,,
0001022646,ULTRA PETROLEUM CORP,energy,0001564590-19-041557,2019-11-08 00:00:00+00:00,,no_explicit_symbol_tag,upl-10q_20190930.htm,8a0863ee918b6d025e6619e7168a039de212ae0669b1c13cd4985cf35581f62c,,instance_has_no_explicit_symbol,,
0001023734,"BPZ RESOURCES, INC.",energy,0001437749-15-009582,2015-05-12 00:00:00+00:00,,no_explicit_symbol_tag,bpz20150331b_10q.htm,7c2933bf42b4ee693138fe3d7b9a31eea37d8be91a28d113b64ca9fdfcaec730,,instance_has_no_explicit_symbol,,
0001029023,SYNTROLEUM CORP,energy,0001193125-14-184826,2014-05-07 00:00:00+00:00,,no_explicit_symbol_tag,d719050d10q.htm,88a321c737f922f4ee54011fca781fc0a4c283e93f66635f055f34af70c1d45f,,instance_has_no_explicit_symbol,,
0001034563,ICAHN ENTERPRISES HOLDINGS L.P.,energy,0000813762-16-000057,2016-03-01 00:00:00+00:00,,no_explicit_symbol_tag,iep-2015x10k.htm,d46e06ab6654b86cb8e3ff74cea43a2a3ea90d5e00bade35b6f7be630820c9a9,,instance_has_no_explicit_symbol,,
0001059324,PETROHAWK ENERGY CORP,energy,0001047469-12-001768,2012-02-29 00:00:00+00:00,,no_explicit_symbol_tag,a2207359z10-k.htm,103c001c6aed0e3cf6bf84c07eae928e94f7a078f187a58db30b4d5c9a43314b,,instance_has_no_explicit_symbol,,
0001060990,QUICKSILVER RESOURCES INC,energy,0001060990-15-000094,2015-10-31 00:00:00+00:00,,no_explicit_symbol_tag,kwk10-q20150930.htm,21dd49e97f765faa1c4ad4302f6939e720ffa13752bacc3c31e2ae9c0244b126,,instance_has_no_explicit_symbol,,
0001071993,CONTANGO OIL & GAS CO,energy,0001071993-19-000051,2019-11-13 00:00:00+00:00,,no_explicit_symbol_tag,mcf-20190930x10q.htm,b5244ca0f7a8450114b9be298ce09322f6ae452c0440bdc03bb7edbbe983cd0c,,instance_has_no_explicit_symbol,,
0001096339,SARATOGA RESOURCES INC /TX,energy,0001515971-13-000520,2013-11-13 00:00:00+00:00,,no_explicit_symbol_tag,sara10q093013.htm,81f2d9e6e85463facd95d6e33621b63524192225388daf26b3d7c2f7389175ce,,instance_has_no_explicit_symbol,,
0001111817,LONGWEI PETROLEUM INVESTMENT HOLDING LTD,energy,0001013762-12-001019,2012-05-11 00:00:00+00:00,,no_explicit_symbol_tag,form10q.htm,53749afa60c0a71aea6eb3fb4709f76e5aa6ae0f906fe8d4b2eb0b14b6f5732b,,instance_has_no_explicit_symbol,,
0001112412,ENDEAVOUR INTERNATIONAL CORP,energy,0001112412-15-000009,2015-08-08 00:00:00+00:00,,no_explicit_symbol_tag,c412-20150630x10q.htm,0a5e8c94dc734e003a562e4af1ac11672727464c68aedda3a593f6d74dc94538,,instance_has_no_explicit_symbol,,
0001123647,ATP OIL & GAS CORP,energy,0001193125-12-225974,2012-05-11 00:00:00+00:00,,no_explicit_symbol_tag,d332710d10q.htm,22e6aa4b7a099f916d8a1261d35e557244ea6dae8478b5731beaf6f7890ede86,,instance_has_no_explicit_symbol,,
0001124024,FAR EAST ENERGY CORP,energy,0001140361-14-040379,2014-11-07 00:00:00+00:00,,no_explicit_symbol_tag,form10q.htm,7f253f4614f020d25d13f6ed8ed4fac6f6092d31926e028b87723f9426fe791a,,instance_has_no_explicit_symbol,,
0001127342,GMX RESOURCES INC,energy,0001127342-12-000022,2012-11-10 00:00:00+00:00,,no_explicit_symbol_tag,gmxr-2012930x10q.htm,560557fc623f2902f18b9ec23cdcfc8d318e2cfb1efc0b6ea54bfe8142acba16,,instance_has_no_explicit_symbol,,
0001137083,"L & L ENERGY, INC.",energy,0001137083-12-000008,2012-03-13 00:00:00+00:00,,no_explicit_symbol_tag,llen-q3fy20120310.htm,02a5ae7b539782f37e8cc66d4a615d3d6cba534d3ab55451d3802e3f843503ea,,instance_has_no_explicit_symbol,,
0001166036,MARKWEST ENERGY PARTNERS L P,energy,0001104659-15-075473,2015-11-05 00:00:00+00:00,,no_explicit_symbol_tag,a15-17820_110q.htm,83f6fb5d4c0710f4001ca6652dd4df2016bb13ca3d45bafd375f87dd37667871,,instance_has_no_explicit_symbol,,
0001170154,GASTAR EXPLORATION LTD,energy,0001170154-13-000093,2013-11-06 00:00:00+00:00,,no_explicit_symbol_tag,gst-9302013x10q.htm,38f6e2d2ae3dff6f67010e6cc44cc97b83036e218d372416b02105605addb556,,instance_has_no_explicit_symbol,,
0001179060,CROSSTEX ENERGY LP,energy,0001179060-14-000006,2014-03-01 00:00:00+00:00,,no_explicit_symbol_tag,xtex201310-k.htm,45b4c9292f04731f64f39f94d4c6447598abfc4cf348e35dcf82194cbd2bc3b7,,instance_has_no_explicit_symbol,,
0001209821,CROSSTEX ENERGY INC,energy,0001209821-14-000006,2014-03-01 00:00:00+00:00,,no_explicit_symbol_tag,xtxi201310-k.htm,411935aa3d704bf03ad6d44409e92961cd716210550e1d4326f0b7408b7ea4e6,,instance_has_no_explicit_symbol,,
0001281922,TRIANGLE PETROLEUM CORP,energy,0001558370-16-010433,2016-12-08 00:00:00+00:00,,no_explicit_symbol_tag,tpc-20161031x10q.htm,5c9b3bb92dbca6a3a34b4667ff9f628f2a702483cab1198caed6dea0c6eeed64,,instance_has_no_explicit_symbol,,
0001283843,"EMERALD OIL, INC.",energy,0001144204-15-063410,2015-11-07 00:00:00+00:00,,no_explicit_symbol_tag,v423788_10q.htm,2773adcd560c5d6961f8a10e495fe974c3bbaf5d96076c30316ef3636847976e,,instance_has_no_explicit_symbol,,
0001297720,JAMES RIVER COAL CO,energy,0001019687-13-004136,2013-11-08 00:00:00+00:00,,no_explicit_symbol_tag,jrcc_10q-093013.htm,82b7722cf87dc93e04423749f4a82ea7ed358fd6453304abdcf95a6e118b5d60,,instance_has_no_explicit_symbol,,
0001301063,"ALPHA NATURAL RESOURCES, INC.",energy,0001301063-15-000055,2015-08-04 00:00:00+00:00,,no_explicit_symbol_tag,anr-2015630x10q.htm,3fbd4b969375320b4f6a8bcfceaeafa68d133f1dc4a018f87e66d3fcc775cfb6,,instance_has_no_explicit_symbol,,
0001311486,GLOBAL GEOPHYSICAL SERVICES INC,energy,0001171843-14-005713,2014-11-27 00:00:00+00:00,,no_explicit_symbol_tag,f10q_112614.htm,2cc904ca35019f85da1d7e9e1d7967712709f06fd7b95cc3ce7de86d2723d47d,,instance_has_no_explicit_symbol,,
0001313024,"VENOCO, INC.",energy,0001047469-12-010167,2012-11-08 00:00:00+00:00,,no_explicit_symbol_tag,a2211508z10-q.htm,04613bbbd015d3fe9bc5da37ade6cb15d76268adceef77abc4d624e7da6f98cf,,instance_has_no_explicit_symbol,,
0001322866,KODIAK OIL & GAS CORP,energy,0001322866-14-000031,2014-11-07 00:00:00+00:00,,no_explicit_symbol_tag,kog0930201410-q.htm,0d65c956756e4e55107a2e3e8f10493c54b0b1fc927e974e49d29779c228f0cf,,instance_has_no_explicit_symbol,,
0001325955,"ALON USA ENERGY, INC.",energy,0001325955-17-000025,2017-05-10 00:00:00+00:00,,no_explicit_symbol_tag,alj-2017331x10q.htm,e032fe7d69a500e38b72cad0acfa044fadd65f89605b33c3aefc5a3b2ed1ad42,,instance_has_no_explicit_symbol,,
0001326428,"LINN ENERGY, INC.",energy,0001326428-18-000026,2018-05-04 00:00:00+00:00,,no_explicit_symbol_tag,line331201810q.htm,762ba3e6535ccb1e55bad383f375925d79b04a8ae49ef2b0769053caae23ab35,,instance_has_no_explicit_symbol,,
0001335190,MAGNUM HUNTER RESOURCES CORP,energy,0001335190-16-000129,2016-05-07 00:00:00+00:00,,no_explicit_symbol_tag,mhr-20151231x10xk.htm,0b4d8ac6d88cf18f86a3e4b30ccc7944fdc8849ef19a7dc964ca8e0edd85a336,,instance_has_no_explicit_symbol,,
0001339048,"WESTERN REFINING, INC.",energy,0001339048-17-000019,2017-05-06 00:00:00+00:00,,no_explicit_symbol_tag,form10-qxwnrx33117.htm,6217beef56ebe73de938d44c2226311a2e8776acf4ea286ab275708570b381c4,,instance_has_no_explicit_symbol,,
0001341726,"GULFSLOPE ENERGY, INC.",energy,0001580695-16-000237,2016-02-17 00:00:00+00:00,,no_explicit_symbol_tag,gspe-10q_123115.htm,1d07ae9b22b7254642886a378ce97417fdfc477910c296db4358fdcada65cbac,,instance_has_no_explicit_symbol,,
0001344980,"ALLIANCE HOLDINGS GP, L.P.",energy,0001558370-18-004133,2018-05-08 00:00:00+00:00,,no_explicit_symbol_tag,ahgp-20180331x10q.htm,7dce204ca51d8b3b3913fd20490a392032e54fefb818a84c05195e6cd9de3710,,instance_has_no_explicit_symbol,,
0001351541,"DELEK US HOLDINGS, INC.",energy,0001351541-17-000129,2017-05-10 00:00:00+00:00,,no_explicit_symbol_tag,dk-10qx033117.htm,1bda196b48dcd9f7348559b66d167303ed873181f379a120921a35e504c1b481,,instance_has_no_explicit_symbol,,
0001357371,BREITBURN ENERGY PARTNERS LP,energy,0001357371-16-000392,2016-11-09 00:00:00+00:00,,no_explicit_symbol_tag,bbep9301610q.htm,e0e67aa24e2a42cde104797c4df5189006e40db4c567f8c7d15ce7dd02def38b,,instance_has_no_explicit_symbol,,
0001358831,LEGACY RESERVES LP,energy,0001358831-18-000013,2018-08-08 00:00:00+00:00,,no_explicit_symbol_tag,lgcy630201810q.htm,ec947266ccf93e8d6255ea753dbd5db3a5c932bff03cf86c45f90e7c6f004c10,,instance_has_no_explicit_symbol,,
0001362705,SANCHEZ MIDSTREAM PARTNERS LP,energy,0001558370-19-010702,2019-11-13 00:00:00+00:00,,no_explicit_symbol_tag,snmp-20190930x10q.htm,4a13ca26d6c93f172d4813fcabb9fc74a2212fe6289b62272229cf5bf29526b5,,instance_has_no_explicit_symbol,,
0001364100,"CAL DIVE INTERNATIONAL, INC.",energy,0001364100-14-000063,2014-11-08 00:00:00+00:00,,no_explicit_symbol_tag,form10q.htm,b4c0dace34880799f024dd97425f7d5dd8bce1e0e9654fdbdf179d6657be386e,,instance_has_no_explicit_symbol,,
0001364541,EAGLE ROCK ENERGY PARTNERS L P,energy,0001364541-15-000078,2015-08-01 00:00:00+00:00,,no_explicit_symbol_tag,q22015form10-q.htm,490446e9c06fd461ec5ef49bf30caf4eecb56f65330bd0114d3fbe347ea9d011,,instance_has_no_explicit_symbol,,
0001367311,"DAKOTA PLAINS HOLDINGS, INC.",energy,0000897101-16-003214,2016-11-08 00:00:00+00:00,,no_explicit_symbol_tag,dakota163772_10-q.htm,7fd3048a961585188185670003b5388d11d621833e59edfd48e34ccc32beb2bb,,instance_has_no_explicit_symbol,,
0001376812,PATRIOT COAL CORP,energy,0001376812-13-000037,2013-08-10 00:00:00+00:00,,no_explicit_symbol_tag,pcx-6302013x10q.htm,fb1116969c32ce48c9c818c3a71724182c7fdf5964385f65a003982e2655ec8e,,instance_has_no_explicit_symbol,,
0001382231,FORTEM RESOURCES INC.,energy,0001493152-20-000417,2020-01-10 00:00:00+00:00,,no_explicit_symbol_tag,form10q.htm,79e8fd6566e0352254f0c884c298eed228b39bfac6a234ca0bdb93fbfe850775,,instance_has_no_explicit_symbol,,
0001384072,"VANGUARD NATURAL RESOURCES, INC.",energy,0001384072-17-000152,2017-11-14 00:00:00+00:00,,no_explicit_symbol_tag,vnr2017q310-q.htm,00a087d492aef80b63f858ce88460cf4fcc7542f6a6ca22602789aa897b54e8f,,instance_has_no_explicit_symbol,,
0001404636,NIMIN ENERGY CORP.,energy,0001193125-13-332514,2013-08-14 00:00:00+00:00,,no_explicit_symbol_tag,d582585d10q.htm,062e0b9c740d59e82154e3e070b1c75b2a7852b893c9fe112d4448757ce2ac48,,instance_has_no_explicit_symbol,,
0001404973,"ENERGY XXI GULF COAST, INC.",energy,0001558370-18-006865,2018-08-10 00:00:00+00:00,,no_explicit_symbol_tag,egc-20180630x10q.htm,ce46f5180e6c2326a604d969d4968542229c84a0f187bc7876e4978411e859cc,,instance_has_no_explicit_symbol,,
0001407463,PIONEER SOUTHWEST ENERGY PARTNERS L.P.,energy,0001407463-13-000047,2013-11-07 00:00:00+00:00,,no_explicit_symbol_tag,pse-q313x10q.htm,9580652f0e03ff6b04cbdea5934a6c8ea407f5d4bced4f634b2952ea8c9df617,,instance_has_no_explicit_symbol,,
0001412347,OXFORD RESOURCE PARTNERS LP,energy,0001437749-13-013908,2013-11-06 00:00:00+00:00,,no_explicit_symbol_tag,oxf20130930_10q.htm,e914ba6fd39dac52716f5a18f7d6ea1a2facfda68cf457d0b36728a77b0694bb,,instance_has_no_explicit_symbol,,
0001437557,"LILIS ENERGY, INC.",energy,0001437557-19-000077,2019-11-08 00:00:00+00:00,,no_explicit_symbol_tag,llex10q-20190930.htm,123c82b98cb86c02f3b1cae4c95d953e7afdb72bc521a1ccbdb99ede01aaa1c1,,instance_has_no_explicit_symbol,,
0001441849,CLOUD PEAK ENERGY INC.,energy,0001104659-19-054793,2019-10-19 00:00:00+00:00,,no_explicit_symbol_tag,a19-19200_110q.htm,4ba3ee03c593996075a7b96aa0b3be67d52ed6be937b913798a5035c36cdca00,,instance_has_no_explicit_symbol,,
0001453090,WEATHERFORD INTERNATIONAL LTD./SWITZERLAND,energy,0001453090-14-000045,2014-04-30 00:00:00+00:00,,no_explicit_symbol_tag,wft201410-qq1.htm,2daf65141a1f98d07703890c90b9ca6dd77734db04a514d68b365ade7b4357b9,,instance_has_no_explicit_symbol,,
0001478535,ABBY INC.,energy,0001096350-12-000020,2012-03-07 00:00:00+00:00,,no_explicit_symbol_tag,k11302011v3.htm,1915e02241aee78cbef24b08488484dabd73ab06315ed8739fca3e1c03c37580,,instance_has_no_explicit_symbol,,
0001490630,RHINO RESOURCE PARTNERS LP,energy,0001104659-15-057574,2015-08-08 00:00:00+00:00,,no_explicit_symbol_tag,a15-12087_110q.htm,d715906d5a53dbe43c5ba74c977cc88be59c2cf5b56c18c0aecb8b933260d0b6,,instance_has_no_explicit_symbol,,
0001493144,CLOUD PEAK ENERGY RESOURCES LLC,energy,0001104659-14-009852,2014-02-15 00:00:00+00:00,,no_explicit_symbol_tag,a13-27225_110k.htm,70f7fc6ec66b62f5898d89465e59db98958333834f6a5eaf2bb2e5799e46cb36,,instance_has_no_explicit_symbol,,
0001506932,LONE PINE RESOURCES INC.,energy,0001104659-13-082888,2013-11-09 00:00:00+00:00,,no_explicit_symbol_tag,a13-19576_110q.htm,286429f7d68f9d8d3210754a8d2a186530996754649453aba195143a25c5c90b,,instance_has_no_explicit_symbol,,
0001509273,"C&J ENERGY SERVICES, INC.",energy,0001193125-15-056558,2015-02-21 00:00:00+00:00,,no_explicit_symbol_tag,d865950d10k.htm,874a9c657cdfff703e0d3601ee5e5678e7a5ca6d50909684d1be9b9209497fd1,,instance_has_no_explicit_symbol,,
0001519632,"LRR ENERGY, L.P.",energy,0001104659-15-055872,2015-08-05 00:00:00+00:00,,no_explicit_symbol_tag,a15-11928_110q.htm,07c31110983f95bb09259878bccd80d9cbb1a43ddb7875f58f41f6c2855e63de,,instance_has_no_explicit_symbol,,
0001523404,JP ENERGY PARTNERS LP,energy,0001558370-17-001695,2017-03-14 00:00:00+00:00,,no_explicit_symbol_tag,jpep-20161231x10k.htm,e650d7d1d27e42322025f88cf91bae32e0c5fb3117fe073f891b0dae14956409,,instance_has_no_explicit_symbol,,
0001528837,SANCHEZ ENERGY CORP,energy,0001558370-19-010632,2019-11-09 00:00:00+00:00,,no_explicit_symbol_tag,sn-20190930x10q.htm,890dc06a8aeb5955e4eb5a73ea32f4cd76289048f84b3b2d571439e93c2d9cd8,,instance_has_no_explicit_symbol,,
0001532930,SEVENTY SEVEN ENERGY INC.,energy,0001532930-16-000149,2016-04-26 00:00:00+00:00,,no_explicit_symbol_tag,a20160331sse10q.htm,0008a3c5602cf364fa0a65ea0c303cb9445e735c21def4b0a3b005d7505d5942,,instance_has_no_explicit_symbol,,
0001549756,"LINNCO, LLC",energy,0001549756-16-000062,2016-11-08 00:00:00+00:00,,no_explicit_symbol_tag,linnco930201610q.htm,974ea00b8ad221b6201a7cb604aae2ea67e82a17ca022a2d7a85a7327664994d,,instance_has_no_explicit_symbol,,
0001555177,EMERGE ENERGY SERVICES LP,energy,0001628280-16-012000,2016-03-01 00:00:00+00:00,,no_explicit_symbol_tag,a10k151231-q4.htm,c8805fa9538e14f72b2fed253198f1e65f1d8a8d4855d8480a8a5b14c6882401,,instance_has_no_explicit_symbol,,
0001556766,"ALON USA PARTNERS, LP",energy,0001556766-17-000057,2017-11-10 00:00:00+00:00,,no_explicit_symbol_tag,aldw-2017930x10q.htm,ba20d928246aa7e7abbe42ee1c1ec55603f9607c87f330b9588cec5b33805254,,instance_has_no_explicit_symbol,,
0001558785,"CVR REFINING, LP",energy,0001558785-18-000067,2018-10-26 00:00:00+00:00,,no_explicit_symbol_tag,cvrrq32018form10-q.htm,5fc411dc4ddf7fa99b3e8fef3fbc8314523cca71b1ee85043672798778536c8f,,instance_has_no_explicit_symbol,,
0001560443,NEW SOURCE ENERGY PARTNERS L.P.,energy,0001560443-15-000072,2015-11-10 00:00:00+00:00,,no_explicit_symbol_tag,nslp_20150930-10q.htm,773ed3c5c913aaed980b6b10c13cb5d66c9dd8f1583d2c277e8dcca80af3108e,,instance_has_no_explicit_symbol,,
0001573166,"JONES ENERGY, INC.",energy,0001558370-18-008305,2018-11-03 00:00:00+00:00,,no_explicit_symbol_tag,jone-20180930x10q.htm,8af008fa7c5811c251bad45ebd59cb7cd3ccae0b229d66eed62977f6af51cb44,,instance_has_no_explicit_symbol,,
0001584952,EP ENERGY CORP,energy,0001584952-19-000014,2019-11-13 00:00:00+00:00,,no_explicit_symbol_tag,epenergycorp0930201910q.htm,b18442db54c3c05a435eb9dc5f80a69ef168c181fb829c9d5a8a9a65f093cd2d,,instance_has_no_explicit_symbol,,
0001588216,"RSP PERMIAN, INC.",energy,0001588216-18-000104,2018-05-03 00:00:00+00:00,,no_explicit_symbol_tag,rspp2018033110q.htm,b73e0bf211bff6c742d60f1a6485055cff5b97cf4a70bffa7cb5bbd349304b5e,,instance_has_no_explicit_symbol,,
0001594590,PARAGON OFFSHORE PLC,energy,0001594590-17-000045,2017-05-11 00:00:00+00:00,,no_explicit_symbol_tag,a2017q110-q3312017.htm,d14f85a9d1fae3661141b11e653e36e13250426c88e4fea17bfd2e2f8e5b7136,,instance_has_no_explicit_symbol,,
0001607250,TRANSOCEAN PARTNERS LLC,energy,0001607250-16-000097,2016-11-04 00:00:00+00:00,,no_explicit_symbol_tag,rigp-20160930x10q.htm,44ed4bfab79c5707d2f7c4a3a8e0228535e55bda664ff2e71d74ae1819f2ee17,,instance_has_no_explicit_symbol,,
0001655020,"EXTRACTION OIL & GAS, INC.",energy,0001655020-20-000160,2020-11-10 00:00:00+00:00,,no_explicit_symbol_tag,xog-20200930.htm,9b0efd7dac96b2cc85364beac352cb15a299f85895359bbb77d8495b1095e5d6,,instance_has_no_explicit_symbol,,
